"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.achtenii_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 402 80.435 91.94 0.724 0.507 NA
"2" "Scleria.achtenii_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 402 80.435 91.94 0.906 0.797 NA
"3" "Scleria.achtenii_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 743 50 98.907 0.577 0.159 NA
"4" "Scleria.achtenii_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 363 80.435 90.574 0.932 0.687 NA
"5" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 305 100 100 1 0.15 NA
"6" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 305 100 100 1 0.904 NA
"7" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 305 100 100 1 0.207 NA
"8" "Scleria.achtenii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 276 100 100 1 0.793 NA
"9" "Scleria.achtenii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 511.5 100 97.541 0.975 0.311 NA
"10" "Scleria.achtenii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 520.5 100 97.678 0.996 0.896 NA
"11" "Scleria.achtenii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 584 91.304 98.77 0.857 0.421 NA
"12" "Scleria.achtenii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 476 100 97.268 0.948 0.687 NA
"13" "Scleria.achtenii_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 439.5 82.609 78.142 0.608 0.359 NA
"14" "Scleria.achtenii_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 436.5 82.609 78.142 0.848 0.702 NA
"15" "Scleria.achtenii_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 691 71.739 87.568 0.33 0.209 NA
"16" "Scleria.achtenii_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 645 71.739 87.432 0.851 0.391 NA
"17" "Scleria.achtenii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 535 84.783 72.131 0.572 0.216 NA
"18" "Scleria.achtenii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 535.5 84.783 72.404 0.817 0.625 NA
"19" "Scleria.achtenii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 586 73.913 76.639 0.194 0.036 NA
"20" "Scleria.achtenii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 491 84.783 67.213 0.855 0.627 NA
"21" "Scleria.achtenii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 511 71.739 69.945 0.418 0.178 NA
"22" "Scleria.achtenii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 441.5 82.609 59.699 0.776 0.635 NA
"23" "Scleria.achtenii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 768 30.435 92.76 0.194 0.078 NA
"24" "Scleria.achtenii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 461 78.261 62.022 0.936 0.52 NA
"25" "Scleria.achtenii_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 251 82.609 86.202 0.689 0.225 NA
"26" "Scleria.achtenii_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 254.5 82.609 86.475 0.893 0.656 NA
