"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.baldwinii_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 402 86.598 86.12 0.729 0.506 NA
"2" "Scleria.baldwinii_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 402.5 86.598 86.278 0.92 0.763 NA
"3" "Scleria.baldwinii_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 573 72.165 94.479 0.644 0.316 NA
"4" "Scleria.baldwinii_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 354 87.629 84.385 0.981 0.872 NA
"5" "Scleria.baldwinii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 407 100 100 1 0.475 NA
"6" "Scleria.baldwinii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 405 100 100 1 0.844 NA
"7" "Scleria.baldwinii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 407 100 100 1 0.553 NA
"8" "Scleria.baldwinii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 392 100 100 1 0.814 NA
"9" "Scleria.baldwinii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 436 98.969 85.962 0.849 0.512 NA
"10" "Scleria.baldwinii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 434 98.969 85.962 0.965 0.82 NA
"11" "Scleria.baldwinii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 652 79.381 93.849 0.676 0.417 NA
"12" "Scleria.baldwinii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 497 91.753 89.274 0.958 0.77 NA
"13" "Scleria.baldwinii_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 558 95.876 67.35 0.632 0.396 NA
"14" "Scleria.baldwinii_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 556 95.876 67.35 0.861 0.774 NA
"15" "Scleria.baldwinii_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 806 41.237 95.268 0.414 0.131 NA
"16" "Scleria.baldwinii_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 767 41.237 95.11 0.552 0.166 NA
"17" "Scleria.baldwinii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 635 78.351 82.019 0.604 0.464 NA
"18" "Scleria.baldwinii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 637 78.351 82.177 0.871 0.832 NA
"19" "Scleria.baldwinii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 733 64.948 88.486 0.457 0.436 NA
"20" "Scleria.baldwinii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 597 78.351 80.284 0.952 0.694 NA
"21" "Scleria.baldwinii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 521 81.443 74.606 0.56 0.523 NA
"22" "Scleria.baldwinii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 521 81.443 74.606 0.847 0.831 NA
"23" "Scleria.baldwinii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 717 60.825 88.959 0.429 0.338 NA
"24" "Scleria.baldwinii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 470 84.536 69.401 0.941 0.711 NA
"25" "Scleria.baldwinii_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 362 82.474 81.388 0.639 0.566 NA
"26" "Scleria.baldwinii_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 339.5 84.536 79.653 0.887 0.821 NA
"27" "Scleria.baldwinii_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 573 61.856 93.849 0.552 0.417 NA
"28" "Scleria.baldwinii_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 471 73.196 88.486 0.984 0.863 NA
"29" "Scleria.baldwinii_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 374 100 99.685 0.997 0.401 NA
"30" "Scleria.baldwinii_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 379 100 99.842 1 0.87 NA
"31" "Scleria.baldwinii_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 393 98.969 100 0.994 0.441 NA
"32" "Scleria.baldwinii_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 346 100 99.369 1 0.725 NA
"33" "Scleria.baldwinii_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 418 97.938 84.227 0.823 0.541 NA
"34" "Scleria.baldwinii_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 423 97.938 84.858 0.966 0.853 NA
"35" "Scleria.baldwinii_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 663 76.289 94.479 0.672 0.458 NA
"36" "Scleria.baldwinii_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "BOYCE" 495 91.753 88.013 0.982 0.881 NA
"37" "Scleria.baldwinii_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "TSS" 555 92.784 67.981 0.608 0.46 NA
"38" "Scleria.baldwinii_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "ROC" 560 92.784 68.297 0.871 0.793 NA
"39" "Scleria.baldwinii_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "KAPPA" 694 61.856 90.694 0.479 0.405 NA
"40" "Scleria.baldwinii_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "BOYCE" 654 65.979 88.644 0.924 0.81 NA
"41" "Scleria.baldwinii_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "TSS" 495 88.66 74.763 0.636 0.44 NA
"42" "Scleria.baldwinii_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "ROC" 499.5 88.66 75.079 0.881 0.794 NA
"43" "Scleria.baldwinii_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "KAPPA" 733 64.948 87.224 0.436 0.4 NA
"44" "Scleria.baldwinii_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "BOYCE" 481 88.66 73.659 0.963 0.807 NA
"45" "Scleria.baldwinii_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "TSS" 423 90.722 66.088 0.571 0.479 NA
"46" "Scleria.baldwinii_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "ROC" 439 89.691 67.823 0.85 0.834 NA
"47" "Scleria.baldwinii_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "KAPPA" 706 61.856 87.697 0.42 0.488 NA
"48" "Scleria.baldwinii_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "BOYCE" 608 71.134 80.599 0.931 0.873 NA
"49" "Scleria.baldwinii_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "TSS" 422 82.474 89.274 0.717 0.313 NA
"50" "Scleria.baldwinii_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "ROC" 450 81.443 90.536 0.928 0.712 NA
"51" "Scleria.baldwinii_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "KAPPA" 748 65.979 98.896 0.732 0.395 NA
"52" "Scleria.baldwinii_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "BOYCE" 676 68.041 97.476 0.894 0.764 NA
"53" "Scleria.baldwinii_PA1_RUN3_RF" "PA1" "RUN3" "RF" "TSS" 407 100 100 1 0.206 NA
"54" "Scleria.baldwinii_PA1_RUN3_RF" "PA1" "RUN3" "RF" "ROC" 409 100 100 1 0.828 NA
"55" "Scleria.baldwinii_PA1_RUN3_RF" "PA1" "RUN3" "RF" "KAPPA" 407 100 100 1 0.255 NA
"56" "Scleria.baldwinii_PA1_RUN3_RF" "PA1" "RUN3" "RF" "BOYCE" 368 100 99.369 1 0.68 NA
"57" "Scleria.baldwinii_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "TSS" 439 97.938 85.804 0.839 0.412 NA
