"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 247 58.904 99.844 0.587 0.512 NA
"2" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 250 58.904 99.844 0.794 0.756 NA
"3" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 247 58.904 99.844 0.713 0.525 NA
"4" "Scleria.biflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 25 58.904 99.844 1 1 NA
"5" "Scleria.biflora_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 364 100 100 1 0.358 NA
"6" "Scleria.biflora_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 366 100 100 1 0.924 NA
"7" "Scleria.biflora_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 364 100 100 1 0.42 NA
"8" "Scleria.biflora_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 337 100 99.844 1 0.695 NA
"9" "Scleria.biflora_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 455 100 94.237 0.942 0.487 NA
"10" "Scleria.biflora_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 454 100 94.237 0.99 0.906 NA
"11" "Scleria.biflora_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 570 91.781 96.573 0.811 0.444 NA
"12" "Scleria.biflora_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 470 97.26 94.393 0.915 0.679 NA
"13" "Scleria.biflora_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 608 80.822 92.056 0.735 0.481 NA
"14" "Scleria.biflora_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 605.5 84.932 90.654 0.911 0.816 NA
"15" "Scleria.biflora_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 798 76.712 94.704 0.647 0.525 NA
"16" "Scleria.biflora_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 789 76.712 94.704 0.741 0.418 NA
"17" "Scleria.biflora_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 394 94.521 80.53 0.754 0.628 NA
"18" "Scleria.biflora_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 396 94.521 80.997 0.933 0.875 NA
"19" "Scleria.biflora_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 727 73.973 92.679 0.57 0.419 NA
"20" "Scleria.biflora_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 626 80.822 89.72 0.97 0.869 NA
"21" "Scleria.biflora_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 396 87.671 80.218 0.68 0.709 NA
"22" "Scleria.biflora_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 396.5 87.671 80.374 0.907 0.879 NA
"23" "Scleria.biflora_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 747 68.493 92.679 0.534 0.529 NA
"24" "Scleria.biflora_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 707 68.493 92.212 0.93 0.867 NA
"25" "Scleria.biflora_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 247 67.123 99.844 0.67 0.42 NA
"26" "Scleria.biflora_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 250 67.123 99.844 0.835 0.71 NA
"27" "Scleria.biflora_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 247 67.123 99.844 0.778 0.493 NA
"28" "Scleria.biflora_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 25 67.123 99.844 1 1 NA
"29" "Scleria.biflora_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 367.5 100 100 1 0.512 NA
"30" "Scleria.biflora_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 367 100 100 1 0.881 NA
"31" "Scleria.biflora_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 367.5 100 100 1 0.525 NA
"32" "Scleria.biflora_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 344 100 100 1 0.926 NA
"33" "Scleria.biflora_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 466 100 93.925 0.939 0.499 NA
"34" "Scleria.biflora_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 468.5 100 94.081 0.991 0.873 NA
"35" "Scleria.biflora_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 590 93.151 96.885 0.825 0.462 NA
"36" "Scleria.biflora_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "BOYCE" 520 97.26 95.483 0.963 0.681 NA
"37" "Scleria.biflora_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "TSS" 645 87.671 90.654 0.783 0.592 NA
"38" "Scleria.biflora_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "ROC" 647.5 87.671 90.654 0.892 0.868 NA
"39" "Scleria.biflora_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "KAPPA" 645 87.671 90.654 0.598 0.424 NA
"40" "Scleria.biflora_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "BOYCE" 607 87.671 90.498 0.653 0.423 NA
"41" "Scleria.biflora_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "TSS" 384 95.89 80.062 0.76 0.616 NA
"42" "Scleria.biflora_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "ROC" 390.5 95.89 80.218 0.931 0.901 NA
"43" "Scleria.biflora_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "KAPPA" 707 78.082 91.277 0.558 0.527 NA
"44" "Scleria.biflora_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "BOYCE" 608 84.932 88.006 0.942 0.893 NA
"45" "Scleria.biflora_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "TSS" 490 82.192 85.981 0.682 0.653 NA
"46" "Scleria.biflora_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "ROC" 492 82.192 85.981 0.905 0.902 NA
"47" "Scleria.biflora_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "KAPPA" 750 67.123 93.146 0.542 0.52 NA
"48" "Scleria.biflora_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "BOYCE" 505 80.822 86.449 0.973 0.821 NA
"49" "Scleria.biflora_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "TSS" 247 63.014 99.844 0.629 0.438 NA
"50" "Scleria.biflora_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "ROC" 250 63.014 99.844 0.814 0.719 NA
"51" "Scleria.biflora_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "KAPPA" 247 63.014 99.844 0.746 0.427 NA
"52" "Scleria.biflora_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "BOYCE" 25 63.014 99.844 1 1 NA
"53" "Scleria.biflora_PA1_RUN3_RF" "PA1" "RUN3" "RF" "TSS" 345.5 100 100 1 0.444 NA
"54" "Scleria.biflora_PA1_RUN3_RF" "PA1" "RUN3" "RF" "ROC" 343 100 100 1 0.894 NA
"55" "Scleria.biflora_PA1_RUN3_RF" "PA1" "RUN3" "RF" "KAPPA" 345.5 100 100 1 0.444 NA
"56" "Scleria.biflora_PA1_RUN3_RF" "PA1" "RUN3" "RF" "BOYCE" 325 100 100 1 0.791 NA
"57" "Scleria.biflora_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "TSS" 534.5 98.63 96.106 0.947 0.32 NA
"58" "Scleria.biflora_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "ROC" 534 98.63 96.106 0.992 0.848 NA
"59" "Scleria.biflora_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "KAPPA" 534.5 98.63 96.106 0.827 0.257 NA
"60" "Scleria.biflora_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "BOYCE" 506 98.63 95.639 0.937 0.557 NA
