"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.boivinii_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 572 69.531 96.386 0.659 0.237 NA
"2" "Scleria.boivinii_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 575.5 69.531 96.519 0.914 0.74 NA
"3" "Scleria.boivinii_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 742 63.281 99.598 0.733 0.215 NA
"4" "Scleria.boivinii_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 550 69.531 95.984 0.689 0.161 NA
"5" "Scleria.boivinii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 352 100 99.866 0.999 0.311 NA
"6" "Scleria.boivinii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 354 100 99.866 1 0.857 NA
"7" "Scleria.boivinii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 352 100 99.866 0.995 0.347 NA
"8" "Scleria.boivinii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 327 100 99.732 1 0.835 NA
"9" "Scleria.boivinii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 537 92.969 89.96 0.829 0.476 NA
"10" "Scleria.boivinii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 540.5 92.969 90.763 0.967 0.845 NA
"11" "Scleria.boivinii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 620 79.688 96.252 0.755 0.376 NA
"12" "Scleria.boivinii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 512 93.75 87.684 0.973 0.884 NA
"13" "Scleria.boivinii_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 409 96.875 61.981 0.59 0.576 NA
"14" "Scleria.boivinii_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 413 96.875 62.115 0.849 0.806 NA
"15" "Scleria.boivinii_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 690 60.156 88.889 0.444 0.339 NA
"16" "Scleria.boivinii_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 649 60.938 88.353 0.845 0.611 NA
"17" "Scleria.boivinii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 477 86.719 69.344 0.562 0.483 NA
"18" "Scleria.boivinii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 478 86.719 69.478 0.847 0.787 NA
"19" "Scleria.boivinii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 755 48.438 92.637 0.426 0.183 NA
"20" "Scleria.boivinii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 492 84.375 70.683 0.958 0.852 NA
