"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 605 5.528 100 0.055 0.028 NA
"2" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 608.5 5.528 100 0.526 0.514 NA
"3" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 605 5.528 100 0.07 0.035 NA
"4" "Scleria.bracteata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 595 5.528 100 0.211 1 NA
"5" "Scleria.bracteata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 407 99.497 99.577 0.991 0.498 NA
"6" "Scleria.bracteata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 409 99.497 99.577 1 0.839 NA
"7" "Scleria.bracteata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 407 99.497 99.577 0.99 0.489 NA
"8" "Scleria.bracteata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 403 99.497 99.436 0.986 0.986 NA
"9" "Scleria.bracteata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 538 81.156 87.588 0.69 0.436 NA
"10" "Scleria.bracteata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 538.5 81.156 87.87 0.923 0.803 NA
"11" "Scleria.bracteata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 570 78.643 90.127 0.695 0.433 NA
"12" "Scleria.bracteata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 538 81.156 87.87 0.998 0.91 NA
"13" "Scleria.bracteata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 566 79.648 64.175 0.436 0.262 NA
"14" "Scleria.bracteata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 564 79.648 64.175 0.749 0.65 NA
"15" "Scleria.bracteata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 566 79.648 64.175 0.398 0.237 NA
