"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 493 99.462 99.844 0.993 0.559 NA
"2" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 489 99.642 99.844 1 0.857 NA
"3" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 493 99.462 99.844 0.993 0.555 NA
"4" "Scleria.brownii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 489 99.642 99.844 0.996 0.976 NA
"5" "Scleria.brownii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 450 91.935 82.003 0.739 0.533 NA
"6" "Scleria.brownii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 481 89.606 84.507 0.945 0.848 NA
"7" "Scleria.brownii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 500 87.993 85.759 0.735 0.51 NA
"8" "Scleria.brownii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 479 89.606 84.351 0.999 0.96 NA
"9" "Scleria.brownii_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 389 80.645 75.117 0.559 0.335 NA
"10" "Scleria.brownii_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 390 80.645 75.274 0.848 0.732 NA
"11" "Scleria.brownii_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 389 80.645 75.117 0.556 0.331 NA
"12" "Scleria.brownii_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 419 79.032 76.213 0.968 0.591 NA
"13" "Scleria.brownii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 473 82.079 73.865 0.563 0.455 NA
"14" "Scleria.brownii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 478.5 81.9 75.117 0.868 0.827 NA
"15" "Scleria.brownii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 473 82.079 73.865 0.558 0.45 NA
"16" "Scleria.brownii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 480 81.362 75.117 0.988 0.923 NA
"17" "Scleria.brownii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 588 64.695 83.412 0.486 0.409 NA
"18" "Scleria.brownii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 589.5 64.695 83.881 0.837 0.794 NA
"19" "Scleria.brownii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 588 64.695 83.412 0.491 0.412 NA
"20" "Scleria.brownii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 556 68.638 79.186 0.972 0.975 NA
"21" "Scleria.brownii_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 641 70.43 97.809 0.682 0.465 NA
"22" "Scleria.brownii_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 623 71.147 97.34 0.894 0.78 NA
"23" "Scleria.brownii_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 641 70.43 97.809 0.694 0.468 NA
"24" "Scleria.brownii_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 657 69.713 97.809 0.524 0.56 NA
"25" "Scleria.brownii_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 508 99.283 100 0.993 0.586 NA
"26" "Scleria.brownii_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 469 99.821 99.531 1 0.882 NA
"27" "Scleria.brownii_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 508 99.283 100 0.993 0.581 NA
"28" "Scleria.brownii_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 507 99.283 100 0.996 0.988 NA
