"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.bulbifera_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 423 78.523 75.973 0.545 0.446 NA
"2" "Scleria.bulbifera_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 411.5 80.537 74.631 0.861 0.757 NA
"3" "Scleria.bulbifera_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 534 64.765 86.711 0.518 0.422 NA
"4" "Scleria.bulbifera_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 427 77.852 76.644 0.998 0.887 NA
"5" "Scleria.bulbifera_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 401 100 99.866 0.999 0.477 NA
"6" "Scleria.bulbifera_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 399 100 99.866 1 0.858 NA
"7" "Scleria.bulbifera_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 401 100 99.866 0.998 0.505 NA
"8" "Scleria.bulbifera_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 402 100 99.866 1 0.95 NA
"9" "Scleria.bulbifera_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 433 91.611 75.168 0.666 0.502 NA
"10" "Scleria.bulbifera_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 430.5 92.282 74.899 0.91 0.822 NA
"11" "Scleria.bulbifera_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 526 74.832 87.785 0.617 0.486 NA
"12" "Scleria.bulbifera_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 449 89.262 77.047 0.998 0.917 NA
"13" "Scleria.bulbifera_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 352 86.913 62.55 0.498 0.429 NA
"14" "Scleria.bulbifera_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 378.5 86.577 63.624 0.814 0.766 NA
"15" "Scleria.bulbifera_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 628 55.369 88.993 0.468 0.373 NA
"16" "Scleria.bulbifera_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 578 56.376 87.383 0.923 0.879 NA
"17" "Scleria.bulbifera_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 408 81.879 55.034 0.367 0.37 NA
"18" "Scleria.bulbifera_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 375.5 87.919 49.262 0.742 0.747 NA
"19" "Scleria.bulbifera_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 475 69.128 66.04 0.3 0.293 NA
"20" "Scleria.bulbifera_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 385 85.906 50.336 0.981 0.934 NA
"21" "Scleria.bulbifera_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 366 90.268 42.282 0.322 0.305 NA
"22" "Scleria.bulbifera_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 364.5 90.604 42.148 0.713 0.745 NA
"23" "Scleria.bulbifera_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 451 73.49 57.718 0.252 0.283 NA
"24" "Scleria.bulbifera_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 365 90.268 42.282 0.981 0.831 NA
"25" "Scleria.bulbifera_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 423 74.832 80.805 0.559 0.262 NA
"26" "Scleria.bulbifera_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 424 74.832 81.074 0.868 0.714 NA
"27" "Scleria.bulbifera_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 634 56.711 94.899 0.565 0.249 NA
"28" "Scleria.bulbifera_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 454 71.812 83.356 0.992 0.823 NA
"29" "Scleria.bulbifera_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 414.5 100 100 1 0.396 NA
"30" "Scleria.bulbifera_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 418 100 100 1 0.818 NA
"31" "Scleria.bulbifera_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 414.5 100 100 1 0.406 NA
"32" "Scleria.bulbifera_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 403 100 100 1 0.944 NA
"33" "Scleria.bulbifera_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 445 88.926 80 0.693 0.427 NA
"34" "Scleria.bulbifera_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 445.5 88.926 80.403 0.918 0.779 NA
