"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.catophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 546 76.471 89.189 0.658 -0.114 NA
"2" "Scleria.catophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 553 76.471 90 0.883 0.627 NA
"3" "Scleria.catophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 652 55.882 96.081 0.434 -0.054 NA
"4" "Scleria.catophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 543 76.471 89.054 0.921 0.659 NA
"5" "Scleria.catophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 373.5 100 100 1 -0.011 NA
"6" "Scleria.catophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 375 100 100 1 0.754 NA
"7" "Scleria.catophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 373.5 100 100 1 -0.017 NA
"8" "Scleria.catophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 357 100 100 1 0.617 NA
"9" "Scleria.catophylla_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 511 100 99.324 0.993 -0.043 NA
"10" "Scleria.catophylla_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 508.5 100 99.324 0.998 0.592 NA
"11" "Scleria.catophylla_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 511 100 99.324 0.928 -0.046 NA
"12" "Scleria.catophylla_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 474 100 98.649 0.813 0.458 NA
"13" "Scleria.catophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 673 64.706 87.568 0.523 0.087 NA
"14" "Scleria.catophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 672.5 64.706 87.568 0.829 0.536 NA
"15" "Scleria.catophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 757 44.118 96.216 0.358 0.157 NA
"16" "Scleria.catophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 663 64.706 87.568 0.818 0.259 NA
"17" "Scleria.catophylla_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 378 97.059 57.432 0.545 0.139 NA
"18" "Scleria.catophylla_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 379 97.059 57.432 0.815 0.572 NA
"19" "Scleria.catophylla_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 697 50 87.027 0.179 -0.01 NA
"20" "Scleria.catophylla_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 644 55.882 83.378 0.851 0.157 NA
"21" "Scleria.catophylla_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 464 76.471 63.378 0.398 0.004 NA
"22" "Scleria.catophylla_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 471.5 76.471 65 0.759 0.475 NA
"23" "Scleria.catophylla_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 871 11.765 98.514 0.14 -0.029 NA
"24" "Scleria.catophylla_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 462 76.471 63.378 0.913 -0.242 NA
"25" "Scleria.catophylla_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 357 88.235 74.595 0.632 0.115 NA
"26" "Scleria.catophylla_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 357.5 88.235 75 0.879 0.559 NA
"27" "Scleria.catophylla_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 813 32.353 99.189 0.414 -0.024 NA
"28" "Scleria.catophylla_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 349 88.235 73.514 0.927 0.525 NA
"29" "Scleria.catophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 302 100 100 1 -0.022 NA
"30" "Scleria.catophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 302 100 100 1 0.731 NA
"31" "Scleria.catophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 302 100 100 1 -0.029 NA
"32" "Scleria.catophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 278 100 100 1 0.609 NA
"33" "Scleria.catophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 510 100 99.459 0.997 0.184 NA
"34" "Scleria.catophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 513.5 100 99.865 1 0.636 NA
"35" "Scleria.catophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 543 97.059 100 0.984 0.238 NA
"36" "Scleria.catophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "BOYCE" 470 100 99.324 1 0.697 NA
"37" "Scleria.catophylla_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "TSS" 528 85.294 84.054 0.693 0.16 NA
"38" "Scleria.catophylla_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "ROC" 525.5 85.294 84.054 0.89 0.681 NA
"39" "Scleria.catophylla_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "KAPPA" 816 70.588 92.973 0.4 0.192 NA
"40" "Scleria.catophylla_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "BOYCE" 780 70.588 92.838 0.72 -0.005 NA
"41" "Scleria.catophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "TSS" 409 88.235 63.378 0.519 0.175 NA
"42" "Scleria.catophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "ROC" 377.5 94.118 58.378 0.822 0.632 NA
"43" "Scleria.catophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "KAPPA" 798 35.294 93.514 0.211 0.068 NA
"44" "Scleria.catophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "BOYCE" 654 55.882 85.541 0.902 0.385 NA
"45" "Scleria.catophylla_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "TSS" 457 76.471 58.514 0.35 0.15 NA
"46" "Scleria.catophylla_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "ROC" 466.5 76.471 60.405 0.733 0.567 NA
