"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 342 81.407 83.848 0.653 0.537 NA
"2" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 389.5 77.387 88.929 0.897 0.847 NA
"3" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 482 70.854 92.74 0.658 0.532 NA
"4" "Scleria.ciliaris_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 354 80.402 83.848 0.887 0.923 NA
"5" "Scleria.ciliaris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 384 100 99.456 0.995 0.677 NA
"6" "Scleria.ciliaris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 386 100 99.456 1 0.918 NA
"7" "Scleria.ciliaris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 384 100 99.456 0.99 0.648 NA
"8" "Scleria.ciliaris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 381 100 99.274 0.989 0.964 NA
"9" "Scleria.ciliaris_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 526 92.965 88.566 0.815 0.646 NA
"10" "Scleria.ciliaris_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 530 92.965 88.748 0.966 0.898 NA
"11" "Scleria.ciliaris_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 567 89.447 91.47 0.777 0.616 NA
"12" "Scleria.ciliaris_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 532 91.457 88.929 0.981 0.917 NA
"13" "Scleria.ciliaris_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 553 81.407 77.858 0.593 0.59 NA
"14" "Scleria.ciliaris_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 555.5 81.407 77.858 0.831 0.841 NA
"15" "Scleria.ciliaris_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 583 80.905 78.221 0.522 0.49 NA
"16" "Scleria.ciliaris_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 559 81.407 77.858 0.793 0.487 NA
"17" "Scleria.ciliaris_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 576 79.397 82.396 0.618 0.572 NA
"18" "Scleria.ciliaris_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 577.5 79.397 82.759 0.885 0.889 NA
"19" "Scleria.ciliaris_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 626 74.372 85.662 0.576 0.523 NA
"20" "Scleria.ciliaris_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 581 78.894 83.122 0.993 0.848 NA
"21" "Scleria.ciliaris_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 509 78.392 75.862 0.544 0.465 NA
