"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.ciliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 403 74.255 78.084 0.53 0.321 NA
"2" "Scleria.ciliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 407 74.255 79.058 0.835 0.718 NA
"3" "Scleria.ciliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 403 74.255 78.084 0.52 0.313 NA
"4" "Scleria.ciliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 391 75.61 76.136 0.994 0.845 NA
"5" "Scleria.ciliata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 496 99.187 100 0.992 0.47 NA
"6" "Scleria.ciliata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 498 99.187 100 1 0.852 NA
"7" "Scleria.ciliata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 496 99.187 100 0.993 0.492 NA
"8" "Scleria.ciliata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 464 99.458 99.188 0.997 0.963 NA
"9" "Scleria.ciliata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 477 93.225 75.487 0.69 0.493 NA
"10" "Scleria.ciliata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 477.5 93.225 75.812 0.909 0.834 NA
"11" "Scleria.ciliata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 493 91.328 77.11 0.648 0.475 NA
"12" "Scleria.ciliata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 474 93.496 75.325 0.995 0.974 NA
"13" "Scleria.ciliata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 535 63.957 78.247 0.422 0.24 NA
"14" "Scleria.ciliata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 537 63.957 78.247 0.774 0.691 NA
"15" "Scleria.ciliata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 535 63.957 78.247 0.422 0.243 NA
"16" "Scleria.ciliata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 821 22.493 97.24 0.782 0.452 NA
"17" "Scleria.ciliata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 486 76.965 66.883 0.44 0.278 NA
"18" "Scleria.ciliata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 483 77.778 66.234 0.787 0.739 NA
"19" "Scleria.ciliata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 556 66.125 76.136 0.419 0.302 NA
"20" "Scleria.ciliata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 483 77.778 66.234 0.99 0.931 NA
"21" "Scleria.ciliata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 564 65.312 76.136 0.413 0.275 NA
"22" "Scleria.ciliata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 558.5 66.125 75.325 0.768 0.737 NA
"23" "Scleria.ciliata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 564 65.312 76.136 0.41 0.274 NA
"24" "Scleria.ciliata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 562 65.312 75.812 0.991 0.95 NA
"25" "Scleria.ciliata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 363 76.965 76.299 0.533 0.332 NA
"26" "Scleria.ciliata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 366.5 76.694 76.786 0.851 0.726 NA
"27" "Scleria.ciliata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 393 74.526 78.734 0.522 0.328 NA
"28" "Scleria.ciliata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 346 79.675 71.916 0.994 0.797 NA
"29" "Scleria.ciliata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 466 99.729 99.838 0.996 0.459 NA
"30" "Scleria.ciliata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 466 99.729 99.838 1 0.806 NA
"31" "Scleria.ciliata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 466 99.729 99.838 0.996 0.465 NA
"32" "Scleria.ciliata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 464 99.729 99.838 0.971 0.9 NA
"33" "Scleria.ciliata_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 536 85.366 83.766 0.696 0.436 NA
"34" "Scleria.ciliata_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 537.5 85.366 84.416 0.919 0.798 NA
"35" "Scleria.ciliata_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 536 85.366 83.766 0.68 0.425 NA
"36" "Scleria.ciliata_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "BOYCE" 525 86.45 82.143 0.996 0.948 NA
"37" "Scleria.ciliata_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "TSS" 530 80.759 75.487 0.562 0.315 NA
"38" "Scleria.ciliata_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "ROC" 533.5 80.759 75.649 0.827 0.731 NA
"39" "Scleria.ciliata_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "KAPPA" 621 75.881 79.87 0.547 0.347 NA
"40" "Scleria.ciliata_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "BOYCE" 517 81.03 74.838 0.948 0.577 NA
"41" "Scleria.ciliata_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "TSS" 547 68.835 75.974 0.45 0.325 NA
"42" "Scleria.ciliata_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "ROC" 549 68.835 76.461 0.79 0.734 NA
"43" "Scleria.ciliata_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "KAPPA" 547 68.835 75.974 0.442 0.316 NA
"44" "Scleria.ciliata_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "BOYCE" 529 70.732 73.701 0.992 0.882 NA
"45" "Scleria.ciliata_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "TSS" 584 64.77 76.299 0.414 0.286 NA
"46" "Scleria.ciliata_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "ROC" 586.5 64.77 76.948 0.767 0.739 NA
"47" "Scleria.ciliata_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "KAPPA" 584 64.77 76.299 0.411 0.284 NA
"48" "Scleria.ciliata_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "BOYCE" 554 67.48 72.565 0.991 0.862 NA
"49" "Scleria.ciliata_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "TSS" 433 71.816 80.195 0.52 0.351 NA
"50" "Scleria.ciliata_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "ROC" 435 71.816 80.357 0.832 0.714 NA
"51" "Scleria.ciliata_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "KAPPA" 433 71.816 80.195 0.515 0.35 NA
"52" "Scleria.ciliata_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "BOYCE" 445 70.19 80.519 0.991 0.875 NA
"53" "Scleria.ciliata_PA1_RUN3_RF" "PA1" "RUN3" "RF" "TSS" 452 99.458 99.026 0.986 0.494 NA
"54" "Scleria.ciliata_PA1_RUN3_RF" "PA1" "RUN3" "RF" "ROC" 454 99.458 99.188 1 0.831 NA
"55" "Scleria.ciliata_PA1_RUN3_RF" "PA1" "RUN3" "RF" "KAPPA" 452 99.458 99.026 0.985 0.5 NA
"56" "Scleria.ciliata_PA1_RUN3_RF" "PA1" "RUN3" "RF" "BOYCE" 479 98.374 99.513 1 0.962 NA
"57" "Scleria.ciliata_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "TSS" 451 94.58 73.864 0.682 0.445 NA
"58" "Scleria.ciliata_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "ROC" 449 95.122 73.701 0.913 0.813 NA
"59" "Scleria.ciliata_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "KAPPA" 521 86.45 81.494 0.654 0.468 NA
"60" "Scleria.ciliata_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "BOYCE" 471 92.141 75.325 0.989 0.969 NA
"61" "Scleria.ciliata_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "TSS" 423 79.133 67.045 0.462 0.21 NA
"62" "Scleria.ciliata_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "ROC" 422.5 79.133 67.045 0.79 0.681 NA
"63" "Scleria.ciliata_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "KAPPA" 540 76.423 69.481 0.435 0.225 NA
"64" "Scleria.ciliata_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "BOYCE" 724 43.631 91.721 0.807 0.349 NA
"65" "Scleria.ciliata_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "TSS" 526 70.732 73.377 0.441 0.306 NA
"66" "Scleria.ciliata_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "ROC" 523.5 71.274 73.214 0.791 0.71 NA
"67" "Scleria.ciliata_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "KAPPA" 546 69.106 74.675 0.432 0.298 NA
"68" "Scleria.ciliata_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "BOYCE" 536 69.648 73.864 0.996 0.884 NA
"69" "Scleria.ciliata_PA1_RUN3_GAM" "PA1" "RUN3" "GAM" "TSS" 567 64.228 76.299 0.407 0.282 NA
"70" "Scleria.ciliata_PA1_RUN3_GAM" "PA1" "RUN3" "GAM" "ROC" 561.5 65.041 75.812 0.773 0.713 NA
"71" "Scleria.ciliata_PA1_RUN3_GAM" "PA1" "RUN3" "GAM" "KAPPA" 637 56.64 83.442 0.411 0.26 NA
"72" "Scleria.ciliata_PA1_RUN3_GAM" "PA1" "RUN3" "GAM" "BOYCE" 591 61.518 78.084 0.979 0.941 NA
"73" "Scleria.ciliata_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "TSS" 352 79.404 70.617 0.503 0.406 NA
"74" "Scleria.ciliata_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "ROC" 357 79.133 71.591 0.832 0.748 NA
"75" "Scleria.ciliata_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "KAPPA" 433 67.48 82.792 0.507 0.339 NA
"76" "Scleria.ciliata_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "BOYCE" 382 74.255 76.299 0.968 0.838 NA
"77" "Scleria.ciliata_PA1_RUN4_RF" "PA1" "RUN4" "RF" "TSS" 447 100 98.701 0.987 0.527 NA
"78" "Scleria.ciliata_PA1_RUN4_RF" "PA1" "RUN4" "RF" "ROC" 443 100 98.701 1 0.864 NA
"79" "Scleria.ciliata_PA1_RUN4_RF" "PA1" "RUN4" "RF" "KAPPA" 496 98.645 99.838 0.989 0.511 NA
"80" "Scleria.ciliata_PA1_RUN4_RF" "PA1" "RUN4" "RF" "BOYCE" 446 100 98.701 1 0.847 NA
"81" "Scleria.ciliata_PA1_RUN4_GBM" "PA1" "RUN4" "GBM" "TSS" 489 90.515 76.786 0.673 0.566 NA
"82" "Scleria.ciliata_PA1_RUN4_GBM" "PA1" "RUN4" "GBM" "ROC" 487.5 91.057 76.786 0.913 0.848 NA
"83" "Scleria.ciliata_PA1_RUN4_GBM" "PA1" "RUN4" "GBM" "KAPPA" 567 78.591 87.013 0.656 0.528 NA
"84" "Scleria.ciliata_PA1_RUN4_GBM" "PA1" "RUN4" "GBM" "BOYCE" 470 92.141 74.513 0.993 0.976 NA
"85" "Scleria.ciliata_PA1_RUN4_ANN" "PA1" "RUN4" "ANN" "TSS" 564 79.675 70.617 0.503 0.486 NA
"86" "Scleria.ciliata_PA1_RUN4_ANN" "PA1" "RUN4" "ANN" "ROC" 565 79.675 70.617 0.788 0.793 NA
"87" "Scleria.ciliata_PA1_RUN4_ANN" "PA1" "RUN4" "ANN" "KAPPA" 564 79.675 70.617 0.476 0.455 NA
"88" "Scleria.ciliata_PA1_RUN4_ANN" "PA1" "RUN4" "ANN" "BOYCE" 547 79.946 69.968 0.881 0.855 NA
"89" "Scleria.ciliata_PA1_RUN4_GLM" "PA1" "RUN4" "GLM" "TSS" 535 71.003 71.266 0.424 0.351 NA
"90" "Scleria.ciliata_PA1_RUN4_GLM" "PA1" "RUN4" "GLM" "ROC" 536.5 71.003 71.429 0.777 0.772 NA
"91" "Scleria.ciliata_PA1_RUN4_GLM" "PA1" "RUN4" "GLM" "KAPPA" 535 71.003 71.266 0.409 0.333 NA
"92" "Scleria.ciliata_PA1_RUN4_GLM" "PA1" "RUN4" "GLM" "BOYCE" 536 71.003 71.429 0.991 0.929 NA
"93" "Scleria.ciliata_PA1_RUN4_GAM" "PA1" "RUN4" "GAM" "TSS" 538 67.751 70.292 0.379 0.386 NA
"94" "Scleria.ciliata_PA1_RUN4_GAM" "PA1" "RUN4" "GAM" "ROC" 537.5 67.751 70.292 0.756 0.778 NA
"95" "Scleria.ciliata_PA1_RUN4_GAM" "PA1" "RUN4" "GAM" "KAPPA" 538 67.751 70.292 0.367 0.372 NA
"96" "Scleria.ciliata_PA1_RUN4_GAM" "PA1" "RUN4" "GAM" "BOYCE" 530 68.022 68.994 0.99 0.972 NA
"97" "Scleria.ciliata_PA1_RUN5_MAXENT" "PA1" "RUN5" "MAXENT" "TSS" 312 79.404 70.292 0.497 0.339 NA
"98" "Scleria.ciliata_PA1_RUN5_MAXENT" "PA1" "RUN5" "MAXENT" "ROC" 457.5 68.022 82.143 0.832 0.724 NA
"99" "Scleria.ciliata_PA1_RUN5_MAXENT" "PA1" "RUN5" "MAXENT" "KAPPA" 524 58.266 89.123 0.497 0.245 NA
"100" "Scleria.ciliata_PA1_RUN5_MAXENT" "PA1" "RUN5" "MAXENT" "BOYCE" 409 69.648 78.896 0.975 0.763 NA
"101" "Scleria.ciliata_PA1_RUN5_RF" "PA1" "RUN5" "RF" "TSS" 484 99.458 99.513 0.991 0.475 NA
"102" "Scleria.ciliata_PA1_RUN5_RF" "PA1" "RUN5" "RF" "ROC" 489 99.458 99.838 1 0.836 NA
"103" "Scleria.ciliata_PA1_RUN5_RF" "PA1" "RUN5" "RF" "KAPPA" 484 99.458 99.513 0.991 0.485 NA
"104" "Scleria.ciliata_PA1_RUN5_RF" "PA1" "RUN5" "RF" "BOYCE" 489 99.458 99.838 0.996 0.924 NA
"105" "Scleria.ciliata_PA1_RUN5_GBM" "PA1" "RUN5" "GBM" "TSS" 489 91.328 78.409 0.697 0.473 NA
"106" "Scleria.ciliata_PA1_RUN5_GBM" "PA1" "RUN5" "GBM" "ROC" 515.5 88.618 81.494 0.919 0.814 NA
"107" "Scleria.ciliata_PA1_RUN5_GBM" "PA1" "RUN5" "GBM" "KAPPA" 536 85.908 83.604 0.675 0.442 NA
"108" "Scleria.ciliata_PA1_RUN5_GBM" "PA1" "RUN5" "GBM" "BOYCE" 512 88.618 81.006 0.992 0.965 NA
