"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.cyperina_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 542 71.939 94.4 0.663 0.206 NA
"2" "Scleria.cyperina_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 542 71.939 94.4 0.907 0.661 NA
"3" "Scleria.cyperina_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 753 62.245 99.333 0.708 0.236 NA
"4" "Scleria.cyperina_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 524 72.449 93.6 0.718 0.356 NA
"5" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 372 100 99.6 0.996 0.405 NA
"6" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 374 100 99.6 1 0.802 NA
"7" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 415 99.49 99.867 0.994 0.424 NA
"8" "Scleria.cyperina_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 375 100 99.6 0.997 0.949 NA
"9" "Scleria.cyperina_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 498 90.306 84.4 0.748 0.392 NA
"10" "Scleria.cyperina_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 502 90.306 84.8 0.942 0.791 NA
"11" "Scleria.cyperina_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 642 68.367 94.8 0.662 0.388 NA
"12" "Scleria.cyperina_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 479 90.816 83.2 0.995 0.94 NA
"13" "Scleria.cyperina_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 503 71.939 70.533 0.425 0.388 NA
"14" "Scleria.cyperina_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 505 71.939 70.533 0.767 0.697 NA
"15" "Scleria.cyperina_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 682 51.02 85.2 0.352 0.203 NA
"16" "Scleria.cyperina_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 577 67.347 73.6 0.973 0.75 NA
"17" "Scleria.cyperina_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 498 83.163 74.4 0.576 0.256 NA
"18" "Scleria.cyperina_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 503 82.653 74.933 0.849 0.727 NA
"19" "Scleria.cyperina_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 548 78.061 78.133 0.458 0.202 NA
"20" "Scleria.cyperina_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 502 82.653 74.933 0.978 0.724 NA
"21" "Scleria.cyperina_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 514 77.041 69.2 0.457 0.325 NA
"22" "Scleria.cyperina_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 513.5 77.041 69.2 0.771 0.726 NA
"23" "Scleria.cyperina_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 524 75.51 70.267 0.341 0.257 NA
"24" "Scleria.cyperina_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 497 78.061 66.933 0.98 0.785 NA
"25" "Scleria.cyperina_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 683 64.796 98 0.628 0.345 NA
"26" "Scleria.cyperina_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 685 64.796 98 0.892 0.735 NA
"27" "Scleria.cyperina_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 683 64.796 98 0.699 0.34 NA
"28" "Scleria.cyperina_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 632 65.306 96.267 0.622 0.708 NA
"29" "Scleria.cyperina_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 374 100 99.733 0.999 0.353 NA
"30" "Scleria.cyperina_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 375 100 99.867 1 0.799 NA
"31" "Scleria.cyperina_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 374 100 99.733 0.997 0.378 NA
"32" "Scleria.cyperina_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 372 100 99.733 1 0.904 NA
"33" "Scleria.cyperina_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 414 94.898 76.533 0.717 0.41 NA
"34" "Scleria.cyperina_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 419 94.898 77.2 0.941 0.786 NA
"35" "Scleria.cyperina_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 653 66.327 96 0.669 0.358 NA
