"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.depressa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 594 75.221 94.688 0.699 0.305 NA
"2" "Scleria.depressa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 602.5 75.221 94.821 0.92 0.772 NA
"3" "Scleria.depressa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 805 61.947 99.867 0.734 0.323 NA
"4" "Scleria.depressa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 597 75.221 94.688 0.781 0.675 NA
"5" "Scleria.depressa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 418 100 100 1 0.264 NA
"6" "Scleria.depressa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 417 100 100 1 0.862 NA
"7" "Scleria.depressa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 418 100 100 1 0.349 NA
"8" "Scleria.depressa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 377 100 99.867 1 0.926 NA
"9" "Scleria.depressa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 451 96.46 86.056 0.826 0.578 NA
"10" "Scleria.depressa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 424.5 99.115 83.798 0.97 0.849 NA
"11" "Scleria.depressa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 596 75.221 96.547 0.715 0.509 NA
"12" "Scleria.depressa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 441 96.46 85.525 0.994 0.874 NA
"13" "Scleria.depressa_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 525 77.876 82.47 0.603 0.505 NA
"14" "Scleria.depressa_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 504.5 79.646 80.876 0.862 0.787 NA
"15" "Scleria.depressa_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 670 62.832 90.438 0.479 0.465 NA
"16" "Scleria.depressa_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 540 76.991 83.001 0.961 0.745 NA
"17" "Scleria.depressa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 530 76.106 68.26 0.446 0.372 NA
"18" "Scleria.depressa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 532 76.106 68.659 0.786 0.725 NA
"19" "Scleria.depressa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 620 58.407 81.673 0.304 0.173 NA
"20" "Scleria.depressa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 531 76.106 68.659 0.941 0.766 NA
"21" "Scleria.depressa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 547 69.027 68.792 0.38 0.408 NA
"22" "Scleria.depressa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 555.5 68.142 69.987 0.739 0.738 NA
"23" "Scleria.depressa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 615 53.097 79.681 0.232 0.242 NA
"24" "Scleria.depressa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 510 72.566 62.019 0.938 0.871 NA
"25" "Scleria.depressa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 462 82.301 89.509 0.719 0.344 NA
"26" "Scleria.depressa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 480 81.416 90.704 0.932 0.73 NA
"27" "Scleria.depressa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 734 68.142 98.805 0.75 0.368 NA
"28" "Scleria.depressa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 551 77.876 93.227 0.973 0.783 NA
"29" "Scleria.depressa_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 386 100 100 1 0.188 NA
"30" "Scleria.depressa_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 389 100 100 1 0.838 NA
"31" "Scleria.depressa_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 386 100 100 1 0.253 NA
"32" "Scleria.depressa_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 353 100 99.867 1 0.902 NA
"33" "Scleria.depressa_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 426 99.115 85.657 0.848 0.445 NA
"34" "Scleria.depressa_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 426 99.115 85.657 0.973 0.792 NA
"35" "Scleria.depressa_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 658 64.602 98.672 0.718 0.311 NA
