"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.distans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 413 72.222 77.504 0.494 0.366 NA
"2" "Scleria.distans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 412.5 72.222 77.504 0.819 0.744 NA
"3" "Scleria.distans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 483 62.374 85.824 0.501 0.331 NA
"4" "Scleria.distans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 418 70.707 77.658 0.985 0.943 NA
"5" "Scleria.distans_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 429 99.242 99.692 0.989 0.533 NA
"6" "Scleria.distans_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 427 99.242 99.692 1 0.824 NA
"7" "Scleria.distans_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 429 99.242 99.692 0.99 0.539 NA
"8" "Scleria.distans_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 405 99.495 99.384 0.996 0.961 NA
"9" "Scleria.distans_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 493 90.657 74.884 0.657 0.498 NA
"10" "Scleria.distans_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 498.5 90.404 75.655 0.907 0.803 NA
"11" "Scleria.distans_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 605 77.525 86.749 0.644 0.455 NA
"12" "Scleria.distans_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 516 87.374 77.504 0.994 0.916 NA
"13" "Scleria.distans_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 610 67.929 72.111 0.4 0.306 NA
"14" "Scleria.distans_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 612 67.929 72.419 0.734 0.661 NA
"15" "Scleria.distans_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 610 67.929 72.111 0.39 0.302 NA
"16" "Scleria.distans_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 584 68.434 71.341 0.744 0.221 NA
"17" "Scleria.distans_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 477 80.051 55.778 0.36 0.341 NA
"18" "Scleria.distans_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 480.5 79.798 56.394 0.755 0.761 NA
"19" "Scleria.distans_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 629 56.061 79.353 0.361 0.371 NA
"20" "Scleria.distans_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 504 75.253 59.63 0.991 0.941 NA
"21" "Scleria.distans_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 513 72.727 59.784 0.33 0.362 NA
"22" "Scleria.distans_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 501 75.758 57.473 0.724 0.743 NA
