"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.eggersiana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 0 100 0 0.575 0.544 NA
"2" "Scleria.eggersiana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 1.5 75.676 83.058 0.836 0.781 NA
"3" "Scleria.eggersiana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 814 51.351 100 0.667 0.32 NA
"4" "Scleria.eggersiana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 796 51.351 100 0.573 0.429 NA
"5" "Scleria.eggersiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 323.5 100 99.85 0.999 0.432 NA
"6" "Scleria.eggersiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 322 100 99.85 1 0.835 NA
"7" "Scleria.eggersiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 323.5 100 99.85 0.986 0.513 NA
"8" "Scleria.eggersiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 297 100 99.85 0.626 0.447 NA
"9" "Scleria.eggersiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 524 100 97.751 0.978 0.397 NA
"10" "Scleria.eggersiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 530 100 98.051 0.996 0.874 NA
"11" "Scleria.eggersiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 618.5 89.189 98.951 0.849 0.415 NA
"12" "Scleria.eggersiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 483 100 97.151 0.959 0.654 NA
"13" "Scleria.eggersiana_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 786 89.189 93.853 0.83 0.547 NA
"14" "Scleria.eggersiana_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 786.5 89.189 93.853 0.938 0.751 NA
