"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 282 78.261 80.614 0.59 0.527 NA
"2" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 282.5 78.261 80.753 0.884 0.778 NA
"3" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 755 43.478 99.024 0.527 0.283 NA
"4" "Scleria.flagellum-nigrorum_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 597 54.348 94.421 0.917 0.824 NA
"5" "Scleria.flagellum-nigrorum_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "TSS" 412 78.261 88.563 0.671 0.294 NA
"6" "Scleria.flagellum-nigrorum_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "ROC" 414 78.261 88.982 0.909 0.697 NA
"7" "Scleria.flagellum-nigrorum_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "KAPPA" 830 41.304 99.721 0.55 0.368 NA
"8" "Scleria.flagellum-nigrorum_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "BOYCE" 408 78.261 88.285 0.936 0.675 NA
"9" "Scleria.flagellum-nigrorum_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "TSS" 433 71.739 88.842 0.606 0.383 NA
"10" "Scleria.flagellum-nigrorum_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "ROC" 433 71.739 88.842 0.871 0.805 NA
"11" "Scleria.flagellum-nigrorum_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "KAPPA" 724 43.478 98.466 0.495 0.474 NA
"12" "Scleria.flagellum-nigrorum_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "BOYCE" 632 45.652 95.955 0.847 0.881 NA
"13" "Scleria.flagellum-nigrorum_PA1_RUN5_MAXENT" "PA1" "RUN5" "MAXENT" "TSS" 281 84.783 82.566 0.673 0.299 NA
"14" "Scleria.flagellum-nigrorum_PA1_RUN5_MAXENT" "PA1" "RUN5" "MAXENT" "ROC" 281.5 84.783 82.566 0.909 0.738 NA
"15" "Scleria.flagellum-nigrorum_PA1_RUN5_MAXENT" "PA1" "RUN5" "MAXENT" "KAPPA" 854 36.957 99.861 0.515 0.42 NA
