"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.foliosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 330 100 100 1 0.071 NA
"2" "Scleria.foliosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 330 100 100 1 0.652 NA
"3" "Scleria.foliosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 330 100 100 1 0.125 NA
"4" "Scleria.foliosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 301 100 100 1 0.661 NA
"5" "Scleria.foliosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 455 100 94.444 0.944 0.21 NA
"6" "Scleria.foliosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 461 100 94.851 0.99 0.63 NA
"7" "Scleria.foliosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 531 91.071 97.154 0.779 0.19 NA
"8" "Scleria.foliosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 452 100 94.309 0.963 0.697 NA
"9" "Scleria.foliosa_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 407 92.857 54.878 0.477 0.346 NA
"10" "Scleria.foliosa_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 408.5 92.857 54.878 0.798 0.665 NA
"11" "Scleria.foliosa_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 705 64.286 83.333 0.257 0.041 NA
"12" "Scleria.foliosa_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 852 10.714 99.729 0.549 -0.522 NA
"13" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 544 82.143 80.217 0.624 0.349 NA
"14" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 547.5 82.143 80.352 0.872 0.721 NA
"15" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 726 55.357 92.276 0.38 0.229 NA
"16" "Scleria.foliosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 553 80.357 80.894 0.949 0.832 NA
"17" "Scleria.foliosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 485 80.357 74.526 0.549 0.283 NA
"18" "Scleria.foliosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 485 80.357 74.526 0.823 0.677 NA
"19" "Scleria.foliosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 686 50 90.515 0.301 0.126 NA
"20" "Scleria.foliosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 447 83.929 69.648 0.951 0.603 NA
"21" "Scleria.foliosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 322 75 83.333 0.583 0.469 NA
"22" "Scleria.foliosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 322 75 83.333 0.84 0.75 NA
"23" "Scleria.foliosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 875 35.714 99.864 0.5 0.15 NA
"24" "Scleria.foliosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 525 51.786 93.631 0.796 0.753 NA
"25" "Scleria.foliosa_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 332 100 100 1 0.137 NA
"26" "Scleria.foliosa_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 334 100 100 1 0.768 NA
"27" "Scleria.foliosa_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 332 100 100 1 0.216 NA
"28" "Scleria.foliosa_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 327 100 100 1 0.522 NA
"29" "Scleria.foliosa_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 459 98.214 93.496 0.917 0.281 NA
"30" "Scleria.foliosa_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 459 98.214 93.496 0.99 0.743 NA
"31" "Scleria.foliosa_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 584 80.357 98.374 0.789 0.329 NA
"32" "Scleria.foliosa_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "BOYCE" 454 98.214 93.225 0.998 0.821 NA
"33" "Scleria.foliosa_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "TSS" 489 94.643 61.789 0.564 0.236 NA
"34" "Scleria.foliosa_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "ROC" 492 94.643 61.789 0.835 0.633 NA
"35" "Scleria.foliosa_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "KAPPA" 748 46.429 92.412 0.32 0.081 NA
"36" "Scleria.foliosa_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "BOYCE" 694 51.786 90.244 0.812 0.343 NA
"37" "Scleria.foliosa_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "TSS" 474 85.714 72.222 0.581 0.547 NA
"38" "Scleria.foliosa_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "ROC" 478.5 85.714 73.171 0.851 0.803 NA
"39" "Scleria.foliosa_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "KAPPA" 737 46.429 92.141 0.317 0.219 NA
"40" "Scleria.foliosa_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "BOYCE" 482 83.929 73.171 0.966 0.865 NA
