"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 342 70.51 82.878 0.534 0.504 NA
"2" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 335.5 71.267 82.302 0.842 0.824 NA
"3" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 272 75.614 76.691 0.511 0.476 NA
"4" "Scleria.gaertneri_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 355 70.038 82.878 0.994 0.926 NA
"5" "Scleria.gaertneri_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 527 99.433 100 0.994 0.562 NA
"6" "Scleria.gaertneri_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 527 99.433 100 1 0.849 NA
"7" "Scleria.gaertneri_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 527 99.433 100 0.993 0.556 NA
"8" "Scleria.gaertneri_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 529 99.433 100 0.998 0.979 NA
"9" "Scleria.gaertneri_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 398 79.112 79.424 0.584 0.489 NA
"10" "Scleria.gaertneri_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 394.5 79.395 79.281 0.877 0.832 NA
"11" "Scleria.gaertneri_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 360 82.703 75.252 0.579 0.504 NA
"12" "Scleria.gaertneri_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 413 76.938 80.863 0.992 0.934 NA
"13" "Scleria.gaertneri_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 474 55.577 83.453 0.39 0.27 NA
"14" "Scleria.gaertneri_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 456.5 57.183 81.871 0.747 0.669 NA
"15" "Scleria.gaertneri_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 332 80.34 57.842 0.391 0.234 NA
"16" "Scleria.gaertneri_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 535 49.149 88.201 0.879 0.334 NA
"17" "Scleria.gaertneri_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 494 68.526 83.165 0.519 0.508 NA
