"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.georgiana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 489 81.034 95.694 0.767 0.475 NA
"2" "Scleria.georgiana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 488 81.034 95.694 0.947 0.798 NA
"3" "Scleria.georgiana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 813 73.276 100 0.822 0.437 NA
"4" "Scleria.georgiana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 779 73.276 99.841 0.483 0.687 NA
"5" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 354 100 99.362 0.994 0.523 NA
"6" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 354 100 99.362 1 0.871 NA
"7" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 354 100 99.362 0.98 0.538 NA
"8" "Scleria.georgiana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 341 100 99.203 0.966 0.823 NA
"9" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 485 95.69 89.633 0.855 0.584 NA
"10" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 440 97.414 88.198 0.973 0.874 NA
"11" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 597 86.207 93.301 0.729 0.51 NA
"12" "Scleria.georgiana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 450 96.552 88.517 0.969 0.827 NA
"13" "Scleria.georgiana_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 548 87.069 79.904 0.67 0.42 NA
"14" "Scleria.georgiana_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 546.5 87.069 79.904 0.882 0.797 NA
"15" "Scleria.georgiana_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 728 66.379 90.59 0.532 0.412 NA
"16" "Scleria.georgiana_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 526 87.069 79.904 0.835 0.169 NA
