"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.greigiifolia_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 343 81.633 78.638 0.604 0.353 NA
"2" "Scleria.greigiifolia_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 367 79.592 80.908 0.887 0.811 NA
"3" "Scleria.greigiifolia_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 637 59.184 95.861 0.498 0.325 NA
"4" "Scleria.greigiifolia_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 590 61.224 93.191 0.907 0.684 NA
"5" "Scleria.greigiifolia_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 336 100 100 1 0.323 NA
"6" "Scleria.greigiifolia_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 336 100 100 1 0.718 NA
"7" "Scleria.greigiifolia_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 336 100 100 1 0.421 NA
"8" "Scleria.greigiifolia_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 320 100 100 1 0.736 NA
"9" "Scleria.greigiifolia_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 525 97.959 95.995 0.94 0.414 NA
"10" "Scleria.greigiifolia_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 525 97.959 95.995 0.988 0.76 NA
"11" "Scleria.greigiifolia_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 551 91.837 96.929 0.751 0.324 NA
"12" "Scleria.greigiifolia_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 492 97.959 94.927 0.989 0.675 NA
"13" "Scleria.greigiifolia_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 707 81.633 81.442 0.631 0.506 NA
"14" "Scleria.greigiifolia_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 708 81.633 81.442 0.849 0.753 NA
"15" "Scleria.greigiifolia_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 707 81.633 81.442 0.282 0.251 NA
"16" "Scleria.greigiifolia_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 674 81.633 81.175 0.87 0.551 NA
"17" "Scleria.greigiifolia_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 508 89.796 73.565 0.634 0.19 NA
"18" "Scleria.greigiifolia_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 510 89.796 73.698 0.853 0.724 NA
"19" "Scleria.greigiifolia_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 857 26.531 95.728 0.235 0.189 NA
"20" "Scleria.greigiifolia_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 485 89.796 71.963 0.839 0.69 NA
"21" "Scleria.greigiifolia_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 407 87.755 61.015 0.489 0.239 NA
"22" "Scleria.greigiifolia_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 407.5 87.755 61.148 0.795 0.694 NA
"23" "Scleria.greigiifolia_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 725 40.816 91.055 0.237 0.162 NA
"24" "Scleria.greigiifolia_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 395 87.755 60.08 0.912 0.664 NA
"25" "Scleria.greigiifolia_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 505 73.469 90.12 0.636 0.315 NA
"26" "Scleria.greigiifolia_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 505 73.469 90.12 0.9 0.753 NA
"27" "Scleria.greigiifolia_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 663 55.102 96.262 0.486 0.134 NA
"28" "Scleria.greigiifolia_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 508 71.429 90.387 0.89 0.749 NA
"29" "Scleria.greigiifolia_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 313 100 100 1 0.161 NA
"30" "Scleria.greigiifolia_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 314 100 100 1 0.787 NA
"31" "Scleria.greigiifolia_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 313 100 100 1 0.249 NA
"32" "Scleria.greigiifolia_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 293 100 100 1 0.617 NA
"33" "Scleria.greigiifolia_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 446 100 92.256 0.923 0.237 NA
"34" "Scleria.greigiifolia_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 452.5 100 92.657 0.984 0.704 NA
"35" "Scleria.greigiifolia_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 618 77.551 97.73 0.712 0.305 NA
"36" "Scleria.greigiifolia_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "BOYCE" 421 100 90.921 0.959 0.572 NA
"37" "Scleria.greigiifolia_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "TSS" 354 97.959 65.955 0.64 0.292 NA
"38" "Scleria.greigiifolia_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "ROC" 355 97.959 66.088 0.873 0.691 NA
"39" "Scleria.greigiifolia_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "KAPPA" 784.5 67.347 87.85 0.322 0.215 NA
"40" "Scleria.greigiifolia_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "BOYCE" 755 67.347 87.717 0.861 0.713 NA
"41" "Scleria.greigiifolia_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "TSS" 501 85.714 71.162 0.57 0.321 NA
"42" "Scleria.greigiifolia_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "ROC" 505.5 85.714 71.429 0.856 0.713 NA
"43" "Scleria.greigiifolia_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "KAPPA" 761 51.02 91.455 0.317 0.025 NA
"44" "Scleria.greigiifolia_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "BOYCE" 504 85.714 71.295 0.957 0.541 NA
"45" "Scleria.greigiifolia_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "TSS" 521 73.469 73.698 0.472 0.181 NA
"46" "Scleria.greigiifolia_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "ROC" 395.5 87.755 59.947 0.801 0.666 NA
"47" "Scleria.greigiifolia_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "KAPPA" 690 48.98 89.319 0.251 0.138 NA
"48" "Scleria.greigiifolia_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "BOYCE" 638 53.061 85.18 0.945 0.584 NA
"49" "Scleria.greigiifolia_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "TSS" 403 77.551 81.041 0.587 0.402 NA
"50" "Scleria.greigiifolia_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "ROC" 373.5 79.592 79.306 0.888 0.855 NA
"51" "Scleria.greigiifolia_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "KAPPA" 730 40.816 98.264 0.461 0.475 NA
"52" "Scleria.greigiifolia_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "BOYCE" 544 65.306 90.654 0.957 0.785 NA
"53" "Scleria.greigiifolia_PA1_RUN3_RF" "PA1" "RUN3" "RF" "TSS" 343 100 100 1 0.073 NA
"54" "Scleria.greigiifolia_PA1_RUN3_RF" "PA1" "RUN3" "RF" "ROC" 343 100 100 1 0.866 NA
"55" "Scleria.greigiifolia_PA1_RUN3_RF" "PA1" "RUN3" "RF" "KAPPA" 343 100 100 1 0.112 NA
"56" "Scleria.greigiifolia_PA1_RUN3_RF" "PA1" "RUN3" "RF" "BOYCE" 316 100 100 1 0.687 NA
"57" "Scleria.greigiifolia_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "TSS" 465 100 93.992 0.941 0.388 NA
"58" "Scleria.greigiifolia_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "ROC" 466.5 100 94.126 0.987 0.866 NA
"59" "Scleria.greigiifolia_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "KAPPA" 634 73.469 98.665 0.743 0.421 NA
"60" "Scleria.greigiifolia_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "BOYCE" 460 100 93.725 0.974 0.532 NA
"61" "Scleria.greigiifolia_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "TSS" 495 97.959 52.737 0.507 0.258 NA
"62" "Scleria.greigiifolia_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "ROC" 494 97.959 52.737 0.809 0.698 NA
"63" "Scleria.greigiifolia_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "KAPPA" 811.5 38.776 96.529 0.367 0.342 NA
"64" "Scleria.greigiifolia_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "BOYCE" 606 46.939 93.458 0.783 0.447 NA
"65" "Scleria.greigiifolia_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "TSS" 396 95.918 64.887 0.608 0.408 NA
"66" "Scleria.greigiifolia_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "ROC" 399 95.918 65.154 0.844 0.765 NA
"67" "Scleria.greigiifolia_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "KAPPA" 811 34.694 94.126 0.262 0.31 NA
"68" "Scleria.greigiifolia_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "BOYCE" 419 89.796 67.023 0.886 0.709 NA
"69" "Scleria.greigiifolia_PA1_RUN3_GAM" "PA1" "RUN3" "GAM" "TSS" 526 67.347 71.829 0.397 0.472 NA
"70" "Scleria.greigiifolia_PA1_RUN3_GAM" "PA1" "RUN3" "GAM" "ROC" 514 69.388 71.028 0.768 0.832 NA
"71" "Scleria.greigiifolia_PA1_RUN3_GAM" "PA1" "RUN3" "GAM" "KAPPA" 719 34.694 92.123 0.213 0.338 NA
"72" "Scleria.greigiifolia_PA1_RUN3_GAM" "PA1" "RUN3" "GAM" "BOYCE" 545 61.224 74.366 0.924 0.804 NA
"73" "Scleria.greigiifolia_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "TSS" 271 81.633 82.51 0.641 0.571 NA
"74" "Scleria.greigiifolia_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "ROC" 301 79.592 84.78 0.898 0.775 NA
"75" "Scleria.greigiifolia_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "KAPPA" 869 38.776 100 0.543 -0.058 NA
"76" "Scleria.greigiifolia_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "BOYCE" 802 40.816 99.199 0.875 0.263 NA
"77" "Scleria.greigiifolia_PA1_RUN4_RF" "PA1" "RUN4" "RF" "TSS" 380 100 100 1 0.067 NA
"78" "Scleria.greigiifolia_PA1_RUN4_RF" "PA1" "RUN4" "RF" "ROC" 383 100 100 1 0.778 NA
"79" "Scleria.greigiifolia_PA1_RUN4_RF" "PA1" "RUN4" "RF" "KAPPA" 380 100 100 1 0.098 NA
"80" "Scleria.greigiifolia_PA1_RUN4_RF" "PA1" "RUN4" "RF" "BOYCE" 353 100 99.866 1 0.696 NA
"81" "Scleria.greigiifolia_PA1_RUN4_GBM" "PA1" "RUN4" "GBM" "TSS" 479 100 95.728 0.957 0.393 NA
"82" "Scleria.greigiifolia_PA1_RUN4_GBM" "PA1" "RUN4" "GBM" "ROC" 479.5 100 95.728 0.991 0.823 NA
