"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 475 71.034 84.187 0.552 0.317 NA
"2" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 476.5 71.034 84.488 0.839 0.667 NA
"3" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 585 57.931 92.47 0.519 0.214 NA
"4" "Scleria.hirtella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 446 73.793 81.325 0.995 0.81 NA
"5" "Scleria.hirtella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 393.5 100 100 1 0.196 NA
"6" "Scleria.hirtella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 394 100 100 1 0.765 NA
"7" "Scleria.hirtella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 393.5 100 100 1 0.243 NA
"8" "Scleria.hirtella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 383 100 100 1 0.789 NA
"9" "Scleria.hirtella_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 448 93.793 81.325 0.753 0.275 NA
"10" "Scleria.hirtella_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 454 93.103 82.229 0.945 0.689 NA
"11" "Scleria.hirtella_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 579 77.241 93.373 0.686 0.267 NA
"12" "Scleria.hirtella_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 461 90.345 82.53 0.995 0.748 NA
"13" "Scleria.hirtella_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 518 88.966 56.928 0.459 0.362 NA
"14" "Scleria.hirtella_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 515 88.966 56.928 0.756 0.718 NA
"15" "Scleria.hirtella_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 707 35.172 92.47 0.302 0.127 NA
"16" "Scleria.hirtella_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 480 88.966 56.476 0.858 0.752 NA
"17" "Scleria.hirtella_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 484 80 67.018 0.47 0.252 NA
"18" "Scleria.hirtella_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 506.5 78.621 68.976 0.792 0.684 NA
