"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 247 46.296 99.866 0.462 0.238 NA
"2" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 250 46.296 99.866 0.731 0.619 NA
"3" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 247 46.296 99.866 0.608 0.208 NA
"4" "Scleria.iostephana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 25 46.296 99.866 1 1 NA
"5" "Scleria.iostephana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 382 100 100 1 0.456 NA
"6" "Scleria.iostephana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 382 100 100 1 0.954 NA
"7" "Scleria.iostephana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 382 100 100 1 0.581 NA
"8" "Scleria.iostephana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 348 100 99.866 1 0.896 NA
"9" "Scleria.iostephana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 430 100 94.378 0.944 0.739 NA
"10" "Scleria.iostephana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 436.5 100 94.645 0.993 0.925 NA
"11" "Scleria.iostephana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 579 92.593 98.126 0.835 0.477 NA
"12" "Scleria.iostephana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 540 94.444 97.456 0.955 0.894 NA
"13" "Scleria.iostephana_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 503 87.037 71.218 0.583 0.531 NA
"14" "Scleria.iostephana_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 511 87.037 71.352 0.806 0.795 NA
"15" "Scleria.iostephana_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 657 74.074 81.526 0.269 0.216 NA
"16" "Scleria.iostephana_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 590 74.074 81.526 0.61 0.529 NA
"17" "Scleria.iostephana_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 475 85.185 75.904 0.611 0.618 NA
"18" "Scleria.iostephana_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 475 85.185 75.904 0.872 0.822 NA
"19" "Scleria.iostephana_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 818 44.444 95.047 0.381 0.137 NA
