"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.lagoensis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 533 70.732 93.681 0.644 0.195 NA
"2" "Scleria.lagoensis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 541.5 70.732 94.093 0.901 0.746 NA
"3" "Scleria.lagoensis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 724 60.163 98.489 0.677 0.132 NA
"4" "Scleria.lagoensis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 515 70.732 93.269 0.9 0.272 NA
"5" "Scleria.lagoensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 394 100 100 1 0.236 NA
"6" "Scleria.lagoensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 396 100 100 1 0.805 NA
"7" "Scleria.lagoensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 394 100 100 1 0.317 NA
"8" "Scleria.lagoensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 356 100 99.863 1 0.811 NA
"9" "Scleria.lagoensis_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 429 97.561 86.126 0.837 0.473 NA
"10" "Scleria.lagoensis_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 433 97.561 86.264 0.961 0.801 NA
"11" "Scleria.lagoensis_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 587 80.488 93.132 0.677 0.312 NA
"12" "Scleria.lagoensis_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 453 95.935 86.951 0.994 0.835 NA
"13" "Scleria.lagoensis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 507 78.049 76.374 0.544 0.192 NA
"14" "Scleria.lagoensis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 539.5 74.797 80.357 0.842 0.687 NA
"15" "Scleria.lagoensis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 691 56.911 89.423 0.429 0.201 NA
"16" "Scleria.lagoensis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 496 78.049 76.236 0.917 0.622 NA
"17" "Scleria.lagoensis_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 491 79.675 71.841 0.518 0.381 NA
"18" "Scleria.lagoensis_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 417.5 87.805 64.286 0.824 0.743 NA
"19" "Scleria.lagoensis_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 648 56.911 86.126 0.373 0.324 NA
"20" "Scleria.lagoensis_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 442 82.927 67.17 0.982 0.846 NA
"21" "Scleria.lagoensis_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 350 90.244 52.885 0.434 0.322 NA
"22" "Scleria.lagoensis_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 353.5 90.244 53.571 0.772 0.747 NA
"23" "Scleria.lagoensis_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 690 43.089 85.852 0.258 0.239 NA
"24" "Scleria.lagoensis_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 354 89.431 53.571 0.945 0.768 NA
"25" "Scleria.lagoensis_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 50 58.537 89.835 0.484 0.351 NA
"26" "Scleria.lagoensis_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 56 58.537 89.973 0.785 0.701 NA
"27" "Scleria.lagoensis_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 708.5 47.154 99.863 0.6 0.329 NA
"28" "Scleria.lagoensis_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 694 47.154 99.725 0.032 0.618 NA
"29" "Scleria.lagoensis_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 356.5 100 100 1 0.456 NA
"30" "Scleria.lagoensis_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 353 100 100 1 0.847 NA
"31" "Scleria.lagoensis_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 356.5 100 100 1 0.481 NA
"32" "Scleria.lagoensis_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 334 100 100 1 0.896 NA
"33" "Scleria.lagoensis_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 477 95.122 87.637 0.828 0.522 NA
"34" "Scleria.lagoensis_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 475.5 95.935 87.5 0.961 0.829 NA
"35" "Scleria.lagoensis_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 577 83.74 92.308 0.678 0.455 NA
"36" "Scleria.lagoensis_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "BOYCE" 443 97.561 85.165 0.984 0.866 NA
"37" "Scleria.lagoensis_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "TSS" 547 73.171 72.115 0.453 0.396 NA
"38" "Scleria.lagoensis_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "ROC" 550.5 73.171 72.253 0.759 0.733 NA
"39" "Scleria.lagoensis_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "KAPPA" 616 61.789 81.044 0.328 0.233 NA
"40" "Scleria.lagoensis_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "BOYCE" 531 73.171 71.841 0.835 0.493 NA
"41" "Scleria.lagoensis_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "TSS" 446 83.74 68.269 0.52 0.486 NA
"42" "Scleria.lagoensis_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "ROC" 413.5 87.805 64.698 0.825 0.774 NA
"43" "Scleria.lagoensis_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "KAPPA" 582 65.854 80.769 0.35 0.299 NA
"44" "Scleria.lagoensis_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "BOYCE" 411 87.805 64.423 0.98 0.794 NA
"45" "Scleria.lagoensis_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "TSS" 503 71.545 70.055 0.417 0.347 NA
"46" "Scleria.lagoensis_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "ROC" 415 82.114 59.89 0.774 0.731 NA
"47" "Scleria.lagoensis_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "KAPPA" 718 37.398 90.247 0.289 0.196 NA
"48" "Scleria.lagoensis_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "BOYCE" 456 75.61 64.286 0.944 0.848 NA
"49" "Scleria.lagoensis_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "TSS" 20 73.171 77.885 0.496 0.296 NA
"50" "Scleria.lagoensis_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "ROC" 19.5 73.171 77.885 0.815 0.681 NA
