"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.latifolia_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 241 81.873 78.889 0.606 0.485 NA
"2" "Scleria.latifolia_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 256.5 80.478 80.556 0.891 0.793 NA
"3" "Scleria.latifolia_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 482 68.327 91.667 0.618 0.453 NA
"4" "Scleria.latifolia_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 453 68.924 90.556 0.951 0.778 NA
"5" "Scleria.latifolia_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 453 99.801 99.722 0.995 0.518 NA
"6" "Scleria.latifolia_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 453 99.801 99.722 1 0.84 NA
"7" "Scleria.latifolia_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 453 99.801 99.722 0.995 0.518 NA
"8" "Scleria.latifolia_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 452 99.801 99.722 1 0.978 NA
"9" "Scleria.latifolia_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 387 86.853 82.5 0.694 0.477 NA
"10" "Scleria.latifolia_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 388 86.653 82.778 0.921 0.822 NA
"11" "Scleria.latifolia_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 387 86.853 82.5 0.683 0.468 NA
"12" "Scleria.latifolia_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 402 84.861 84.028 0.999 0.942 NA
"13" "Scleria.latifolia_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 326 81.673 77.5 0.592 0.449 NA
"14" "Scleria.latifolia_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 337 81.474 77.778 0.842 0.796 NA
"15" "Scleria.latifolia_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 441 75.697 82.917 0.586 0.409 NA
"16" "Scleria.latifolia_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 446 75.498 82.917 0.976 0.73 NA
"17" "Scleria.latifolia_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 383 81.673 75.556 0.572 0.427 NA
"18" "Scleria.latifolia_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 380.5 81.873 75.556 0.855 0.801 NA
"19" "Scleria.latifolia_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 473 72.311 83.75 0.564 0.441 NA
"20" "Scleria.latifolia_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 409 78.486 77.639 0.982 0.968 NA
"21" "Scleria.latifolia_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 477 62.151 83.333 0.456 0.423 NA
"22" "Scleria.latifolia_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 466.5 63.147 82.778 0.793 0.758 NA
"23" "Scleria.latifolia_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 477 62.151 83.333 0.466 0.426 NA
