"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.laxa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 550.5 4.762 100 0.048 -0.036 NA
"2" "Scleria.laxa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 551.5 4.762 100 0.522 0.482 NA
"3" "Scleria.laxa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 550.5 4.762 100 0.082 -0.052 NA
"4" "Scleria.laxa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 526 4.762 99.852 0.5 -1 NA
"5" "Scleria.laxa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 351 100 100 1 0.214 NA
"6" "Scleria.laxa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 349 100 100 1 0.842 NA
"7" "Scleria.laxa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 351 100 100 1 0.286 NA
"8" "Scleria.laxa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 334 100 100 1 0.863 NA
"9" "Scleria.laxa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 439 100 90.089 0.901 0.394 NA
"10" "Scleria.laxa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 444.5 100 90.237 0.979 0.816 NA
"11" "Scleria.laxa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 573 90.476 94.822 0.752 0.371 NA
"12" "Scleria.laxa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 520 92.857 92.751 0.959 0.742 NA
"13" "Scleria.laxa_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 540 79.762 71.746 0.515 0.519 NA
"14" "Scleria.laxa_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 546 79.762 72.041 0.758 0.791 NA
"15" "Scleria.laxa_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 540 79.762 71.746 0.27 0.332 NA
"16" "Scleria.laxa_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 800 7.143 99.704 0.701 0.744 NA
"17" "Scleria.laxa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 455 82.143 68.343 0.505 0.466 NA
"18" "Scleria.laxa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 461 82.143 68.639 0.829 0.8 NA
"19" "Scleria.laxa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 733 48.81 90.533 0.355 0.22 NA
"20" "Scleria.laxa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 481 79.762 69.97 0.98 0.823 NA
"21" "Scleria.laxa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 584 66.667 77.959 0.448 0.436 NA
"22" "Scleria.laxa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 501.5 75 69.822 0.795 0.802 NA
"23" "Scleria.laxa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 693 52.381 89.497 0.363 0.22 NA
"24" "Scleria.laxa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 534 70.238 72.929 0.909 0.783 NA
"25" "Scleria.laxa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 247 13.095 99.852 0.129 -0.006 NA
"26" "Scleria.laxa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 250 13.095 99.852 0.565 0.497 NA
"27" "Scleria.laxa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 247 13.095 99.852 0.207 -0.01 NA
"28" "Scleria.laxa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 25 13.095 99.852 1 -1 NA
"29" "Scleria.laxa_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 381 100 100 1 0.274 NA
"30" "Scleria.laxa_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 379 100 100 1 0.886 NA
"31" "Scleria.laxa_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 381 100 100 1 0.376 NA
"32" "Scleria.laxa_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 361 100 100 1 0.796 NA
"33" "Scleria.laxa_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 426 100 89.201 0.893 0.423 NA
"34" "Scleria.laxa_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 431.5 100 89.793 0.977 0.836 NA
"35" "Scleria.laxa_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 545 91.667 93.935 0.727 0.358 NA
"36" "Scleria.laxa_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "BOYCE" 427 100 89.349 0.975 0.861 NA
"37" "Scleria.laxa_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "TSS" 600 89.286 77.663 0.669 0.263 NA
"38" "Scleria.laxa_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "ROC" 597.5 89.286 77.663 0.872 0.683 NA
"39" "Scleria.laxa_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "KAPPA" 728 51.19 94.527 0.471 0.182 NA
"40" "Scleria.laxa_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "BOYCE" 590 89.286 77.663 0.891 0.442 NA
"41" "Scleria.laxa_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "TSS" 603 69.048 82.84 0.519 0.352 NA
"42" "Scleria.laxa_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "ROC" 481.5 80.952 71.006 0.839 0.777 NA
"43" "Scleria.laxa_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "KAPPA" 741 46.429 91.568 0.361 0.272 NA
"44" "Scleria.laxa_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "BOYCE" 577 70.238 79.882 0.958 0.862 NA
"45" "Scleria.laxa_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "TSS" 527 71.429 73.521 0.451 0.507 NA
"46" "Scleria.laxa_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "ROC" 603.5 65.476 80.769 0.797 0.8 NA
"47" "Scleria.laxa_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "KAPPA" 677 53.571 87.426 0.331 0.276 NA
"48" "Scleria.laxa_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "BOYCE" 590 65.476 78.55 0.961 0.866 NA
"49" "Scleria.laxa_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "TSS" 150 82.143 85.207 0.673 0.37 NA
"50" "Scleria.laxa_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "ROC" 149.5 82.143 85.207 0.875 0.724 NA
"51" "Scleria.laxa_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "KAPPA" 720 53.571 99.408 0.648 0.216 NA
"52" "Scleria.laxa_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "BOYCE" 522 65.476 95.71 0.81 0.581 NA
"53" "Scleria.laxa_PA1_RUN3_RF" "PA1" "RUN3" "RF" "TSS" 332 100 100 1 0.077 NA
"54" "Scleria.laxa_PA1_RUN3_RF" "PA1" "RUN3" "RF" "ROC" 333 100 100 1 0.862 NA
"55" "Scleria.laxa_PA1_RUN3_RF" "PA1" "RUN3" "RF" "KAPPA" 332 100 100 1 0.116 NA
"56" "Scleria.laxa_PA1_RUN3_RF" "PA1" "RUN3" "RF" "BOYCE" 330 100 100 1 0.71 NA
"57" "Scleria.laxa_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "TSS" 451 98.81 91.864 0.907 0.394 NA
"58" "Scleria.laxa_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "ROC" 451 98.81 91.864 0.979 0.823 NA
"59" "Scleria.laxa_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "KAPPA" 506 95.238 93.639 0.739 0.209 NA
"60" "Scleria.laxa_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "BOYCE" 464 97.619 92.012 0.989 0.806 NA
"61" "Scleria.laxa_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "TSS" 621 82.143 86.538 0.688 0.293 NA
"62" "Scleria.laxa_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "ROC" 625 82.143 86.834 0.866 0.661 NA
"63" "Scleria.laxa_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "KAPPA" 654 80.952 87.278 0.5 0.214 NA
"64" "Scleria.laxa_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "BOYCE" 613 82.143 86.538 0.846 0.488 NA
"65" "Scleria.laxa_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "TSS" 479 83.333 71.598 0.549 0.377 NA
"66" "Scleria.laxa_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "ROC" 486.5 83.333 72.189 0.834 0.758 NA
"67" "Scleria.laxa_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "KAPPA" 587 71.429 80.917 0.343 0.279 NA
"68" "Scleria.laxa_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "BOYCE" 510 78.571 74.704 0.952 0.79 NA
"69" "Scleria.laxa_PA1_RUN3_GAM" "PA1" "RUN3" "GAM" "TSS" 617 65.476 82.692 0.483 0.436 NA
"70" "Scleria.laxa_PA1_RUN3_GAM" "PA1" "RUN3" "GAM" "ROC" 619.5 65.476 83.136 0.795 0.786 NA
"71" "Scleria.laxa_PA1_RUN3_GAM" "PA1" "RUN3" "GAM" "KAPPA" 696 47.619 90.237 0.343 0.315 NA
"72" "Scleria.laxa_PA1_RUN3_GAM" "PA1" "RUN3" "GAM" "BOYCE" 572 69.048 78.107 0.907 0.424 NA
"73" "Scleria.laxa_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "TSS" 342 86.905 80.325 0.678 0.471 NA
"74" "Scleria.laxa_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "ROC" 342.5 86.905 80.917 0.922 0.842 NA
"75" "Scleria.laxa_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "KAPPA" 694 64.286 98.077 0.684 0.457 NA
"76" "Scleria.laxa_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "BOYCE" 471 75 89.497 0.97 0.83 NA
"77" "Scleria.laxa_PA1_RUN4_RF" "PA1" "RUN4" "RF" "TSS" 357.5 100 100 1 0.286 NA
"78" "Scleria.laxa_PA1_RUN4_RF" "PA1" "RUN4" "RF" "ROC" 356 100 100 1 0.849 NA
"79" "Scleria.laxa_PA1_RUN4_RF" "PA1" "RUN4" "RF" "KAPPA" 357.5 100 100 1 0.416 NA
"80" "Scleria.laxa_PA1_RUN4_RF" "PA1" "RUN4" "RF" "BOYCE" 319 100 100 1 0.955 NA
"81" "Scleria.laxa_PA1_RUN4_GBM" "PA1" "RUN4" "GBM" "TSS" 451 98.81 89.793 0.886 0.584 NA
"82" "Scleria.laxa_PA1_RUN4_GBM" "PA1" "RUN4" "GBM" "ROC" 455 98.81 90.089 0.975 0.869 NA
"83" "Scleria.laxa_PA1_RUN4_GBM" "PA1" "RUN4" "GBM" "KAPPA" 585 82.143 94.822 0.697 0.467 NA
"84" "Scleria.laxa_PA1_RUN4_GBM" "PA1" "RUN4" "GBM" "BOYCE" 434 98.81 89.053 0.967 0.853 NA
"85" "Scleria.laxa_PA1_RUN4_ANN" "PA1" "RUN4" "ANN" "TSS" 688 86.905 84.024 0.711 0.216 NA
"86" "Scleria.laxa_PA1_RUN4_ANN" "PA1" "RUN4" "ANN" "ROC" 691 86.905 84.172 0.876 0.732 NA
"87" "Scleria.laxa_PA1_RUN4_ANN" "PA1" "RUN4" "ANN" "KAPPA" 688 86.905 84.024 0.474 0.144 NA
"88" "Scleria.laxa_PA1_RUN4_ANN" "PA1" "RUN4" "ANN" "BOYCE" 657 86.905 83.58 0.84 0.562 NA
"89" "Scleria.laxa_PA1_RUN4_GLM" "PA1" "RUN4" "GLM" "TSS" 360 90.476 59.172 0.499 0.485 NA
"90" "Scleria.laxa_PA1_RUN4_GLM" "PA1" "RUN4" "GLM" "ROC" 346.5 91.667 58.432 0.828 0.825 NA
"91" "Scleria.laxa_PA1_RUN4_GLM" "PA1" "RUN4" "GLM" "KAPPA" 701 51.19 89.053 0.343 0.37 NA
"92" "Scleria.laxa_PA1_RUN4_GLM" "PA1" "RUN4" "GLM" "BOYCE" 567 67.857 77.811 0.948 0.797 NA
"93" "Scleria.laxa_PA1_RUN4_GAM" "PA1" "RUN4" "GAM" "TSS" 538 70.238 72.929 0.433 0.466 NA
"94" "Scleria.laxa_PA1_RUN4_GAM" "PA1" "RUN4" "GAM" "ROC" 540.5 70.238 73.521 0.791 0.811 NA
"95" "Scleria.laxa_PA1_RUN4_GAM" "PA1" "RUN4" "GAM" "KAPPA" 675 50 86.834 0.296 0.358 NA
"96" "Scleria.laxa_PA1_RUN4_GAM" "PA1" "RUN4" "GAM" "BOYCE" 537 70.238 72.929 0.962 0.898 NA
"97" "Scleria.laxa_PA1_RUN5_MAXENT" "PA1" "RUN5" "MAXENT" "TSS" 90 80.952 72.633 0.537 0.472 NA
"98" "Scleria.laxa_PA1_RUN5_MAXENT" "PA1" "RUN5" "MAXENT" "ROC" 92.5 80.952 73.373 0.796 0.801 NA
"99" "Scleria.laxa_PA1_RUN5_MAXENT" "PA1" "RUN5" "MAXENT" "KAPPA" 460 35.714 97.485 0.411 0.506 NA
"100" "Scleria.laxa_PA1_RUN5_MAXENT" "PA1" "RUN5" "MAXENT" "BOYCE" 112 72.619 76.627 0.766 0.79 NA
"101" "Scleria.laxa_PA1_RUN5_RF" "PA1" "RUN5" "RF" "TSS" 364 100 100 1 0.327 NA
"102" "Scleria.laxa_PA1_RUN5_RF" "PA1" "RUN5" "RF" "ROC" 365 100 100 1 0.89 NA
"103" "Scleria.laxa_PA1_RUN5_RF" "PA1" "RUN5" "RF" "KAPPA" 364 100 100 1 0.449 NA
"104" "Scleria.laxa_PA1_RUN5_RF" "PA1" "RUN5" "RF" "BOYCE" 352 100 100 1 0.704 NA
"105" "Scleria.laxa_PA1_RUN5_GBM" "PA1" "RUN5" "GBM" "TSS" 463 98.81 90.828 0.896 0.429 NA
"106" "Scleria.laxa_PA1_RUN5_GBM" "PA1" "RUN5" "GBM" "ROC" 470.5 98.81 91.124 0.972 0.881 NA
"107" "Scleria.laxa_PA1_RUN5_GBM" "PA1" "RUN5" "GBM" "KAPPA" 492 96.429 91.716 0.691 0.358 NA
"108" "Scleria.laxa_PA1_RUN5_GBM" "PA1" "RUN5" "GBM" "BOYCE" 452 98.81 90.68 0.864 0.762 NA
"109" "Scleria.laxa_PA1_RUN5_ANN" "PA1" "RUN5" "ANN" "TSS" 755.5 80.952 90.237 0.712 0.328 NA
"110" "Scleria.laxa_PA1_RUN5_ANN" "PA1" "RUN5" "ANN" "ROC" 754.5 80.952 90.237 0.891 0.719 NA
"111" "Scleria.laxa_PA1_RUN5_ANN" "PA1" "RUN5" "ANN" "KAPPA" 755.5 80.952 90.237 0.565 0.297 NA
"112" "Scleria.laxa_PA1_RUN5_ANN" "PA1" "RUN5" "ANN" "BOYCE" 714 80.952 89.645 0.891 0.266 NA
