"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.leptostachya_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 0 100 0 0.631 0.366 NA
"2" "Scleria.leptostachya_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 1.5 75.714 88.769 0.853 0.708 NA
"3" "Scleria.leptostachya_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 716 52.857 99.865 0.665 0.224 NA
"4" "Scleria.leptostachya_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 838 48.571 100 0.594 0.302 NA
"5" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 322 100 99.865 0.999 0.362 NA
"6" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 325 100 99.865 1 0.778 NA
"7" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 322 100 99.865 0.992 0.426 NA
"8" "Scleria.leptostachya_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 297 100 99.865 0.656 0.779 NA
"9" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 444 100 94.858 0.949 0.474 NA
"10" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 444 100 94.858 0.984 0.748 NA
"11" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 480 95.714 95.805 0.775 0.431 NA
"12" "Scleria.leptostachya_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 405 100 92.828 0.752 0.83 NA
"13" "Scleria.leptostachya_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 747 58.571 95.805 0.544 0.279 NA
"14" "Scleria.leptostachya_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 747 58.571 95.805 0.812 0.767 NA
"15" "Scleria.leptostachya_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 747 58.571 95.805 0.537 0.294 NA
"16" "Scleria.leptostachya_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 660 58.571 95.805 0.438 0.482 NA
"17" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 454 88.571 80.514 0.691 0.423 NA
"18" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 461 88.571 81.191 0.916 0.784 NA
"19" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 867 48.571 98.241 0.55 0.224 NA
"20" "Scleria.leptostachya_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 445 88.571 80.108 0.97 0.875 NA
"21" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 591 60 86.874 0.469 0.41 NA
"22" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 594.5 60 87.28 0.811 0.775 NA
"23" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 823.5 37.143 98.782 0.464 0.302 NA
"24" "Scleria.leptostachya_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 655 54.286 92.152 0.947 0.769 NA
"25" "Scleria.leptostachya_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 586 54.286 100 0.543 0.157 NA
