"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.levis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 241.5 77.86 95.126 0.73 0.612 NA
"2" "Scleria.levis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 244 77.86 95.126 0.92 0.855 NA
"3" "Scleria.levis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 320 76.015 96.931 0.764 0.653 NA
"4" "Scleria.levis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 716 69.742 99.639 0.853 0.364 NA
"5" "Scleria.levis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 444 100 99.278 0.993 0.627 NA
"6" "Scleria.levis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 453 100 99.458 1 0.925 NA
"7" "Scleria.levis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 444 100 99.278 0.989 0.642 NA
"8" "Scleria.levis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 454 99.631 99.458 0.994 0.903 NA
"9" "Scleria.levis_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 426 96.679 88.809 0.857 0.658 NA
"10" "Scleria.levis_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 434 96.31 89.711 0.981 0.911 NA
"11" "Scleria.levis_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 583 87.085 95.307 0.831 0.623 NA
"12" "Scleria.levis_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 430 96.31 89.35 0.98 0.894 NA
"13" "Scleria.levis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 507.5 86.347 88.989 0.753 0.62 NA
"14" "Scleria.levis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 507.5 86.347 88.989 0.938 0.87 NA
"15" "Scleria.levis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 681 79.705 93.863 0.751 0.627 NA
"16" "Scleria.levis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 517 85.978 88.989 0.969 0.754 NA
"17" "Scleria.levis_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 434 87.823 83.394 0.712 0.585 NA
"18" "Scleria.levis_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 429.5 88.192 83.032 0.929 0.873 NA
"19" "Scleria.levis_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 616 75.646 92.238 0.691 0.663 NA
"20" "Scleria.levis_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 446 87.085 83.574 0.981 0.873 NA
"21" "Scleria.levis_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 505 83.395 86.823 0.702 0.605 NA
"22" "Scleria.levis_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 512.5 83.395 87.365 0.925 0.869 NA
"23" "Scleria.levis_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 626 74.539 93.321 0.7 0.6 NA
"24" "Scleria.levis_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 518 82.657 87.365 0.992 0.796 NA
"25" "Scleria.levis_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 459 100 99.458 0.995 0.722 NA
"26" "Scleria.levis_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 460 100 99.458 1 0.946 NA
"27" "Scleria.levis_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 459 100 99.458 0.992 0.733 NA
"28" "Scleria.levis_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 445 100 99.278 0.997 0.88 NA
"29" "Scleria.levis_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 445 95.203 89.711 0.851 0.68 NA
"30" "Scleria.levis_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 486 92.989 92.419 0.98 0.934 NA
"31" "Scleria.levis_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 488 92.62 92.419 0.833 0.676 NA
"32" "Scleria.levis_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "BOYCE" 446 95.203 89.892 0.995 0.9 NA
"33" "Scleria.levis_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "TSS" 512 84.133 88.628 0.729 0.694 NA
"34" "Scleria.levis_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "ROC" 515 84.133 88.809 0.927 0.914 NA
"35" "Scleria.levis_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "KAPPA" 567 82.288 90.072 0.719 0.671 NA
"36" "Scleria.levis_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "BOYCE" 523 83.395 88.989 0.942 0.678 NA
"37" "Scleria.levis_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "TSS" 464 85.609 84.838 0.706 0.628 NA
"38" "Scleria.levis_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "ROC" 466.5 85.609 85.379 0.926 0.898 NA
"39" "Scleria.levis_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "KAPPA" 656 69.373 95.126 0.681 0.646 NA
"40" "Scleria.levis_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "BOYCE" 446 86.347 83.394 0.986 0.863 NA
"41" "Scleria.levis_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "TSS" 515 82.657 87.004 0.697 0.665 NA
"42" "Scleria.levis_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "ROC" 518 82.657 87.184 0.918 0.901 NA
"43" "Scleria.levis_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "KAPPA" 545 79.705 89.35 0.688 0.662 NA
"44" "Scleria.levis_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "BOYCE" 500 83.026 86.101 0.965 0.936 NA
"45" "Scleria.levis_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "TSS" 872 76.015 100 0.76 0.568 NA
"46" "Scleria.levis_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "ROC" 871.5 76.015 100 0.897 0.812 NA
"47" "Scleria.levis_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "KAPPA" 872 76.015 100 0.81 0.597 NA
"48" "Scleria.levis_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "BOYCE" 830 76.015 100 0.263 0.463 NA
"49" "Scleria.levis_PA1_RUN3_RF" "PA1" "RUN3" "RF" "TSS" 417.5 100 98.917 0.989 0.707 NA
"50" "Scleria.levis_PA1_RUN3_RF" "PA1" "RUN3" "RF" "ROC" 417 100 98.917 1 0.957 NA
"51" "Scleria.levis_PA1_RUN3_RF" "PA1" "RUN3" "RF" "KAPPA" 417.5 100 98.917 0.984 0.729 NA
"52" "Scleria.levis_PA1_RUN3_RF" "PA1" "RUN3" "RF" "BOYCE" 426 100 98.917 0.995 0.887 NA
"53" "Scleria.levis_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "TSS" 472 94.465 92.419 0.865 0.73 NA
"54" "Scleria.levis_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "ROC" 471.5 94.465 92.419 0.981 0.953 NA
"55" "Scleria.levis_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "KAPPA" 472 94.465 92.419 0.844 0.72 NA
"56" "Scleria.levis_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "BOYCE" 448 94.834 90.253 0.969 0.891 NA
"57" "Scleria.levis_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "TSS" 465 81.181 87.906 0.691 0.716 NA
"58" "Scleria.levis_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "ROC" 467 81.181 88.087 0.879 0.914 NA
"59" "Scleria.levis_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "KAPPA" 465 81.181 87.906 0.681 0.693 NA
"60" "Scleria.levis_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "BOYCE" 633 72.694 92.78 0.935 0.647 NA
"61" "Scleria.levis_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "TSS" 515 78.967 88.989 0.68 0.643 NA
"62" "Scleria.levis_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "ROC" 517 78.967 89.17 0.922 0.909 NA
"63" "Scleria.levis_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "KAPPA" 656 70.849 94.404 0.683 0.666 NA
"64" "Scleria.levis_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "BOYCE" 508 79.336 88.448 0.982 0.959 NA
"65" "Scleria.levis_PA1_RUN3_GAM" "PA1" "RUN3" "GAM" "TSS" 525 78.598 87.184 0.658 0.65 NA
"66" "Scleria.levis_PA1_RUN3_GAM" "PA1" "RUN3" "GAM" "ROC" 529.5 78.598 87.726 0.911 0.924 NA
"67" "Scleria.levis_PA1_RUN3_GAM" "PA1" "RUN3" "GAM" "KAPPA" 545 77.122 88.448 0.657 0.669 NA
"68" "Scleria.levis_PA1_RUN3_GAM" "PA1" "RUN3" "GAM" "BOYCE" 518 78.967 86.823 0.995 0.903 NA
"69" "Scleria.levis_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "TSS" 552 76.753 98.195 0.749 0.649 NA
"70" "Scleria.levis_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "ROC" 550.5 76.753 98.195 0.904 0.869 NA
"71" "Scleria.levis_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "KAPPA" 700 74.908 99.819 0.798 0.674 NA
"72" "Scleria.levis_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "BOYCE" 769 74.539 99.819 0.631 0.114 NA
