"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 362 83.221 77.452 0.607 0.361 NA
"2" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 369.5 83.221 78.331 0.898 0.762 NA
"3" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 584 66.443 93.265 0.603 0.282 NA
"4" "Scleria.lingulata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 534 67.114 90.922 0.977 0.76 NA
"5" "Scleria.lingulata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 394.5 100 99.854 0.999 0.212 NA
"6" "Scleria.lingulata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 397 100 99.854 1 0.775 NA
"7" "Scleria.lingulata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 394.5 100 99.854 0.996 0.258 NA
"8" "Scleria.lingulata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 360 100 99.707 1 0.622 NA
"9" "Scleria.lingulata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 461 95.302 80.234 0.755 0.399 NA
"10" "Scleria.lingulata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 474.5 94.631 81.259 0.942 0.769 NA
"11" "Scleria.lingulata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 657 65.101 95.022 0.634 0.295 NA
"12" "Scleria.lingulata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 473 94.631 81.113 0.975 0.767 NA
"13" "Scleria.lingulata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 487 95.302 63.543 0.588 0.27 NA
"14" "Scleria.lingulata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 507.5 95.302 63.69 0.828 0.704 NA
"15" "Scleria.lingulata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 635 82.55 72.621 0.388 0.196 NA
"16" "Scleria.lingulata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 616 82.55 72.621 0.694 0.252 NA
"17" "Scleria.lingulata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 502 81.879 73.939 0.558 0.377 NA
"18" "Scleria.lingulata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 508 81.879 74.085 0.827 0.758 NA
"19" "Scleria.lingulata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 692 57.047 87.408 0.42 0.227 NA
"20" "Scleria.lingulata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 498 81.879 73.939 0.988 0.887 NA
"21" "Scleria.lingulata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 483 77.852 70.717 0.486 0.348 NA
"22" "Scleria.lingulata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 484.5 77.852 70.864 0.805 0.747 NA
"23" "Scleria.lingulata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 639 59.06 84.773 0.398 0.273 NA
"24" "Scleria.lingulata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 490 76.51 71.449 0.985 0.759 NA
"25" "Scleria.lingulata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 453 81.208 83.163 0.645 0.518 NA
"26" "Scleria.lingulata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 458 81.208 83.455 0.897 0.848 NA
"27" "Scleria.lingulata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 614 65.101 93.558 0.602 0.452 NA
"28" "Scleria.lingulata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 445 81.208 83.016 0.915 0.904 NA
"29" "Scleria.lingulata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 348.5 100 99.414 0.994 0.468 NA
"30" "Scleria.lingulata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 361 100 99.561 1 0.86 NA
"31" "Scleria.lingulata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 381 99.329 100 0.996 0.416 NA
