"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.lithosperma_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 402 73.046 90.613 0.637 0.63 NA
"2" "Scleria.lithosperma_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 404 73.046 90.613 0.887 0.875 NA
"3" "Scleria.lithosperma_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 402 73.046 90.613 0.65 0.625 NA
"4" "Scleria.lithosperma_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 372 73.854 89.655 0.968 0.922 NA
"5" "Scleria.lithosperma_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 485 99.191 99.617 0.988 0.686 NA
"6" "Scleria.lithosperma_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 485 99.191 99.617 1 0.902 NA
"7" "Scleria.lithosperma_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 485 99.191 99.617 0.988 0.686 NA
"8" "Scleria.lithosperma_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 464 99.191 99.234 0.997 0.956 NA
"9" "Scleria.lithosperma_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 417 87.601 88.314 0.759 0.649 NA
"10" "Scleria.lithosperma_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 416.5 87.601 88.314 0.944 0.882 NA
"11" "Scleria.lithosperma_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 417 87.601 88.314 0.755 0.638 NA
"12" "Scleria.lithosperma_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 400 87.871 87.356 0.986 0.908 NA
"13" "Scleria.lithosperma_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 431 75.741 85.057 0.608 0.596 NA
"14" "Scleria.lithosperma_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 457.5 74.933 86.015 0.857 0.854 NA
"15" "Scleria.lithosperma_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 539 71.159 89.272 0.617 0.599 NA
"16" "Scleria.lithosperma_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 521 71.159 88.506 0.927 0.881 NA
"17" "Scleria.lithosperma_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 437 77.089 81.801 0.589 0.645 NA
"18" "Scleria.lithosperma_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 438 77.089 81.801 0.87 0.881 NA
"19" "Scleria.lithosperma_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 437 77.089 81.801 0.587 0.63 NA
"20" "Scleria.lithosperma_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 439 77.089 81.801 0.994 0.95 NA
"21" "Scleria.lithosperma_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 463 73.585 84.1 0.574 0.625 NA
"22" "Scleria.lithosperma_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 462.5 73.585 84.1 0.848 0.857 NA
"23" "Scleria.lithosperma_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 483 71.968 85.057 0.578 0.625 NA
"24" "Scleria.lithosperma_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 453 73.585 83.333 0.982 0.941 NA
"25" "Scleria.lithosperma_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 529 77.358 95.785 0.731 0.434 NA
"26" "Scleria.lithosperma_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 612.5 75.741 97.51 0.904 0.794 NA
"27" "Scleria.lithosperma_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 609 75.741 97.318 0.753 0.438 NA
"28" "Scleria.lithosperma_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 779 72.237 100 0.632 0.215 NA
"29" "Scleria.lithosperma_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 496 98.922 99.234 0.983 0.585 NA
"30" "Scleria.lithosperma_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 498 98.922 99.425 1 0.892 NA
"31" "Scleria.lithosperma_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 496 98.922 99.234 0.984 0.59 NA
"32" "Scleria.lithosperma_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 465 99.461 98.276 0.997 0.96 NA
"33" "Scleria.lithosperma_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 403 87.332 88.697 0.76 0.593 NA
"34" "Scleria.lithosperma_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 417.5 86.792 89.272 0.945 0.871 NA
"35" "Scleria.lithosperma_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 403 87.332 88.697 0.757 0.588 NA
"36" "Scleria.lithosperma_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "BOYCE" 401 87.332 88.506 0.976 0.92 NA
"37" "Scleria.lithosperma_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "TSS" 399 83.558 86.015 0.696 0.522 NA
"38" "Scleria.lithosperma_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "ROC" 400.5 83.558 86.015 0.87 0.818 NA
"39" "Scleria.lithosperma_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "KAPPA" 399 83.558 86.015 0.692 0.516 NA
"40" "Scleria.lithosperma_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "BOYCE" 391 83.558 85.824 0.863 0.767 NA
"41" "Scleria.lithosperma_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "TSS" 470 76.819 83.716 0.605 0.534 NA
