"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.mackaviensis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 373 80.903 71.701 0.523 0.419 NA
"2" "Scleria.mackaviensis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 377.5 80.516 72.287 0.839 0.76 NA
"3" "Scleria.mackaviensis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 373 80.903 71.701 0.525 0.42 NA
"4" "Scleria.mackaviensis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 400 76.903 73.9 0.993 0.885 NA
"5" "Scleria.mackaviensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 481 99.742 99.12 0.989 0.502 NA
"6" "Scleria.mackaviensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 485 99.742 99.267 1 0.825 NA
"7" "Scleria.mackaviensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 481 99.742 99.12 0.989 0.504 NA
"8" "Scleria.mackaviensis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 496 99.097 99.413 0.999 0.973 NA
"9" "Scleria.mackaviensis_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 567 81.032 80.059 0.612 0.473 NA
"10" "Scleria.mackaviensis_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 572.5 80.516 80.938 0.882 0.797 NA
"11" "Scleria.mackaviensis_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 567 81.032 80.059 0.612 0.472 NA
"12" "Scleria.mackaviensis_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 569 80.774 80.499 0.996 0.976 NA
"13" "Scleria.mackaviensis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 453 84.645 57.185 0.418 0.402 NA
"14" "Scleria.mackaviensis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 428 85.161 56.745 0.764 0.722 NA
"15" "Scleria.mackaviensis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 453 84.645 57.185 0.425 0.408 NA
"16" "Scleria.mackaviensis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 434 84.774 56.745 0.953 0.693 NA
"17" "Scleria.mackaviensis_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 531 77.806 68.035 0.461 0.394 NA
"18" "Scleria.mackaviensis_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 534.5 77.806 68.475 0.803 0.773 NA
"19" "Scleria.mackaviensis_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 531 77.806 68.035 0.463 0.394 NA
"20" "Scleria.mackaviensis_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 538 77.548 68.622 0.99 0.945 NA
"21" "Scleria.mackaviensis_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 509 76.903 63.636 0.41 0.341 NA
"22" "Scleria.mackaviensis_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 509.5 76.903 64.076 0.761 0.742 NA
"23" "Scleria.mackaviensis_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 509 76.903 63.636 0.412 0.342 NA
"24" "Scleria.mackaviensis_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 536 72 67.595 0.985 0.97 NA
"25" "Scleria.mackaviensis_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 312 82.581 71.114 0.538 0.356 NA
"26" "Scleria.mackaviensis_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 317.5 82.452 71.701 0.854 0.753 NA
"27" "Scleria.mackaviensis_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 312 82.581 71.114 0.541 0.356 NA
"28" "Scleria.mackaviensis_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 328 81.29 72.434 0.996 0.914 NA
"29" "Scleria.mackaviensis_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 505 99.742 99.413 0.992 0.429 NA
"30" "Scleria.mackaviensis_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 506 99.742 99.413 1 0.791 NA
"31" "Scleria.mackaviensis_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 505 99.742 99.413 0.992 0.429 NA
"32" "Scleria.mackaviensis_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 491 99.742 99.12 0.999 0.963 NA
"33" "Scleria.mackaviensis_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 541 84.516 77.273 0.619 0.395 NA
"34" "Scleria.mackaviensis_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 575.5 80.903 81.378 0.89 0.772 NA
