"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.macrogyne_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 297 81.579 83.422 0.65 0.327 NA
"2" "Scleria.macrogyne_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 298.5 81.579 83.554 0.905 0.689 NA
"3" "Scleria.macrogyne_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 713 52.632 98.276 0.543 0.281 NA
"4" "Scleria.macrogyne_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 605 57.895 95.756 0.929 0.434 NA
"5" "Scleria.macrogyne_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 289 100 99.867 0.999 0.106 NA
"6" "Scleria.macrogyne_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 287 100 99.867 1 0.762 NA
"7" "Scleria.macrogyne_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 289 100 99.867 0.986 0.168 NA
"8" "Scleria.macrogyne_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 265 100 99.867 0.602 0.694 NA
"9" "Scleria.macrogyne_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 511 100 97.745 0.977 0.196 NA
"10" "Scleria.macrogyne_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 521 100 98.011 0.996 0.72 NA
"11" "Scleria.macrogyne_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 567 92.105 98.939 0.857 0.239 NA
"12" "Scleria.macrogyne_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 475 100 96.95 0.931 0.423 NA
"13" "Scleria.macrogyne_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 469 92.105 67.639 0.597 0.284 NA
"14" "Scleria.macrogyne_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 469.5 92.105 67.639 0.864 0.744 NA
"15" "Scleria.macrogyne_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 875 55.263 95.756 0.435 0.239 NA
"16" "Scleria.macrogyne_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 746 57.895 94.695 0.759 0.433 NA
"17" "Scleria.macrogyne_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 504 81.579 81.167 0.629 0.465 NA
"18" "Scleria.macrogyne_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 512.5 81.579 82.095 0.864 0.817 NA
"19" "Scleria.macrogyne_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 726 57.895 93.767 0.372 0.193 NA
"20" "Scleria.macrogyne_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 589 71.053 88.462 0.943 0.765 NA
"21" "Scleria.macrogyne_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 595 71.053 87.798 0.589 0.29 NA
"22" "Scleria.macrogyne_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 595 71.053 87.798 0.828 0.775 NA
"23" "Scleria.macrogyne_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 675 55.263 93.767 0.361 0.182 NA
"24" "Scleria.macrogyne_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 544 73.684 81.432 0.929 0.7 NA
"25" "Scleria.macrogyne_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 341 78.947 82.228 0.612 0.359 NA
"26" "Scleria.macrogyne_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 348.5 78.947 83.024 0.874 0.838 NA
"27" "Scleria.macrogyne_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 696 52.632 97.48 0.495 0.349 NA
"28" "Scleria.macrogyne_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 612 52.632 96.154 0.863 0.69 NA
"29" "Scleria.macrogyne_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 271.5 100 99.867 0.999 0.222 NA
"30" "Scleria.macrogyne_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 273 100 99.867 1 0.849 NA
"31" "Scleria.macrogyne_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 271.5 100 99.867 0.986 0.353 NA
"32" "Scleria.macrogyne_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 249 100 99.867 0.643 0.696 NA
"33" "Scleria.macrogyne_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 484 100 95.889 0.959 0.391 NA
"34" "Scleria.macrogyne_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 502.5 100 96.154 0.991 0.748 NA
"35" "Scleria.macrogyne_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 556 89.474 98.143 0.779 0.418 NA
"36" "Scleria.macrogyne_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "BOYCE" 458 100 95.756 0.951 0.681 NA
"37" "Scleria.macrogyne_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "TSS" 661 78.947 87.268 0.662 0.327 NA
"38" "Scleria.macrogyne_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "ROC" 660 78.947 87.268 0.857 0.724 NA
"39" "Scleria.macrogyne_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "KAPPA" 800 52.632 93.767 0.341 0.182 NA
