"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 393 71.429 83.813 0.554 0.331 NA
"2" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 371.5 74.15 81.893 0.865 0.753 NA
"3" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 544 58.503 93.141 0.532 0.276 NA
"4" "Scleria.macrophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 355 74.15 80.796 0.987 0.803 NA
"5" "Scleria.macrophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 401.5 100 99.863 0.999 0.124 NA
"6" "Scleria.macrophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 402 100 99.863 1 0.734 NA
"7" "Scleria.macrophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 401.5 100 99.863 0.996 0.167 NA
"8" "Scleria.macrophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 358 100 99.451 0.917 0.774 NA
"9" "Scleria.macrophylla_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 501 85.714 90.535 0.764 0.339 NA
"10" "Scleria.macrophylla_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 505.5 85.714 91.084 0.949 0.755 NA
"11" "Scleria.macrophylla_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 525 80.952 93.553 0.708 0.378 NA
"12" "Scleria.macrophylla_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 495 86.395 89.575 0.992 0.861 NA
"13" "Scleria.macrophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 405 92.517 38.82 0.313 0.092 NA
"14" "Scleria.macrophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 403.5 92.517 38.82 0.721 0.618 NA
"15" "Scleria.macrophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 644 36.054 93.964 0.347 0.081 NA
"16" "Scleria.macrophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 645 36.054 93.964 0.394 -0.037 NA
"17" "Scleria.macrophylla_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 460 76.871 70.37 0.474 0.193 NA
"18" "Scleria.macrophylla_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 437.5 80.272 67.901 0.813 0.695 NA
"19" "Scleria.macrophylla_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 700 46.939 91.907 0.412 0.286 NA
"20" "Scleria.macrophylla_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 459 76.871 70.37 0.99 0.63 NA
"21" "Scleria.macrophylla_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 521 65.986 75.995 0.421 0.396 NA
"22" "Scleria.macrophylla_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 523.5 65.986 76.406 0.76 0.701 NA
"23" "Scleria.macrophylla_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 619 48.299 87.929 0.351 0.34 NA
"24" "Scleria.macrophylla_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 523 65.986 76.406 0.985 0.75 NA
"25" "Scleria.macrophylla_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 463 74.15 86.283 0.604 0.278 NA
"26" "Scleria.macrophylla_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 470 74.15 86.42 0.883 0.733 NA
"27" "Scleria.macrophylla_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 624 59.864 95.199 0.595 0.218 NA
"28" "Scleria.macrophylla_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 481 72.109 87.38 0.993 0.491 NA
"29" "Scleria.macrophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 367 100 99.726 0.997 0.313 NA
"30" "Scleria.macrophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 375 100 99.863 1 0.769 NA
"31" "Scleria.macrophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 367 100 99.726 0.992 0.383 NA
"32" "Scleria.macrophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 357 100 99.588 0.895 0.801 NA
"33" "Scleria.macrophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 480 88.435 88.477 0.769 0.208 NA
"34" "Scleria.macrophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 478 89.116 88.203 0.949 0.724 NA
"35" "Scleria.macrophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 567 72.789 94.65 0.679 0.195 NA
"36" "Scleria.macrophylla_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "BOYCE" 483 88.435 88.477 0.992 0.729 NA
"37" "Scleria.macrophylla_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "TSS" 523 66.667 66.667 0.313 0.118 NA
"38" "Scleria.macrophylla_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "ROC" 522.5 66.667 66.667 0.693 0.593 NA
"39" "Scleria.macrophylla_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "KAPPA" 523 66.667 66.667 0.218 0.078 NA
"40" "Scleria.macrophylla_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "BOYCE" 496 85.714 44.307 0.787 0.42 NA
"41" "Scleria.macrophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "TSS" 578 65.986 82.716 0.482 0.337 NA
"42" "Scleria.macrophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "ROC" 577.5 65.986 82.716 0.803 0.774 NA
"43" "Scleria.macrophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "KAPPA" 618 58.503 86.831 0.419 0.236 NA
"44" "Scleria.macrophylla_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "BOYCE" 547 67.347 78.875 0.974 0.725 NA
"45" "Scleria.macrophylla_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "TSS" 490 70.748 71.056 0.415 0.373 NA
"46" "Scleria.macrophylla_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "ROC" 489.5 70.748 71.056 0.763 0.743 NA
"47" "Scleria.macrophylla_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "KAPPA" 629 46.259 89.3 0.361 0.345 NA
