"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.martii_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 281 85.057 81.398 0.667 0.392 NA
"2" "Scleria.martii_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 286.5 85.057 81.926 0.916 0.748 NA
"3" "Scleria.martii_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 704 60.92 98.153 0.658 0.282 NA
"4" "Scleria.martii_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 641 62.069 95.778 0.927 0.685 NA
"5" "Scleria.martii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 361 100 100 1 0.08 NA
"6" "Scleria.martii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 361 100 100 1 0.806 NA
"7" "Scleria.martii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 361 100 100 1 0.126 NA
"8" "Scleria.martii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 325 100 100 1 0.643 NA
"9" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 476 96.552 92.612 0.893 0.435 NA
"10" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 481 96.552 93.008 0.983 0.81 NA
"11" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 547 80.46 97.098 0.756 0.379 NA
"12" "Scleria.martii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 455 96.552 90.106 0.998 0.817 NA
"13" "Scleria.martii_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 551 64.368 81.794 0.462 0.199 NA
"14" "Scleria.martii_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 553.5 64.368 81.926 0.789 0.7 NA
"15" "Scleria.martii_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 728 39.08 93.404 0.333 0.207 NA
"16" "Scleria.martii_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 512 64.368 80.607 0.901 0.577 NA
"17" "Scleria.martii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 602 70.115 81.398 0.515 0.4 NA
"18" "Scleria.martii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 578.5 72.414 79.288 0.825 0.739 NA
"19" "Scleria.martii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 692 50.575 89.71 0.336 0.301 NA
"20" "Scleria.martii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 568 72.414 77.968 0.975 0.822 NA
"21" "Scleria.martii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 541 68.966 74.142 0.431 0.347 NA
"22" "Scleria.martii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 544.5 68.966 74.274 0.769 0.749 NA
"23" "Scleria.martii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 651 44.828 88.786 0.285 0.233 NA
"24" "Scleria.martii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 523 71.264 71.108 0.971 0.846 NA
"25" "Scleria.martii_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 462 78.161 90.237 0.684 0.388 NA
"26" "Scleria.martii_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 461.5 78.161 90.237 0.924 0.768 NA
"27" "Scleria.martii_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 834 51.724 100 0.658 0.228 NA
"28" "Scleria.martii_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 444 78.161 89.578 0.933 0.522 NA
"29" "Scleria.martii_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 317 100 100 1 0.07 NA
"30" "Scleria.martii_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 315 100 100 1 0.698 NA
"31" "Scleria.martii_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 317 100 100 1 0.103 NA
"32" "Scleria.martii_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 283 100 100 1 0.745 NA
"33" "Scleria.martii_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 460 98.851 91.029 0.899 0.302 NA
"34" "Scleria.martii_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 462.5 98.851 91.557 0.986 0.714 NA
"35" "Scleria.martii_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 548 88.506 97.23 0.805 0.214 NA
"36" "Scleria.martii_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "BOYCE" 448 98.851 89.842 0.994 0.73 NA
"37" "Scleria.martii_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "TSS" 537 56.322 87.467 0.438 0.164 NA
"38" "Scleria.martii_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "ROC" 519.5 57.471 87.071 0.799 0.567 NA
"39" "Scleria.martii_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "KAPPA" 659 33.333 96.306 0.35 -0.092 NA
"40" "Scleria.martii_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "BOYCE" 554 55.172 87.467 0.806 0.031 NA
"41" "Scleria.martii_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "TSS" 512 79.31 69.525 0.491 0.411 NA
"42" "Scleria.martii_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "ROC" 499.5 81.609 68.206 0.821 0.729 NA
"43" "Scleria.martii_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "KAPPA" 758 42.529 92.876 0.347 0.24 NA
"44" "Scleria.martii_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "BOYCE" 496 81.609 67.81 0.981 0.88 NA
"45" "Scleria.martii_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "TSS" 531 72.414 71.108 0.438 0.289 NA
"46" "Scleria.martii_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "ROC" 533 72.414 71.636 0.761 0.733 NA
"47" "Scleria.martii_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "KAPPA" 671 45.977 89.71 0.308 0.126 NA
"48" "Scleria.martii_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "BOYCE" 612 51.724 82.85 0.961 0.768 NA
"49" "Scleria.martii_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "TSS" 583 72.414 95.646 0.681 0.309 NA
"50" "Scleria.martii_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "ROC" 467 75.862 92.348 0.914 0.711 NA
"51" "Scleria.martii_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "KAPPA" 814 56.322 99.736 0.686 0.335 NA
"52" "Scleria.martii_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "BOYCE" 551 72.414 94.723 0.874 0.728 NA
"53" "Scleria.martii_PA1_RUN3_RF" "PA1" "RUN3" "RF" "TSS" 335 100 100 1 0.126 NA
"54" "Scleria.martii_PA1_RUN3_RF" "PA1" "RUN3" "RF" "ROC" 333 100 100 1 0.757 NA
