"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 493 70.769 90.933 0.62 0.467 NA
"2" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 519.5 70 92 0.88 0.77 NA
"3" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 765 50.769 98.8 0.601 0.509 NA
"4" "Scleria.melanomphala_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 489 70.769 90.8 0.971 0.771 NA
"5" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 366 100 99.733 0.997 0.484 NA
"6" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 366 100 99.733 1 0.85 NA
"7" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 366 100 99.733 0.991 0.582 NA
"8" "Scleria.melanomphala_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 356 100 99.733 0.737 0.826 NA
"9" "Scleria.melanomphala_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 462 93.846 89.467 0.833 0.482 NA
"10" "Scleria.melanomphala_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 445.5 96.154 87.467 0.967 0.8 NA
"11" "Scleria.melanomphala_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 538 84.615 94 0.732 0.454 NA
"12" "Scleria.melanomphala_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 445 96.154 87.467 0.984 0.843 NA
"13" "Scleria.melanomphala_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 729 53.846 86.133 0.4 0.185 NA
"14" "Scleria.melanomphala_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 729 53.846 86.133 0.707 0.62 NA
"15" "Scleria.melanomphala_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 729 53.846 86.133 0.351 0.18 NA
"16" "Scleria.melanomphala_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 695 53.846 86 0.395 0.659 NA
"17" "Scleria.melanomphala_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 580 70.769 80.267 0.512 0.481 NA
"18" "Scleria.melanomphala_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 582.5 70.769 80.8 0.811 0.791 NA
"19" "Scleria.melanomphala_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 670 53.846 88.8 0.399 0.465 NA
"20" "Scleria.melanomphala_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 566 70.769 78.267 0.984 0.75 NA
"21" "Scleria.melanomphala_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 489 73.077 69.867 0.431 0.447 NA
"22" "Scleria.melanomphala_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 486.5 74.615 69.733 0.772 0.78 NA
"23" "Scleria.melanomphala_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 674 43.077 90.267 0.339 0.358 NA
"24" "Scleria.melanomphala_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 477 74.615 67.2 0.973 0.868 NA
"25" "Scleria.melanomphala_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 623 66.923 96.8 0.637 0.335 NA
"26" "Scleria.melanomphala_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 623 66.923 96.8 0.88 0.759 NA
"27" "Scleria.melanomphala_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 848 62.308 99.867 0.734 0.287 NA
"28" "Scleria.melanomphala_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 828 62.308 99.867 0.699 0.234 NA
"29" "Scleria.melanomphala_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 321.5 100 99.6 0.996 0.473 NA
"30" "Scleria.melanomphala_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 325 100 99.6 1 0.856 NA
"31" "Scleria.melanomphala_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 384.5 99.231 99.867 0.991 0.524 NA
"32" "Scleria.melanomphala_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 303 100 99.467 0.992 0.76 NA
"33" "Scleria.melanomphala_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 440 96.154 88 0.844 0.57 NA
"34" "Scleria.melanomphala_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 440.5 96.154 88.267 0.968 0.846 NA
"35" "Scleria.melanomphala_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 530 80.769 94.4 0.717 0.513 NA
"36" "Scleria.melanomphala_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "BOYCE" 441 95.385 88.4 0.986 0.893 NA
"37" "Scleria.melanomphala_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "TSS" 465 91.538 58.4 0.499 0.35 NA
"38" "Scleria.melanomphala_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "ROC" 466 91.538 58.4 0.801 0.727 NA
"39" "Scleria.melanomphala_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "KAPPA" 789 42.308 92.133 0.363 0.243 NA
"40" "Scleria.melanomphala_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "BOYCE" 757 42.308 92 0.76 0.688 NA
"41" "Scleria.melanomphala_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "TSS" 612 63.077 84.267 0.476 0.549 NA
