"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.melanotricha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 160 78.571 87.664 0.662 0.276 NA
"2" "Scleria.melanotricha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 160 78.571 87.664 0.88 0.733 NA
"3" "Scleria.melanotricha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 696 51.786 99.081 0.61 0.014 NA
"4" "Scleria.melanotricha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 549 53.571 97.113 0.682 0.614 NA
"5" "Scleria.melanotricha_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 354.5 100 99.869 0.999 0.265 NA
"6" "Scleria.melanotricha_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 355 100 99.869 1 0.832 NA
"7" "Scleria.melanotricha_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 354.5 100 99.869 0.99 0.33 NA
"8" "Scleria.melanotricha_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 316 100 99.475 1 0.64 NA
"9" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 479 100 95.801 0.958 0.519 NA
"10" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 484.5 100 95.932 0.99 0.868 NA
"11" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 512 96.429 97.113 0.803 0.496 NA
"12" "Scleria.melanotricha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 465 100 95.407 0.839 0.87 NA
"13" "Scleria.melanotricha_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 691.5 75 93.045 0.68 0.278 NA
"14" "Scleria.melanotricha_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 690.5 75 93.045 0.897 0.808 NA
"15" "Scleria.melanotricha_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 776 71.429 94.094 0.528 0.255 NA
"16" "Scleria.melanotricha_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 680 75 93.045 0.897 0.627 NA
"17" "Scleria.melanotricha_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 455 87.5 77.428 0.652 0.467 NA
"18" "Scleria.melanotricha_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 511.5 82.143 83.202 0.878 0.784 NA
"19" "Scleria.melanotricha_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 818 42.857 96.063 0.396 0.276 NA
"20" "Scleria.melanotricha_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 527 78.571 84.383 0.951 0.898 NA
"21" "Scleria.melanotricha_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 664 53.571 91.601 0.452 0.477 NA
"22" "Scleria.melanotricha_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 644 55.357 90.42 0.789 0.847 NA
"23" "Scleria.melanotricha_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 683 50 92.651 0.346 0.394 NA
"24" "Scleria.melanotricha_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 634 55.357 89.633 0.907 0.929 NA
"25" "Scleria.melanotricha_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 371 64.286 91.864 0.561 0.532 NA
"26" "Scleria.melanotricha_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 375.5 64.286 91.864 0.85 0.873 NA
"27" "Scleria.melanotricha_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 833 44.643 99.738 0.584 0.532 NA
"28" "Scleria.melanotricha_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 658 51.786 98.294 0.79 0.685 NA
"29" "Scleria.melanotricha_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 360 100 100 1 0.413 NA
"30" "Scleria.melanotricha_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 365 100 100 1 0.935 NA
"31" "Scleria.melanotricha_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 360 100 100 1 0.495 NA
"32" "Scleria.melanotricha_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 333 100 99.869 1 0.852 NA
"33" "Scleria.melanotricha_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 485 100 94.751 0.948 0.492 NA
"34" "Scleria.melanotricha_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 486.5 100 94.882 0.988 0.899 NA
"35" "Scleria.melanotricha_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 515.5 94.643 96.194 0.748 0.424 NA
"36" "Scleria.melanotricha_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "BOYCE" 449 100 93.701 0.918 0.697 NA
"37" "Scleria.melanotricha_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "TSS" 540 76.786 79.396 0.563 0.39 NA
"38" "Scleria.melanotricha_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "ROC" 545.5 76.786 79.79 0.834 0.709 NA
"39" "Scleria.melanotricha_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "KAPPA" 679 53.571 92.651 0.37 0.257 NA
"40" "Scleria.melanotricha_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "BOYCE" 744 48.214 93.832 0.771 0.462 NA
"41" "Scleria.melanotricha_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "TSS" 523 75 82.808 0.578 0.602 NA
"42" "Scleria.melanotricha_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "ROC" 527 75 82.94 0.851 0.881 NA
"43" "Scleria.melanotricha_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "KAPPA" 693 62.5 92.388 0.42 0.333 NA
"44" "Scleria.melanotricha_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "BOYCE" 659 62.5 90.289 0.95 0.861 NA
"45" "Scleria.melanotricha_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "TSS" 684 57.143 92.782 0.501 0.421 NA
"46" "Scleria.melanotricha_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "ROC" 686.5 57.143 93.045 0.8 0.793 NA
"47" "Scleria.melanotricha_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "KAPPA" 684 57.143 92.782 0.401 0.333 NA
"48" "Scleria.melanotricha_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "BOYCE" 633 58.929 90.026 0.919 0.643 NA
"49" "Scleria.melanotricha_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "TSS" 281 69.643 87.927 0.576 0.482 NA
"50" "Scleria.melanotricha_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "ROC" 265 71.429 86.483 0.868 0.814 NA
"51" "Scleria.melanotricha_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "KAPPA" 859 44.643 99.738 0.584 0.451 NA
"52" "Scleria.melanotricha_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "BOYCE" 632 55.357 96.85 0.883 0.647 NA
"53" "Scleria.melanotricha_PA1_RUN3_RF" "PA1" "RUN3" "RF" "TSS" 353 100 99.869 0.999 0.357 NA
