"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.microcarpa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 439 99.322 99.857 0.992 0.521 NA
"2" "Scleria.microcarpa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 440 99.322 99.857 1 0.86 NA
"3" "Scleria.microcarpa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 439 99.322 99.857 0.993 0.515 NA
"4" "Scleria.microcarpa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 418 99.322 99.715 1 0.955 NA
"5" "Scleria.microcarpa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 440 89.153 77.889 0.67 0.5 NA
"6" "Scleria.microcarpa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 451 87.797 79.315 0.915 0.839 NA
"7" "Scleria.microcarpa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 551 72.881 90.442 0.644 0.481 NA
"8" "Scleria.microcarpa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 448 87.797 78.887 0.997 0.939 NA
"9" "Scleria.microcarpa_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 336 89.831 50.785 0.406 0.299 NA
"10" "Scleria.microcarpa_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 335 89.831 50.785 0.714 0.679 NA
"11" "Scleria.microcarpa_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 336 89.831 50.785 0.31 0.228 NA
"12" "Scleria.microcarpa_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 638 9.153 98.146 0.682 0.594 NA
"13" "Scleria.microcarpa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 348 88.814 53.21 0.422 0.44 NA
"14" "Scleria.microcarpa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 350 88.475 53.923 0.793 0.78 NA
"15" "Scleria.microcarpa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 590 55.254 85.021 0.416 0.345 NA
"16" "Scleria.microcarpa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 556 60.339 80.314 0.968 0.902 NA
"17" "Scleria.microcarpa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 343 89.831 50.499 0.401 0.352 NA
"18" "Scleria.microcarpa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 338.5 90.508 50.357 0.776 0.755 NA
"19" "Scleria.microcarpa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 568 54.576 81.74 0.367 0.306 NA
"20" "Scleria.microcarpa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 528 61.695 75.606 0.974 0.955 NA
"21" "Scleria.microcarpa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 443 71.864 84.308 0.563 0.337 NA
"22" "Scleria.microcarpa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 445 71.864 84.593 0.862 0.739 NA
"23" "Scleria.microcarpa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 564 60 91.869 0.554 0.314 NA
"24" "Scleria.microcarpa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 418 73.559 81.598 0.979 0.782 NA
"25" "Scleria.microcarpa_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 378.5 100 99.572 0.996 0.491 NA
"26" "Scleria.microcarpa_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 381 100 99.572 1 0.846 NA
"27" "Scleria.microcarpa_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 378.5 100 99.572 0.993 0.481 NA
"28" "Scleria.microcarpa_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 399 99.661 99.572 0.996 0.953 NA
"29" "Scleria.microcarpa_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 447 89.153 79.173 0.685 0.426 NA
"30" "Scleria.microcarpa_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 447.5 89.153 79.315 0.918 0.807 NA
"31" "Scleria.microcarpa_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 556 72.203 90.728 0.64 0.377 NA
"32" "Scleria.microcarpa_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "BOYCE" 439 89.153 78.887 0.995 0.974 NA
"33" "Scleria.microcarpa_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "TSS" 549 72.542 79.03 0.516 0.243 NA
"34" "Scleria.microcarpa_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "ROC" 561 72.542 79.173 0.81 0.686 NA
"35" "Scleria.microcarpa_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "KAPPA" 549 72.542 79.03 0.484 0.227 NA
"36" "Scleria.microcarpa_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "BOYCE" 517 72.542 78.602 0.932 0.698 NA
