"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 263 91.083 69.405 0.606 0.481 NA
"2" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 258.5 91.72 69.122 0.895 0.813 NA
"3" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 615 60.51 95.326 0.605 0.422 NA
"4" "Scleria.mitis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 490 69.427 89.802 0.977 0.922 NA
"5" "Scleria.mitis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 398 100 100 1 0.288 NA
"6" "Scleria.mitis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 400 100 100 1 0.839 NA
"7" "Scleria.mitis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 398 100 100 1 0.351 NA
"8" "Scleria.mitis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 376 100 100 1 0.853 NA
"9" "Scleria.mitis_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 420 99.363 80.312 0.801 0.449 NA
"10" "Scleria.mitis_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 420.5 99.363 80.737 0.953 0.827 NA
"11" "Scleria.mitis_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 592 73.248 93.626 0.664 0.339 NA
"12" "Scleria.mitis_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 444 94.268 83.144 0.994 0.87 NA
"13" "Scleria.mitis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 459 73.248 69.688 0.429 0.279 NA
"14" "Scleria.mitis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 457 73.248 69.688 0.755 0.682 NA
"15" "Scleria.mitis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 523 71.338 70.68 0.301 0.184 NA
"16" "Scleria.mitis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 811 19.745 95.326 0.822 0.465 NA
"17" "Scleria.mitis_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 592 66.242 81.728 0.48 0.438 NA
"18" "Scleria.mitis_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 590 66.879 81.728 0.807 0.795 NA
"19" "Scleria.mitis_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 723 49.682 91.926 0.437 0.361 NA
"20" "Scleria.mitis_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 578 66.879 80.17 0.968 0.934 NA
"21" "Scleria.mitis_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 594 54.14 82.578 0.37 0.369 NA
"22" "Scleria.mitis_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 538.5 64.331 73.371 0.749 0.771 NA
