"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.muehlenbergii_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 383 80.108 77.231 0.573 0.552 NA
"2" "Scleria.muehlenbergii_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 386.5 80.108 77.538 0.862 0.821 NA
"3" "Scleria.muehlenbergii_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 483 63.978 88 0.509 0.479 NA
"4" "Scleria.muehlenbergii_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 337 84.946 71.077 0.981 0.789 NA
"5" "Scleria.muehlenbergii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 417 99.462 99.692 0.992 0.442 NA
"6" "Scleria.muehlenbergii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 432 99.462 99.846 1 0.852 NA
"7" "Scleria.muehlenbergii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 436 99.462 99.846 0.993 0.436 NA
"8" "Scleria.muehlenbergii_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 410 99.462 99.692 0.993 0.757 NA
"9" "Scleria.muehlenbergii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 397 98.387 78.462 0.77 0.614 NA
"10" "Scleria.muehlenbergii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 402.5 98.387 78.923 0.945 0.837 NA
"11" "Scleria.muehlenbergii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 655 77.957 92.154 0.691 0.482 NA
"12" "Scleria.muehlenbergii_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 517 89.785 85.385 0.981 0.903 NA
"13" "Scleria.muehlenbergii_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 403 91.398 67.692 0.591 0.439 NA
"14" "Scleria.muehlenbergii_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 401.5 91.398 67.692 0.847 0.804 NA
"15" "Scleria.muehlenbergii_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 657 63.441 86.923 0.488 0.516 NA
"16" "Scleria.muehlenbergii_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 665 63.441 86.923 0.917 0.623 NA
"17" "Scleria.muehlenbergii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 458 81.183 68.308 0.498 0.516 NA
"18" "Scleria.muehlenbergii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 460 81.183 68.769 0.821 0.813 NA
"19" "Scleria.muehlenbergii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 642 63.441 83.692 0.439 0.494 NA
"20" "Scleria.muehlenbergii_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 458 81.183 68.615 0.985 0.891 NA
"21" "Scleria.muehlenbergii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 509 70.43 74.769 0.452 0.506 NA
"22" "Scleria.muehlenbergii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 521.5 69.892 75.846 0.781 0.796 NA
"23" "Scleria.muehlenbergii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 552 65.054 78.923 0.39 0.455 NA
"24" "Scleria.muehlenbergii_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 517 69.892 75.077 0.975 0.89 NA
"25" "Scleria.muehlenbergii_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 0 100 0 0.378 0.218 NA
"26" "Scleria.muehlenbergii_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 0.5 46.237 91.538 0.703 0.613 NA
"27" "Scleria.muehlenbergii_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 805 34.946 100 0.455 0.241 NA
"28" "Scleria.muehlenbergii_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 739 34.946 100 0.089 0.205 NA
"29" "Scleria.muehlenbergii_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 351 100 99.077 0.991 0.542 NA
"30" "Scleria.muehlenbergii_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 354 100 99.077 1 0.873 NA
"31" "Scleria.muehlenbergii_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 394 98.925 99.692 0.986 0.579 NA
"32" "Scleria.muehlenbergii_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 365 99.462 99.077 0.997 0.856 NA
