"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.naumanniana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 412 78.431 88.322 0.668 0.295 NA
"2" "Scleria.naumanniana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 393.5 79.412 87.651 0.903 0.717 NA
"3" "Scleria.naumanniana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 634 56.863 96.242 0.57 0.274 NA
"4" "Scleria.naumanniana_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 373 79.412 86.309 0.968 0.689 NA
"5" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 368.5 100 99.866 0.999 0.346 NA
"6" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 372 100 99.866 1 0.851 NA
"7" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 368.5 100 99.866 0.994 0.379 NA
"8" "Scleria.naumanniana_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 344 100 99.732 0.786 0.783 NA
"9" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 473 92.157 89.262 0.814 0.343 NA
"10" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 388.5 97.059 84.698 0.965 0.792 NA
"11" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 607 78.431 95.168 0.695 0.342 NA
"12" "Scleria.naumanniana_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 454 92.157 87.919 0.993 0.793 NA
"13" "Scleria.naumanniana_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 536 89.216 67.651 0.569 0.381 NA
"14" "Scleria.naumanniana_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 537.5 89.216 67.651 0.821 0.653 NA
"15" "Scleria.naumanniana_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 671 38.235 91.946 0.306 0.006 NA
"16" "Scleria.naumanniana_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 818 24.51 95.168 0.78 0.241 NA
"17" "Scleria.naumanniana_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 485 82.353 76.913 0.594 0.316 NA
"18" "Scleria.naumanniana_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 517.5 80.392 79.195 0.86 0.742 NA
"19" "Scleria.naumanniana_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 727 57.843 90.604 0.43 0.229 NA
"20" "Scleria.naumanniana_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 626 67.647 85.235 0.932 0.751 NA
"21" "Scleria.naumanniana_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 472 75.49 76.51 0.52 0.302 NA
"22" "Scleria.naumanniana_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 487.5 74.51 77.718 0.819 0.731 NA
"23" "Scleria.naumanniana_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 655 56.863 87.919 0.375 0.301 NA
"24" "Scleria.naumanniana_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 469 75.49 76.51 0.976 0.703 NA
"25" "Scleria.naumanniana_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 312 83.333 82.953 0.654 0.51 NA
"26" "Scleria.naumanniana_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 316.5 82.353 84.027 0.912 0.795 NA
"27" "Scleria.naumanniana_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 669 56.863 97.45 0.607 0.229 NA
"28" "Scleria.naumanniana_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 444 71.569 91.007 0.945 0.701 NA
"29" "Scleria.naumanniana_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 337.5 100 99.597 0.996 0.309 NA
"30" "Scleria.naumanniana_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 338 100 99.597 1 0.846 NA
"31" "Scleria.naumanniana_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 337.5 100 99.597 0.983 0.298 NA
"32" "Scleria.naumanniana_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 317 100 99.597 0.998 0.712 NA
"33" "Scleria.naumanniana_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 392 97.059 85.101 0.823 0.438 NA
"34" "Scleria.naumanniana_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 415 95.098 87.248 0.963 0.825 NA
"35" "Scleria.naumanniana_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 684 67.647 96.913 0.674 0.377 NA
