"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 382 82.707 83.817 0.665 0.342 NA
"2" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 387 82.707 84.122 0.909 0.775 NA
"3" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 604 68.797 94.351 0.666 0.378 NA
"4" "Scleria.oligantha_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 390 81.579 84.122 0.982 0.727 NA
"5" "Scleria.oligantha_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 442.5 100 99.847 0.998 0.424 NA
"6" "Scleria.oligantha_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 445 100 99.847 1 0.828 NA
"7" "Scleria.oligantha_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 442.5 100 99.847 0.997 0.442 NA
"8" "Scleria.oligantha_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 429 100 99.695 0.991 0.967 NA
"9" "Scleria.oligantha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 492 86.466 86.107 0.726 0.393 NA
"10" "Scleria.oligantha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 473.5 88.346 84.427 0.928 0.803 NA
"11" "Scleria.oligantha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 522 81.579 88.702 0.688 0.401 NA
"12" "Scleria.oligantha_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 464 88.346 83.969 0.986 0.915 NA
"13" "Scleria.oligantha_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 384 81.579 68.092 0.497 0.355 NA
"14" "Scleria.oligantha_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 384 81.579 68.092 0.798 0.765 NA
"15" "Scleria.oligantha_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 587 70.677 78.779 0.463 0.343 NA
"16" "Scleria.oligantha_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 584 70.677 78.626 0.87 0.379 NA
"17" "Scleria.oligantha_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 429 82.707 67.481 0.506 0.478 NA
"18" "Scleria.oligantha_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 430.5 82.707 68.092 0.808 0.801 NA
"19" "Scleria.oligantha_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 457 78.195 71.298 0.434 0.452 NA
"20" "Scleria.oligantha_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 429 82.707 67.939 0.967 0.931 NA
"21" "Scleria.oligantha_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 429 80.827 62.29 0.434 0.423 NA
"22" "Scleria.oligantha_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 435.5 80.451 63.206 0.771 0.786 NA
"23" "Scleria.oligantha_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 511 71.429 71.298 0.382 0.467 NA
"24" "Scleria.oligantha_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 468 74.812 66.107 0.935 0.86 NA
"25" "Scleria.oligantha_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 504 75.564 88.092 0.637 0.261 NA
"26" "Scleria.oligantha_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 500.5 75.94 87.786 0.891 0.729 NA
"27" "Scleria.oligantha_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 534 72.932 89.771 0.631 0.257 NA
