"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.panicoides_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 180 87.097 89.084 0.763 0.569 NA
"2" "Scleria.panicoides_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 185.5 87.097 89.353 0.963 0.913 NA
"3" "Scleria.panicoides_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 743.5 67.742 99.865 0.778 0.559 NA
"4" "Scleria.panicoides_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 681 68.548 98.652 0.685 0.718 NA
"5" "Scleria.panicoides_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 381 100 99.191 0.992 0.645 NA
"6" "Scleria.panicoides_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 385 100 99.326 1 0.936 NA
"7" "Scleria.panicoides_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 410 99.194 99.596 0.981 0.599 NA
"8" "Scleria.panicoides_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 370 100 99.057 0.976 0.91 NA
"9" "Scleria.panicoides_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 459 97.581 90.162 0.877 0.666 NA
"10" "Scleria.panicoides_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 460.5 97.581 90.162 0.976 0.93 NA
"11" "Scleria.panicoides_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 680.5 85.484 95.013 0.757 0.665 NA
"12" "Scleria.panicoides_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 481 95.968 90.701 0.86 0.786 NA
"13" "Scleria.panicoides_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 545.5 94.355 85.175 0.795 0.547 NA
"14" "Scleria.panicoides_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 547 94.355 85.175 0.928 0.835 NA
"15" "Scleria.panicoides_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 754 82.258 91.779 0.655 0.503 NA
"16" "Scleria.panicoides_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 731 82.258 91.644 0.845 0.767 NA
"17" "Scleria.panicoides_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 333 97.581 80.997 0.786 0.752 NA
"18" "Scleria.panicoides_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 333 97.581 80.997 0.948 0.942 NA
"19" "Scleria.panicoides_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 675 81.452 90.162 0.613 0.578 NA
"20" "Scleria.panicoides_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 481 91.129 85.445 0.958 0.842 NA
"21" "Scleria.panicoides_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 343 95.161 80.863 0.76 0.638 NA
"22" "Scleria.panicoides_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 342.5 95.161 80.863 0.936 0.906 NA
"23" "Scleria.panicoides_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 656 83.065 89.084 0.603 0.515 NA
"24" "Scleria.panicoides_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 616 84.677 88.005 0.947 0.866 NA
"25" "Scleria.panicoides_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 150 92.742 82.615 0.754 0.709 NA
"26" "Scleria.panicoides_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 155 92.742 82.749 0.945 0.894 NA
"27" "Scleria.panicoides_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 666 58.871 98.787 0.671 0.602 NA
"28" "Scleria.panicoides_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 175 90.323 84.097 0.859 0.757 NA
"29" "Scleria.panicoides_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 362 100 99.326 0.993 0.693 NA
"30" "Scleria.panicoides_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 363 100 99.326 1 0.939 NA
"31" "Scleria.panicoides_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 386 99.194 99.73 0.986 0.656 NA
"32" "Scleria.panicoides_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 353 100 99.057 0.868 0.816 NA
"33" "Scleria.panicoides_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 407 99.194 88.275 0.875 0.704 NA
"34" "Scleria.panicoides_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 412 99.194 88.544 0.978 0.931 NA
