"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 678 58.696 100 0.587 0.527 NA
"2" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 679.5 58.696 100 0.792 0.764 NA
"3" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 678 58.696 100 0.727 0.576 NA
"4" "Scleria.parvula_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 615 58.696 100 0.5 1 NA
"5" "Scleria.parvula_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 361 100 100 1 0.449 NA
"6" "Scleria.parvula_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 360 100 100 1 0.892 NA
"7" "Scleria.parvula_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 361 100 100 1 0.569 NA
"8" "Scleria.parvula_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 334 100 99.85 1 0.628 NA
"9" "Scleria.parvula_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 534 100 98.051 0.981 0.516 NA
"10" "Scleria.parvula_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 549.5 100 98.201 0.998 0.896 NA
"11" "Scleria.parvula_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 598 97.826 99.1 0.933 0.545 NA
"12" "Scleria.parvula_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 501 100 97.601 0.89 0.621 NA
"13" "Scleria.parvula_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 651 91.304 94.753 0.861 0.559 NA
"14" "Scleria.parvula_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 651.5 91.304 94.753 0.963 0.818 NA
"15" "Scleria.parvula_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 870 84.783 97.601 0.755 0.441 NA
"16" "Scleria.parvula_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 760 89.13 96.252 0.85 0.363 NA
"17" "Scleria.parvula_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 606 100 93.103 0.931 0.655 NA
"18" "Scleria.parvula_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 604.5 100 93.103 0.971 0.878 NA
"19" "Scleria.parvula_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 606 100 93.103 0.635 0.474 NA
"20" "Scleria.parvula_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 554 100 92.954 0.482 0.553 NA
"21" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 343 100 85.307 0.856 0.668 NA
"22" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 344 100 85.607 0.958 0.859 NA
"23" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 747 78.261 94.453 0.571 0.537 NA
"24" "Scleria.parvula_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 535 91.304 89.805 0.901 0.794 NA
"25" "Scleria.parvula_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 0 100 0 0.62 0.667 NA
"26" "Scleria.parvula_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 0.5 67.391 94.603 0.825 0.833 NA
"27" "Scleria.parvula_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 864 60.87 100 0.744 0.537 NA
"28" "Scleria.parvula_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 826 60.87 100 0.532 0.5 NA
"29" "Scleria.parvula_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 360 100 99.7 0.997 0.618 NA
"30" "Scleria.parvula_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 360 100 99.7 1 0.9 NA
