"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.pauciflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 484 68.266 77.469 0.459 0.227 NA
"2" "Scleria.pauciflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 488.5 67.897 79.321 0.797 0.627 NA
"3" "Scleria.pauciflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 534 57.934 86.265 0.454 0.229 NA
"4" "Scleria.pauciflora_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 454 70.849 73.765 0.985 0.783 NA
"5" "Scleria.pauciflora_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 432 100 99.846 1 0.202 NA
"6" "Scleria.pauciflora_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 433 100 100 1 0.666 NA
"7" "Scleria.pauciflora_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 432 100 99.846 1 0.224 NA
"8" "Scleria.pauciflora_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 408 100 99.846 1 0.965 NA
"9" "Scleria.pauciflora_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 473 81.181 84.722 0.659 0.224 NA
"10" "Scleria.pauciflora_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 469.5 81.919 84.259 0.906 0.667 NA
"11" "Scleria.pauciflora_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 494 74.539 88.426 0.632 0.186 NA
"12" "Scleria.pauciflora_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 459 82.657 82.407 0.996 0.844 NA
"13" "Scleria.pauciflora_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 420 62.731 70.216 0.331 0.121 NA
"14" "Scleria.pauciflora_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 446.5 62.362 70.988 0.721 0.58 NA
"15" "Scleria.pauciflora_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 600 46.863 85.494 0.342 0.207 NA
"16" "Scleria.pauciflora_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 577 47.97 84.568 0.867 0.283 NA
"17" "Scleria.pauciflora_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 447 70.849 63.889 0.338 0.181 NA
"18" "Scleria.pauciflora_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 446.5 70.849 63.889 0.721 0.619 NA
"19" "Scleria.pauciflora_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 562 43.173 84.877 0.3 0.141 NA
"20" "Scleria.pauciflora_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 416 74.539 57.253 0.947 0.814 NA
"21" "Scleria.pauciflora_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 456 64.945 65.278 0.304 0.188 NA
"22" "Scleria.pauciflora_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 461.5 64.576 66.204 0.699 0.626 NA
"23" "Scleria.pauciflora_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 496 57.196 72.531 0.28 0.206 NA
"24" "Scleria.pauciflora_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 462 63.838 66.512 0.99 0.811 NA
"25" "Scleria.pauciflora_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 539 57.565 88.735 0.463 0.285 NA
"26" "Scleria.pauciflora_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 535.5 57.934 88.426 0.793 0.703 NA
"27" "Scleria.pauciflora_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 539 57.565 88.735 0.485 0.293 NA
"28" "Scleria.pauciflora_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 513 59.41 85.957 0.989 0.939 NA
"29" "Scleria.pauciflora_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 431 100 99.846 0.998 0.28 NA
"30" "Scleria.pauciflora_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 430 100 99.846 1 0.729 NA
"31" "Scleria.pauciflora_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 431 100 99.846 0.997 0.309 NA
"32" "Scleria.pauciflora_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 411 100 99.537 1 0.959 NA
"33" "Scleria.pauciflora_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 464 79.336 84.568 0.638 0.263 NA
"34" "Scleria.pauciflora_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 447 82.288 81.79 0.906 0.705 NA
"35" "Scleria.pauciflora_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 515 67.897 92.438 0.629 0.238 NA
"36" "Scleria.pauciflora_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "BOYCE" 457 80.074 83.179 0.989 0.875 NA
"37" "Scleria.pauciflora_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "TSS" 430.5 81.919 42.593 0.245 0.156 NA
"38" "Scleria.pauciflora_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "ROC" 432.5 81.919 42.593 0.619 0.595 NA
"39" "Scleria.pauciflora_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "KAPPA" 430.5 81.919 42.593 0.182 0.121 NA
"40" "Scleria.pauciflora_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "BOYCE" 404 81.919 42.593 0.631 0.367 NA
"41" "Scleria.pauciflora_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "TSS" 532 49.446 78.395 0.28 0.185 NA
"42" "Scleria.pauciflora_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "ROC" 539.5 47.601 80.556 0.697 0.679 NA
"43" "Scleria.pauciflora_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "KAPPA" 532 49.446 78.395 0.279 0.193 NA
"44" "Scleria.pauciflora_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "BOYCE" 507 53.506 72.531 0.99 0.911 NA
"45" "Scleria.pauciflora_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "TSS" 405 73.063 52.315 0.255 0.305 NA
"46" "Scleria.pauciflora_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "ROC" 463.5 60.517 66.358 0.677 0.692 NA
"47" "Scleria.pauciflora_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "KAPPA" 484 54.982 69.444 0.229 0.259 NA
"48" "Scleria.pauciflora_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "BOYCE" 584 32.841 86.728 0.962 0.887 NA
"49" "Scleria.pauciflora_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "TSS" 514 64.207 83.488 0.475 0.323 NA
"50" "Scleria.pauciflora_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "ROC" 510.5 64.945 83.179 0.81 0.697 NA
"51" "Scleria.pauciflora_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "KAPPA" 514 64.207 83.488 0.471 0.303 NA
"52" "Scleria.pauciflora_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "BOYCE" 481 70.48 75.926 0.997 0.894 NA
"53" "Scleria.pauciflora_PA1_RUN3_RF" "PA1" "RUN3" "RF" "TSS" 400 100 99.846 0.998 0.337 NA
"54" "Scleria.pauciflora_PA1_RUN3_RF" "PA1" "RUN3" "RF" "ROC" 400 100 99.846 1 0.743 NA
"55" "Scleria.pauciflora_PA1_RUN3_RF" "PA1" "RUN3" "RF" "KAPPA" 400 100 99.846 0.997 0.354 NA
"56" "Scleria.pauciflora_PA1_RUN3_RF" "PA1" "RUN3" "RF" "BOYCE" 395 100 99.846 1 0.863 NA
"57" "Scleria.pauciflora_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "TSS" 442 85.978 80.401 0.667 0.457 NA
"58" "Scleria.pauciflora_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "ROC" 447.5 85.24 81.636 0.907 0.752 NA
"59" "Scleria.pauciflora_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "KAPPA" 476 78.598 86.111 0.625 0.32 NA
"60" "Scleria.pauciflora_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "BOYCE" 437 85.978 78.858 0.995 0.908 NA
"61" "Scleria.pauciflora_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "TSS" 371.5 79.705 55.093 0.348 0.148 NA
"62" "Scleria.pauciflora_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "ROC" 372 79.705 55.093 0.716 0.662 NA
