"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 346 100 100 1 0.475 NA
"2" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 345 100 100 1 0.857 NA
"3" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 346 100 100 1 0.495 NA
"4" "Scleria.pergracilis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 305 100 99.693 1 0.758 NA
"5" "Scleria.pergracilis_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 537 95.349 93.712 0.892 0.43 NA
"6" "Scleria.pergracilis_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 540 95.349 93.865 0.983 0.813 NA
"7" "Scleria.pergracilis_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 596 86.047 96.779 0.792 0.355 NA
"8" "Scleria.pergracilis_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 511 95.349 92.178 0.969 0.671 NA
"9" "Scleria.pergracilis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 651 91.86 73.16 0.65 0.506 NA
"10" "Scleria.pergracilis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 650 91.86 73.16 0.87 0.785 NA
"11" "Scleria.pergracilis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 776 47.674 94.018 0.43 0.301 NA
"12" "Scleria.pergracilis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 642 91.86 73.16 0.773 0.86 NA
"13" "Scleria.pergracilis_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 422 94.186 65.644 0.598 0.503 NA
"14" "Scleria.pergracilis_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 428 94.186 65.798 0.863 0.806 NA
"15" "Scleria.pergracilis_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 784 45.349 93.405 0.396 0.341 NA
"16" "Scleria.pergracilis_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 408 94.186 65.184 0.935 0.65 NA
"17" "Scleria.pergracilis_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 406 88.372 58.742 0.476 0.448 NA
"18" "Scleria.pergracilis_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 445 86.047 62.27 0.821 0.818 NA
"19" "Scleria.pergracilis_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 797 38.372 96.166 0.402 0.386 NA
"20" "Scleria.pergracilis_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 689 51.163 87.27 0.935 0.779 NA
"21" "Scleria.pergracilis_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 322 74.419 81.748 0.562 0.297 NA
"22" "Scleria.pergracilis_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 320.5 74.419 81.748 0.865 0.801 NA
"23" "Scleria.pergracilis_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 663 50 97.239 0.546 0.227 NA
"24" "Scleria.pergracilis_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 489 63.953 91.258 0.889 0.297 NA
"25" "Scleria.pergracilis_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 304 100 100 1 0.32 NA
"26" "Scleria.pergracilis_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 305 100 100 1 0.786 NA
"27" "Scleria.pergracilis_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 304 100 100 1 0.341 NA
"28" "Scleria.pergracilis_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 284 100 100 1 0.614 NA
"29" "Scleria.pergracilis_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 490 96.512 91.104 0.876 0.311 NA
"30" "Scleria.pergracilis_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 493 96.512 91.564 0.983 0.81 NA
"31" "Scleria.pergracilis_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 609 82.558 97.239 0.792 0.112 NA
"32" "Scleria.pergracilis_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "BOYCE" 485 96.512 90.798 0.991 0.45 NA
"33" "Scleria.pergracilis_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "TSS" 478 90.698 59.816 0.505 0.302 NA
"34" "Scleria.pergracilis_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "ROC" 475.5 90.698 59.816 0.81 0.706 NA
"35" "Scleria.pergracilis_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "KAPPA" 697 54.651 86.656 0.333 0.147 NA
"36" "Scleria.pergracilis_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "BOYCE" 813 18.605 100 0.552 0.685 NA
"37" "Scleria.pergracilis_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "TSS" 433 90.698 65.491 0.563 0.38 NA
"38" "Scleria.pergracilis_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "ROC" 437.5 90.698 65.951 0.856 0.76 NA
"39" "Scleria.pergracilis_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "KAPPA" 756 50 92.025 0.405 0.17 NA
"40" "Scleria.pergracilis_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "BOYCE" 445 88.372 66.258 0.976 0.178 NA
"41" "Scleria.pergracilis_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "TSS" 429 84.884 63.65 0.485 0.488 NA
"42" "Scleria.pergracilis_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "ROC" 436.5 84.884 64.417 0.826 0.795 NA
"43" "Scleria.pergracilis_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "KAPPA" 780 40.698 96.166 0.424 0.283 NA
"44" "Scleria.pergracilis_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "BOYCE" 701 50 88.957 0.891 0.676 NA
"45" "Scleria.pergracilis_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "TSS" 382 75.581 82.209 0.578 0.285 NA
"46" "Scleria.pergracilis_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "ROC" 389.5 75.581 82.362 0.87 0.768 NA
"47" "Scleria.pergracilis_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "KAPPA" 673 46.512 97.546 0.519 0.314 NA
