"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.plusiophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 220 79.545 88.41 0.68 0.287 NA
"2" "Scleria.plusiophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 158.5 84.091 84.097 0.906 0.719 NA
"3" "Scleria.plusiophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 792 59.091 99.73 0.71 0.204 NA
"4" "Scleria.plusiophylla_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 603 63.636 97.978 0.83 0.511 NA
"5" "Scleria.plusiophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 314 100 100 1 0.262 NA
"6" "Scleria.plusiophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 317 100 100 1 0.883 NA
"7" "Scleria.plusiophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 314 100 100 1 0.352 NA
"8" "Scleria.plusiophylla_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 302 100 100 1 0.461 NA
"9" "Scleria.plusiophylla_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 507 100 97.305 0.974 0.31 NA
"10" "Scleria.plusiophylla_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 509 100 97.439 0.995 0.871 NA
"11" "Scleria.plusiophylla_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 587 93.182 98.383 0.835 0.326 NA
"12" "Scleria.plusiophylla_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 689 75 99.461 0.895 0.665 NA
"13" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 480 90.909 80.323 0.712 0.35 NA
"14" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 540.5 90.909 80.458 0.89 0.727 NA
"15" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 813 43.182 95.283 0.348 0.148 NA
"16" "Scleria.plusiophylla_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 502 90.909 80.323 0.631 0.721 NA
"17" "Scleria.plusiophylla_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 495 88.636 81.806 0.704 0.393 NA
"18" "Scleria.plusiophylla_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 499.5 88.636 82.075 0.912 0.756 NA
"19" "Scleria.plusiophylla_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 808 61.364 95.553 0.486 0.113 NA
"20" "Scleria.plusiophylla_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 689 68.182 92.049 0.951 0.662 NA
"21" "Scleria.plusiophylla_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 589 77.273 85.31 0.626 0.26 NA
"22" "Scleria.plusiophylla_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 592.5 77.273 85.58 0.86 0.76 NA
"23" "Scleria.plusiophylla_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 811 47.727 94.744 0.363 0.229 NA
"24" "Scleria.plusiophylla_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 567 77.273 83.693 0.97 0.667 NA
"25" "Scleria.plusiophylla_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 160 84.091 87.466 0.717 0.608 NA
"26" "Scleria.plusiophylla_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 164.5 84.091 87.871 0.918 0.883 NA
"27" "Scleria.plusiophylla_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 571 59.091 97.574 0.567 0.229 NA
"28" "Scleria.plusiophylla_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 522 59.091 96.361 0.852 0.607 NA
"29" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 273 100 99.865 0.999 0.267 NA
"30" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 271 100 99.865 1 0.971 NA
"31" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 273 100 99.865 0.988 0.381 NA
"32" "Scleria.plusiophylla_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 232 100 99.326 0.862 0.779 NA
