"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 247 47.761 99.814 0.476 0.419 NA
"2" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 250 47.761 99.814 0.738 0.709 NA
"3" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 247 47.761 99.814 0.612 0.441 NA
"4" "Scleria.poiformis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 25 47.761 99.814 1 1 NA
"5" "Scleria.poiformis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 365 100 99.629 0.996 0.536 NA
"6" "Scleria.poiformis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 369 100 99.814 1 0.927 NA
"7" "Scleria.poiformis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 397.5 98.507 100 0.992 0.581 NA
"8" "Scleria.poiformis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 322 100 98.887 0.981 0.768 NA
"9" "Scleria.poiformis_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 470 100 94.434 0.944 0.647 NA
"10" "Scleria.poiformis_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 470 100 94.434 0.993 0.932 NA
"11" "Scleria.poiformis_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 693 89.552 98.701 0.883 0.5 NA
"12" "Scleria.poiformis_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 642 91.045 97.588 0.819 0.747 NA
"13" "Scleria.poiformis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 573 97.015 90.724 0.877 0.477 NA
"14" "Scleria.poiformis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 574 97.015 90.724 0.963 0.911 NA
"15" "Scleria.poiformis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 648 94.03 92.022 0.686 0.411 NA
"16" "Scleria.poiformis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 551 97.015 90.724 0.756 0.455 NA
"17" "Scleria.poiformis_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 556 91.045 90.538 0.816 0.742 NA
"18" "Scleria.poiformis_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 553.5 91.045 90.538 0.958 0.958 NA
"19" "Scleria.poiformis_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 732 80.597 93.321 0.643 0.662 NA
"20" "Scleria.poiformis_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 518 91.045 89.981 0.914 0.73 NA
"21" "Scleria.poiformis_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 535 91.045 89.239 0.803 0.661 NA
"22" "Scleria.poiformis_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 533 91.045 89.239 0.949 0.944 NA
"23" "Scleria.poiformis_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 778 76.119 93.878 0.63 0.58 NA
"24" "Scleria.poiformis_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 527 91.045 89.054 0.922 0.581 NA
"25" "Scleria.poiformis_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 247 50.746 99.814 0.506 0.492 NA
"26" "Scleria.poiformis_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 250 50.746 99.814 0.753 0.746 NA
"27" "Scleria.poiformis_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 247 50.746 99.814 0.639 0.426 NA
"28" "Scleria.poiformis_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 25 50.746 99.814 1 1 NA
"29" "Scleria.poiformis_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 312 100 99.258 0.993 0.757 NA
"30" "Scleria.poiformis_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 313 100 99.258 1 0.922 NA
"31" "Scleria.poiformis_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 408.5 97.015 100 0.983 0.645 NA
"32" "Scleria.poiformis_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 299 100 98.887 0.99 0.77 NA
"33" "Scleria.poiformis_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 452 100 93.878 0.939 0.72 NA
"34" "Scleria.poiformis_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 451.5 100 93.878 0.992 0.93 NA
"35" "Scleria.poiformis_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 613 94.03 97.217 0.858 0.598 NA
"36" "Scleria.poiformis_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "BOYCE" 587 94.03 96.475 0.94 0.825 NA
