"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.polycarpa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 361 83.846 85.526 0.694 0.539 NA
"2" "Scleria.polycarpa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 338.5 85.385 84.211 0.922 0.843 NA
"3" "Scleria.polycarpa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 461 79.231 89.254 0.646 0.503 NA
"4" "Scleria.polycarpa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 380 82.308 85.526 0.961 0.764 NA
"5" "Scleria.polycarpa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 425 100 99.561 0.996 0.584 NA
"6" "Scleria.polycarpa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 427 100 99.561 1 0.902 NA
"7" "Scleria.polycarpa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 425 100 99.561 0.99 0.624 NA
"8" "Scleria.polycarpa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 392 100 99.123 0.988 0.797 NA
"9" "Scleria.polycarpa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 406 97.692 90.351 0.88 0.509 NA
"10" "Scleria.polycarpa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 407.5 97.692 90.351 0.981 0.888 NA
"11" "Scleria.polycarpa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 665 80 97.807 0.814 0.582 NA
"12" "Scleria.polycarpa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 418 96.923 90.789 0.949 0.82 NA
"13" "Scleria.polycarpa_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 607 90 84.868 0.749 0.39 NA
"14" "Scleria.polycarpa_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 608 90 84.868 0.892 0.778 NA
"15" "Scleria.polycarpa_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 607 90 84.868 0.649 0.307 NA
"16" "Scleria.polycarpa_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 575 90 84.649 0.72 0.345 NA
"17" "Scleria.polycarpa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 444 90 82.237 0.722 0.643 NA
"18" "Scleria.polycarpa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 377 92.308 80.044 0.928 0.897 NA
"19" "Scleria.polycarpa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 545 83.077 86.623 0.629 0.596 NA
"20" "Scleria.polycarpa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 401 90 80.702 0.968 0.862 NA
"21" "Scleria.polycarpa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 516 82.308 83.553 0.659 0.531 NA
"22" "Scleria.polycarpa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 520.5 82.308 83.991 0.891 0.867 NA
"23" "Scleria.polycarpa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 546 79.231 85.307 0.581 0.546 NA
"24" "Scleria.polycarpa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 501 82.308 82.675 0.97 0.932 NA
"25" "Scleria.polycarpa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 271 81.538 83.772 0.655 0.582 NA
"26" "Scleria.polycarpa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 273.5 81.538 84.211 0.91 0.891 NA
"27" "Scleria.polycarpa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 351 76.154 88.158 0.609 0.537 NA
"28" "Scleria.polycarpa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 300 77.692 85.965 0.966 0.475 NA
"29" "Scleria.polycarpa_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 398 100 99.342 0.993 0.622 NA
"30" "Scleria.polycarpa_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 399 100 99.342 1 0.909 NA
"31" "Scleria.polycarpa_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 458 99.231 100 0.995 0.625 NA
"32" "Scleria.polycarpa_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 413 100 99.342 0.988 0.844 NA
"33" "Scleria.polycarpa_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 468 96.923 91.667 0.888 0.596 NA
"34" "Scleria.polycarpa_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 476 96.923 92.105 0.98 0.914 NA
"35" "Scleria.polycarpa_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 597 86.923 96.272 0.832 0.594 NA
"36" "Scleria.polycarpa_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "BOYCE" 450 96.923 90.57 0.97 0.828 NA
"37" "Scleria.polycarpa_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "TSS" 466 90.769 82.895 0.737 0.604 NA
"38" "Scleria.polycarpa_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "ROC" 477 90.769 83.114 0.903 0.893 NA
"39" "Scleria.polycarpa_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "KAPPA" 497.5 90 83.553 0.628 0.525 NA
"40" "Scleria.polycarpa_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "BOYCE" 465 90.769 82.895 0.838 0.655 NA
"41" "Scleria.polycarpa_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "TSS" 465 90 83.114 0.731 0.586 NA
"42" "Scleria.polycarpa_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "ROC" 472.5 90 83.553 0.925 0.892 NA
"43" "Scleria.polycarpa_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "KAPPA" 687 71.538 92.325 0.642 0.464 NA
"44" "Scleria.polycarpa_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "BOYCE" 455 90 82.237 0.972 0.374 NA
"45" "Scleria.polycarpa_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "TSS" 494 79.231 83.114 0.626 0.682 NA
"46" "Scleria.polycarpa_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "ROC" 468 82.308 80.482 0.876 0.927 NA
"47" "Scleria.polycarpa_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "KAPPA" 585 72.308 87.281 0.562 0.685 NA
"48" "Scleria.polycarpa_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "BOYCE" 491 79.231 82.456 0.956 0.793 NA
"49" "Scleria.polycarpa_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "TSS" 49.5 20.769 99.781 0.205 0.173 NA
"50" "Scleria.polycarpa_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "ROC" 49.5 20.769 99.781 0.602 0.587 NA
"51" "Scleria.polycarpa_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "KAPPA" 49.5 20.769 99.781 0.286 0.24 NA
"52" "Scleria.polycarpa_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "BOYCE" 30 20.769 99.781 0.6 1 NA
"53" "Scleria.polycarpa_PA1_RUN3_RF" "PA1" "RUN3" "RF" "TSS" 399 100 99.781 0.998 0.683 NA
"54" "Scleria.polycarpa_PA1_RUN3_RF" "PA1" "RUN3" "RF" "ROC" 400 100 99.781 1 0.925 NA
"55" "Scleria.polycarpa_PA1_RUN3_RF" "PA1" "RUN3" "RF" "KAPPA" 399 100 99.781 0.995 0.648 NA
"56" "Scleria.polycarpa_PA1_RUN3_RF" "PA1" "RUN3" "RF" "BOYCE" 361 100 98.904 0.996 0.858 NA
"57" "Scleria.polycarpa_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "TSS" 442 96.154 89.693 0.858 0.621 NA
"58" "Scleria.polycarpa_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "ROC" 411 96.923 89.035 0.977 0.928 NA
"59" "Scleria.polycarpa_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "KAPPA" 588 88.462 94.298 0.803 0.633 NA
"60" "Scleria.polycarpa_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "BOYCE" 427 96.154 89.035 0.985 0.913 NA
"61" "Scleria.polycarpa_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "TSS" 587.5 74.615 91.228 0.658 0.522 NA
"62" "Scleria.polycarpa_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "ROC" 587 74.615 91.228 0.881 0.873 NA
"63" "Scleria.polycarpa_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "KAPPA" 618 73.846 91.667 0.648 0.471 NA
"64" "Scleria.polycarpa_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "BOYCE" 579 74.615 91.228 0.847 0.436 NA
"65" "Scleria.polycarpa_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "TSS" 424 90.769 79.825 0.71 0.646 NA
"66" "Scleria.polycarpa_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "ROC" 432.5 90.769 80.702 0.92 0.921 NA
"67" "Scleria.polycarpa_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "KAPPA" 576 79.231 88.377 0.631 0.567 NA
"68" "Scleria.polycarpa_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "BOYCE" 419 90.769 79.825 0.931 0.834 NA
"69" "Scleria.polycarpa_PA1_RUN3_GAM" "PA1" "RUN3" "GAM" "TSS" 484 81.538 81.579 0.631 0.647 NA
"70" "Scleria.polycarpa_PA1_RUN3_GAM" "PA1" "RUN3" "GAM" "ROC" 492.5 80.769 82.895 0.882 0.901 NA
"71" "Scleria.polycarpa_PA1_RUN3_GAM" "PA1" "RUN3" "GAM" "KAPPA" 524 76.923 85.746 0.572 0.593 NA
"72" "Scleria.polycarpa_PA1_RUN3_GAM" "PA1" "RUN3" "GAM" "BOYCE" 490 80.769 82.675 0.967 0.852 NA
"73" "Scleria.polycarpa_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "TSS" 0 100 0 0.144 0.065 NA
"74" "Scleria.polycarpa_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "ROC" 0.5 14.615 99.781 0.572 0.532 NA
"75" "Scleria.polycarpa_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "KAPPA" 0 100 0 0.206 0.091 NA
"76" "Scleria.polycarpa_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "BOYCE" 25 13.846 99.781 1 1 NA
"77" "Scleria.polycarpa_PA1_RUN4_RF" "PA1" "RUN4" "RF" "TSS" 416 100 99.781 0.998 0.627 NA
"78" "Scleria.polycarpa_PA1_RUN4_RF" "PA1" "RUN4" "RF" "ROC" 417 100 99.781 1 0.922 NA
"79" "Scleria.polycarpa_PA1_RUN4_RF" "PA1" "RUN4" "RF" "KAPPA" 416 100 99.781 0.995 0.641 NA
"80" "Scleria.polycarpa_PA1_RUN4_RF" "PA1" "RUN4" "RF" "BOYCE" 380 100 99.342 0.986 0.796 NA
"81" "Scleria.polycarpa_PA1_RUN4_GBM" "PA1" "RUN4" "GBM" "TSS" 501 95.385 92.544 0.879 0.592 NA
"82" "Scleria.polycarpa_PA1_RUN4_GBM" "PA1" "RUN4" "GBM" "ROC" 500.5 95.385 92.544 0.98 0.908 NA
"83" "Scleria.polycarpa_PA1_RUN4_GBM" "PA1" "RUN4" "GBM" "KAPPA" 613 86.154 96.93 0.84 0.673 NA
"84" "Scleria.polycarpa_PA1_RUN4_GBM" "PA1" "RUN4" "GBM" "BOYCE" 464 96.154 90.132 0.971 0.889 NA
"85" "Scleria.polycarpa_PA1_RUN4_ANN" "PA1" "RUN4" "ANN" "TSS" 457 84.615 86.623 0.712 0.552 NA
"86" "Scleria.polycarpa_PA1_RUN4_ANN" "PA1" "RUN4" "ANN" "ROC" 462 84.615 86.842 0.898 0.83 NA
"87" "Scleria.polycarpa_PA1_RUN4_ANN" "PA1" "RUN4" "ANN" "KAPPA" 528 81.538 89.693 0.67 0.509 NA
"88" "Scleria.polycarpa_PA1_RUN4_ANN" "PA1" "RUN4" "ANN" "BOYCE" 632 80.769 89.693 0.874 0.667 NA
"89" "Scleria.polycarpa_PA1_RUN4_GLM" "PA1" "RUN4" "GLM" "TSS" 323 96.923 74.342 0.713 0.633 NA
"90" "Scleria.polycarpa_PA1_RUN4_GLM" "PA1" "RUN4" "GLM" "ROC" 323.5 96.923 74.342 0.924 0.871 NA
"91" "Scleria.polycarpa_PA1_RUN4_GLM" "PA1" "RUN4" "GLM" "KAPPA" 525 83.077 85.965 0.619 0.579 NA
"92" "Scleria.polycarpa_PA1_RUN4_GLM" "PA1" "RUN4" "GLM" "BOYCE" 428 89.231 80.482 0.964 0.8 NA
"93" "Scleria.polycarpa_PA1_RUN4_GAM" "PA1" "RUN4" "GAM" "TSS" 565 75.385 86.842 0.624 0.687 NA
"94" "Scleria.polycarpa_PA1_RUN4_GAM" "PA1" "RUN4" "GAM" "ROC" 565.5 75.385 87.061 0.884 0.889 NA
"95" "Scleria.polycarpa_PA1_RUN4_GAM" "PA1" "RUN4" "GAM" "KAPPA" 565 75.385 86.842 0.581 0.626 NA
"96" "Scleria.polycarpa_PA1_RUN4_GAM" "PA1" "RUN4" "GAM" "BOYCE" 508 77.692 84.211 0.946 0.923 NA
"97" "Scleria.polycarpa_PA1_RUN5_MAXENT" "PA1" "RUN5" "MAXENT" "TSS" 263 10.769 99.781 0.105 0.073 NA
"98" "Scleria.polycarpa_PA1_RUN5_MAXENT" "PA1" "RUN5" "MAXENT" "ROC" 264 10.769 99.781 0.551 0.537 NA
"99" "Scleria.polycarpa_PA1_RUN5_MAXENT" "PA1" "RUN5" "MAXENT" "KAPPA" 263 10.769 99.781 0.154 0.105 NA
"100" "Scleria.polycarpa_PA1_RUN5_MAXENT" "PA1" "RUN5" "MAXENT" "BOYCE" 51 10.769 99.781 0.6 0.5 NA
"101" "Scleria.polycarpa_PA1_RUN5_RF" "PA1" "RUN5" "RF" "TSS" 389 100 99.342 0.993 0.648 NA
"102" "Scleria.polycarpa_PA1_RUN5_RF" "PA1" "RUN5" "RF" "ROC" 390 100 99.342 1 0.936 NA
"103" "Scleria.polycarpa_PA1_RUN5_RF" "PA1" "RUN5" "RF" "KAPPA" 389 100 99.342 0.985 0.648 NA
"104" "Scleria.polycarpa_PA1_RUN5_RF" "PA1" "RUN5" "RF" "BOYCE" 374 100 99.123 0.982 0.848 NA
"105" "Scleria.polycarpa_PA1_RUN5_GBM" "PA1" "RUN5" "GBM" "TSS" 439 97.692 89.474 0.872 0.626 NA
"106" "Scleria.polycarpa_PA1_RUN5_GBM" "PA1" "RUN5" "GBM" "ROC" 443 97.692 89.693 0.977 0.938 NA
"107" "Scleria.polycarpa_PA1_RUN5_GBM" "PA1" "RUN5" "GBM" "KAPPA" 567 90.769 94.079 0.815 0.681 NA
"108" "Scleria.polycarpa_PA1_RUN5_GBM" "PA1" "RUN5" "GBM" "BOYCE" 454 96.154 90.57 0.976 0.815 NA
"109" "Scleria.polycarpa_PA1_RUN5_ANN" "PA1" "RUN5" "ANN" "TSS" 573 86.154 83.772 0.699 0.678 NA
