"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.purpurascens_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 469 79.545 96.7 0.762 0.693 NA
"2" "Scleria.purpurascens_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 472.5 79.545 96.7 0.927 0.862 NA
"3" "Scleria.purpurascens_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 758 70.455 99.34 0.771 0.329 NA
"4" "Scleria.purpurascens_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 716 70.455 99.01 0.914 0.227 NA
"5" "Scleria.purpurascens_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 317 100 100 1 0.233 NA
"6" "Scleria.purpurascens_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 317 100 100 1 0.865 NA
"7" "Scleria.purpurascens_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 317 100 100 1 0.255 NA
"8" "Scleria.purpurascens_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 286 100 100 1 0.665 NA
"9" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 572 100 98.515 0.985 0.214 NA
"10" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 571.5 100 98.515 0.997 0.862 NA
"11" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 572 100 98.515 0.9 0.205 NA
"12" "Scleria.purpurascens_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 526 100 97.525 0.893 0.709 NA
"13" "Scleria.purpurascens_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 648.5 93.182 91.749 0.849 0.465 NA
"14" "Scleria.purpurascens_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 655.5 93.182 91.914 0.963 0.807 NA
"15" "Scleria.purpurascens_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 862.5 68.182 97.195 0.634 0.101 NA
"16" "Scleria.purpurascens_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 740 88.636 93.729 0.861 0.163 NA
"17" "Scleria.purpurascens_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 470 93.182 82.508 0.757 0.633 NA
"18" "Scleria.purpurascens_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 483 93.182 83.003 0.932 0.878 NA
"19" "Scleria.purpurascens_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 859 54.545 95.875 0.485 0.276 NA
"20" "Scleria.purpurascens_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 716 72.727 90.264 0.909 0.184 NA
"21" "Scleria.purpurascens_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 470 93.182 80.528 0.737 0.672 NA
"22" "Scleria.purpurascens_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 477 93.182 80.693 0.918 0.899 NA
"23" "Scleria.purpurascens_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 818 59.091 93.564 0.431 0.254 NA
"24" "Scleria.purpurascens_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 644 75 87.459 0.926 0.015 NA
