"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.racemosa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 262 83.333 81.532 0.649 0.298 NA
"2" "Scleria.racemosa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 263.5 83.333 81.669 0.876 0.765 NA
"3" "Scleria.racemosa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 724 46.97 97.948 0.521 0.088 NA
"4" "Scleria.racemosa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 444 66.667 90.834 0.942 0.68 NA
"5" "Scleria.racemosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 321 100 100 1 0.041 NA
"6" "Scleria.racemosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 319 100 100 1 0.742 NA
"7" "Scleria.racemosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 321 100 100 1 0.059 NA
"8" "Scleria.racemosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 282 100 100 1 0.563 NA
"9" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 392 100 89.33 0.893 0.328 NA
"10" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 399 100 89.74 0.981 0.739 NA
"11" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 600 81.818 96.58 0.72 0.233 NA
"12" "Scleria.racemosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 381 100 88.782 0.926 0.717 NA
"13" "Scleria.racemosa_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 470 72.727 82.763 0.555 0.013 NA
"14" "Scleria.racemosa_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 469.5 72.727 82.763 0.768 0.5 NA
"15" "Scleria.racemosa_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 595 66.667 86.32 0.345 0.012 NA
"16" "Scleria.racemosa_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 572 66.667 85.91 0.891 -0.008 NA
"17" "Scleria.racemosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 569 78.788 82.627 0.616 0.211 NA
"18" "Scleria.racemosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 575.5 78.788 82.9 0.855 0.692 NA
"19" "Scleria.racemosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 679 63.636 88.235 0.366 0.101 NA
"20" "Scleria.racemosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 557 78.788 81.806 0.889 0.464 NA
