"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.reticularis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 470 74.096 93.779 0.679 0.388 NA
"2" "Scleria.reticularis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 471.5 74.096 93.779 0.917 0.824 NA
"3" "Scleria.reticularis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 771 63.855 99.844 0.734 0.406 NA
"4" "Scleria.reticularis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 674 68.072 98.134 0.895 0.48 NA
"5" "Scleria.reticularis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 379 100 99.689 0.997 0.492 NA
"6" "Scleria.reticularis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 383 100 99.689 1 0.834 NA
"7" "Scleria.reticularis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 379 100 99.689 0.992 0.501 NA
"8" "Scleria.reticularis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 368 100 99.689 0.991 0.857 NA
"9" "Scleria.reticularis_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 413 93.373 83.981 0.774 0.532 NA
"10" "Scleria.reticularis_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 528.5 88.554 88.958 0.954 0.814 NA
"11" "Scleria.reticularis_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 550 87.952 89.269 0.696 0.529 NA
"12" "Scleria.reticularis_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 517 88.554 87.558 0.924 0.894 NA
"13" "Scleria.reticularis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 598 77.108 83.359 0.605 0.46 NA
"14" "Scleria.reticularis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 596 77.108 83.359 0.846 0.752 NA
"15" "Scleria.reticularis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 714 69.277 87.092 0.526 0.43 NA
"16" "Scleria.reticularis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 562 77.108 83.048 0.834 0.578 NA
"17" "Scleria.reticularis_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 480 80.723 74.961 0.557 0.489 NA
"18" "Scleria.reticularis_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 475.5 81.325 74.65 0.845 0.801 NA
"19" "Scleria.reticularis_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 617 69.88 83.204 0.47 0.439 NA
"20" "Scleria.reticularis_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 511 77.108 76.05 0.977 0.83 NA
"21" "Scleria.reticularis_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 574 72.289 79.471 0.518 0.454 NA
"22" "Scleria.reticularis_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 577.5 72.289 79.782 0.815 0.798 NA
"23" "Scleria.reticularis_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 659 62.651 86.625 0.468 0.42 NA
"24" "Scleria.reticularis_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 560 72.289 78.538 0.972 0.764 NA
"25" "Scleria.reticularis_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 390 72.892 91.602 0.646 0.424 NA
"26" "Scleria.reticularis_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 406.5 72.289 92.379 0.906 0.814 NA
"27" "Scleria.reticularis_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 776 60.843 99.844 0.708 0.385 NA
"28" "Scleria.reticularis_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 558 66.265 96.112 0.792 0.614 NA
"29" "Scleria.reticularis_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 370 100 99.067 0.992 0.651 NA
"30" "Scleria.reticularis_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 372 100 99.222 1 0.866 NA
