"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.rugosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 498 99.479 99.835 0.993 0.478 NA
"2" "Scleria.rugosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 411 100 99.34 1 0.879 NA
"3" "Scleria.rugosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 498 99.479 99.835 0.994 0.479 NA
"4" "Scleria.rugosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 453 99.479 99.505 0.999 0.943 NA
"5" "Scleria.rugosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 610 86.979 86.964 0.739 0.521 NA
"6" "Scleria.rugosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 611.5 86.979 87.129 0.946 0.871 NA
"7" "Scleria.rugosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 683 77.604 95.05 0.749 0.496 NA
"8" "Scleria.rugosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 607 87.24 86.469 0.984 0.912 NA
"9" "Scleria.rugosa_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 518.5 94.531 54.95 0.495 0.456 NA
"10" "Scleria.rugosa_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 519 94.531 54.95 0.81 0.786 NA
"11" "Scleria.rugosa_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 518.5 94.531 54.95 0.442 0.41 NA
"12" "Scleria.rugosa_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 681 50.26 88.119 0.728 0.876 NA
"13" "Scleria.rugosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 604 77.865 71.782 0.493 0.536 NA
"14" "Scleria.rugosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 588.5 79.688 69.967 0.823 0.838 NA
"15" "Scleria.rugosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 634 72.656 76.073 0.48 0.511 NA
"16" "Scleria.rugosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 588 79.688 69.967 0.99 0.929 NA
"17" "Scleria.rugosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 450 92.969 51.815 0.448 0.537 NA
"18" "Scleria.rugosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 451.5 92.969 51.815 0.782 0.835 NA
"19" "Scleria.rugosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 450 92.969 51.815 0.398 0.485 NA
"20" "Scleria.rugosa_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 459 92.188 52.145 0.987 0.77 NA
"21" "Scleria.rugosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 312 86.719 72.442 0.592 0.462 NA
"22" "Scleria.rugosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 308.5 87.5 72.442 0.885 0.796 NA
"23" "Scleria.rugosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 412 78.906 79.373 0.57 0.41 NA
"24" "Scleria.rugosa_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 337 83.333 73.927 0.991 0.944 NA
