"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.scabra_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 553 83.333 93.852 0.772 0.16 NA
"2" "Scleria.scabra_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 555 83.333 93.989 0.95 0.682 NA
"3" "Scleria.scabra_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 754 72.549 99.317 0.796 0.179 NA
"4" "Scleria.scabra_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 542 83.333 93.716 0.925 0.434 NA
"5" "Scleria.scabra_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 372.5 100 99.863 0.999 0.162 NA
"6" "Scleria.scabra_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 370 100 99.863 1 0.713 NA
"7" "Scleria.scabra_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 372.5 100 99.863 0.994 0.209 NA
"8" "Scleria.scabra_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 340 100 99.727 1 0.764 NA
"9" "Scleria.scabra_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 425 98.039 86.202 0.844 0.276 NA
"10" "Scleria.scabra_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 430.5 98.039 86.749 0.97 0.74 NA
"11" "Scleria.scabra_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 563 83.333 94.536 0.71 0.199 NA
"12" "Scleria.scabra_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 448 96.078 87.705 0.995 0.697 NA
"13" "Scleria.scabra_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 578 61.765 86.475 0.484 0.2 NA
"14" "Scleria.scabra_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 579.5 61.765 86.612 0.797 0.611 NA
"15" "Scleria.scabra_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 608 59.804 87.842 0.396 0.209 NA
"16" "Scleria.scabra_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 568 61.765 86.066 0.789 0.493 NA
"17" "Scleria.scabra_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 470 78.431 73.087 0.515 0.258 NA
"18" "Scleria.scabra_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 478.5 78.431 73.634 0.829 0.729 NA
