"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.scrobiculata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 247 79.167 99.802 0.79 0.718 NA
"2" "Scleria.scrobiculata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 250 79.167 99.802 0.895 0.859 NA
"3" "Scleria.scrobiculata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 247 79.167 99.802 0.863 0.692 NA
"4" "Scleria.scrobiculata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 25 79.167 99.802 1 1 NA
"5" "Scleria.scrobiculata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 395.5 100 100 1 0.778 NA
"6" "Scleria.scrobiculata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 395 100 100 1 0.958 NA
"7" "Scleria.scrobiculata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 395.5 100 100 1 0.654 NA
"8" "Scleria.scrobiculata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 362 100 99.802 1 0.853 NA
"9" "Scleria.scrobiculata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 464 100 98.02 0.98 0.77 NA
"10" "Scleria.scrobiculata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 466.5 100 98.02 0.998 0.958 NA
"11" "Scleria.scrobiculata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 575 97.917 98.416 0.904 0.603 NA
"12" "Scleria.scrobiculata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 447 100 98.02 0.588 0.736 NA
"13" "Scleria.scrobiculata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 758 93.75 94.257 0.88 0.714 NA
"14" "Scleria.scrobiculata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 761 93.75 94.257 0.962 0.933 NA
"15" "Scleria.scrobiculata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 758 93.75 94.257 0.707 0.479 NA
"16" "Scleria.scrobiculata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 750 93.75 94.257 0.705 0.427 NA
"17" "Scleria.scrobiculata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 566 93.75 93.861 0.876 0.845 NA
"18" "Scleria.scrobiculata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 569.5 93.75 93.861 0.977 0.948 NA
"19" "Scleria.scrobiculata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 566 93.75 93.861 0.693 0.649 NA
"20" "Scleria.scrobiculata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 518 93.75 93.069 0.887 0.442 NA
"21" "Scleria.scrobiculata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 535 89.583 91.683 0.813 0.698 NA
"22" "Scleria.scrobiculata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 536.5 89.583 91.683 0.952 0.939 NA
"23" "Scleria.scrobiculata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 848 70.833 96.436 0.648 0.578 NA
"24" "Scleria.scrobiculata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 491 89.583 91.089 0.926 0.837 NA
"25" "Scleria.scrobiculata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 247 77.083 99.802 0.769 0.71 NA
"26" "Scleria.scrobiculata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 250 77.083 99.802 0.884 0.855 NA
"27" "Scleria.scrobiculata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 247 77.083 99.802 0.849 0.661 NA
"28" "Scleria.scrobiculata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 25 77.083 99.802 1 1 NA
"29" "Scleria.scrobiculata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 346 100 99.604 0.996 0.702 NA
"30" "Scleria.scrobiculata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 368 100 99.802 1 0.971 NA
"31" "Scleria.scrobiculata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 346 100 99.604 0.978 0.631 NA
"32" "Scleria.scrobiculata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 322 100 99.604 1 0.482 NA
"33" "Scleria.scrobiculata_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 538 100 98.416 0.984 0.694 NA
"34" "Scleria.scrobiculata_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 540.5 100 98.416 0.999 0.972 NA
"35" "Scleria.scrobiculata_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 612 93.75 99.406 0.932 0.576 NA
"36" "Scleria.scrobiculata_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "BOYCE" 496 100 98.02 0.874 0.756 NA
"37" "Scleria.scrobiculata_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "TSS" 488 93.75 90.891 0.848 0.698 NA
"38" "Scleria.scrobiculata_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "ROC" 489.5 93.75 91.089 0.969 0.912 NA
"39" "Scleria.scrobiculata_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "KAPPA" 814 81.25 96.436 0.716 0.405 NA
"40" "Scleria.scrobiculata_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "BOYCE" 640 87.5 95.05 0.518 0.271 NA
"41" "Scleria.scrobiculata_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "TSS" 338 100 89.901 0.899 0.607 NA
"42" "Scleria.scrobiculata_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "ROC" 343 100 89.901 0.979 0.918 NA
"43" "Scleria.scrobiculata_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "KAPPA" 808 85.417 95.644 0.71 0.445 NA
"44" "Scleria.scrobiculata_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "BOYCE" 410 97.917 90.891 0.884 0.499 NA
"45" "Scleria.scrobiculata_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "TSS" 460 89.583 90.693 0.803 0.722 NA
"46" "Scleria.scrobiculata_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "ROC" 460 89.583 90.693 0.956 0.919 NA
"47" "Scleria.scrobiculata_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "KAPPA" 820 79.167 94.851 0.643 0.303 NA
"48" "Scleria.scrobiculata_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "BOYCE" 612 85.417 92.871 0.909 0.164 NA
"49" "Scleria.scrobiculata_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "TSS" 247 72.917 99.802 0.727 0.718 NA
"50" "Scleria.scrobiculata_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "ROC" 250 72.917 99.802 0.864 0.859 NA
"51" "Scleria.scrobiculata_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "KAPPA" 247 72.917 99.802 0.82 0.692 NA
"52" "Scleria.scrobiculata_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "BOYCE" 25 72.917 99.802 1 1 NA
"53" "Scleria.scrobiculata_PA1_RUN3_RF" "PA1" "RUN3" "RF" "TSS" 280 100 99.208 0.992 0.802 NA
"54" "Scleria.scrobiculata_PA1_RUN3_RF" "PA1" "RUN3" "RF" "ROC" 279 100 99.208 1 0.956 NA
"55" "Scleria.scrobiculata_PA1_RUN3_RF" "PA1" "RUN3" "RF" "KAPPA" 369 97.917 100 0.988 0.817 NA
"56" "Scleria.scrobiculata_PA1_RUN3_RF" "PA1" "RUN3" "RF" "BOYCE" 259 100 99.208 1 0.467 NA
"57" "Scleria.scrobiculata_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "TSS" 545 100 98.218 0.982 0.734 NA
"58" "Scleria.scrobiculata_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "ROC" 551.5 100 98.416 0.998 0.97 NA
"59" "Scleria.scrobiculata_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "KAPPA" 687.5 89.583 99.802 0.929 0.678 NA
"60" "Scleria.scrobiculata_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "BOYCE" 667 89.583 99.802 0.74 0.736 NA
"61" "Scleria.scrobiculata_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "TSS" 391 97.917 88.119 0.86 0.663 NA
"62" "Scleria.scrobiculata_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "ROC" 392.5 97.917 88.119 0.963 0.948 NA
"63" "Scleria.scrobiculata_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "KAPPA" 893 83.333 96.634 0.737 0.661 NA
"64" "Scleria.scrobiculata_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "BOYCE" 578 89.583 95.644 0.532 0.564 NA
"65" "Scleria.scrobiculata_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "TSS" 374 97.917 90.891 0.89 0.579 NA
"66" "Scleria.scrobiculata_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "ROC" 378.5 97.917 91.089 0.978 0.931 NA
"67" "Scleria.scrobiculata_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "KAPPA" 646 93.75 93.861 0.7 0.452 NA
"68" "Scleria.scrobiculata_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "BOYCE" 599 93.75 93.663 0.879 0.485 NA
"69" "Scleria.scrobiculata_PA1_RUN3_GAM" "PA1" "RUN3" "GAM" "TSS" 374 93.75 88.515 0.823 0.675 NA
"70" "Scleria.scrobiculata_PA1_RUN3_GAM" "PA1" "RUN3" "GAM" "ROC" 383.5 93.75 88.713 0.952 0.942 NA
"71" "Scleria.scrobiculata_PA1_RUN3_GAM" "PA1" "RUN3" "GAM" "KAPPA" 860 70.833 96.04 0.633 0.635 NA
"72" "Scleria.scrobiculata_PA1_RUN3_GAM" "PA1" "RUN3" "GAM" "BOYCE" 692 81.25 92.475 0.859 0.926 NA
"73" "Scleria.scrobiculata_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "TSS" 247 77.083 99.802 0.769 0.544 NA
"74" "Scleria.scrobiculata_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "ROC" 250 77.083 99.802 0.884 0.772 NA
"75" "Scleria.scrobiculata_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "KAPPA" 247 77.083 99.802 0.849 0.544 NA
"76" "Scleria.scrobiculata_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "BOYCE" 25 77.083 99.802 1 1 NA
"77" "Scleria.scrobiculata_PA1_RUN4_RF" "PA1" "RUN4" "RF" "TSS" 306 100 99.802 0.998 0.71 NA
"78" "Scleria.scrobiculata_PA1_RUN4_RF" "PA1" "RUN4" "RF" "ROC" 307 100 99.802 1 0.96 NA
"79" "Scleria.scrobiculata_PA1_RUN4_RF" "PA1" "RUN4" "RF" "KAPPA" 306 100 99.802 0.989 0.661 NA
"80" "Scleria.scrobiculata_PA1_RUN4_RF" "PA1" "RUN4" "RF" "BOYCE" 265 100 99.406 0.976 0.644 NA
"81" "Scleria.scrobiculata_PA1_RUN4_GBM" "PA1" "RUN4" "GBM" "TSS" 514.5 100 98.218 0.982 0.71 NA
"82" "Scleria.scrobiculata_PA1_RUN4_GBM" "PA1" "RUN4" "GBM" "ROC" 515 100 98.218 0.998 0.97 NA
"83" "Scleria.scrobiculata_PA1_RUN4_GBM" "PA1" "RUN4" "GBM" "KAPPA" 726.5 85.417 100 0.915 0.668 NA
"84" "Scleria.scrobiculata_PA1_RUN4_GBM" "PA1" "RUN4" "GBM" "BOYCE" 480 100 97.822 0.336 0.303 NA
"85" "Scleria.scrobiculata_PA1_RUN4_ANN" "PA1" "RUN4" "ANN" "TSS" 522 85.417 92.079 0.775 0.79 NA
"86" "Scleria.scrobiculata_PA1_RUN4_ANN" "PA1" "RUN4" "ANN" "ROC" 525.5 85.417 92.079 0.886 0.897 NA
"87" "Scleria.scrobiculata_PA1_RUN4_ANN" "PA1" "RUN4" "ANN" "KAPPA" 522 85.417 92.079 0.591 0.504 NA
"88" "Scleria.scrobiculata_PA1_RUN4_ANN" "PA1" "RUN4" "ANN" "BOYCE" 179 85.417 92.079 0.5 0.6 NA
"89" "Scleria.scrobiculata_PA1_RUN4_GLM" "PA1" "RUN4" "GLM" "TSS" 348.5 100 89.109 0.891 0.675 NA
"90" "Scleria.scrobiculata_PA1_RUN4_GLM" "PA1" "RUN4" "GLM" "ROC" 349.5 100 89.109 0.98 0.919 NA
