"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 231 79.893 73.362 0.534 0.28 NA
"2" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 232.5 79.893 73.647 0.854 0.708 NA
"3" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 473 60.59 90.313 0.536 0.307 NA
"4" "Scleria.secans_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 561 54.692 93.875 0.959 0.769 NA
"5" "Scleria.secans_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 416 99.732 99.573 0.994 0.448 NA
"6" "Scleria.secans_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 419 99.732 99.715 1 0.809 NA
"7" "Scleria.secans_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 416 99.732 99.573 0.994 0.456 NA
"8" "Scleria.secans_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 419 99.732 99.715 1 0.977 NA
"9" "Scleria.secans_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 517 80.965 83.761 0.649 0.384 NA
"10" "Scleria.secans_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 517.5 80.965 83.903 0.905 0.787 NA
"11" "Scleria.secans_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 565 76.139 88.177 0.643 0.386 NA
"12" "Scleria.secans_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 526 80.429 84.188 0.998 0.879 NA
"13" "Scleria.secans_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 439 88.74 49.288 0.378 0.367 NA
"14" "Scleria.secans_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 437.5 88.74 49.288 0.76 0.71 NA
"15" "Scleria.secans_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 549 46.649 87.464 0.366 0.209 NA
"16" "Scleria.secans_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 662 42.359 90.313 0.743 0.383 NA
"17" "Scleria.secans_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 565 69.437 79.63 0.489 0.304 NA
"18" "Scleria.secans_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 566.5 69.169 80.057 0.818 0.745 NA
"19" "Scleria.secans_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 565 69.437 79.63 0.481 0.303 NA
"20" "Scleria.secans_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 535 71.314 76.638 0.995 0.916 NA
"21" "Scleria.secans_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 483 77.48 67.236 0.447 0.337 NA
"22" "Scleria.secans_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 477.5 78.552 66.524 0.793 0.75 NA
"23" "Scleria.secans_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 632 57.373 85.47 0.448 0.339 NA
"24" "Scleria.secans_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 551 68.097 75.071 0.98 0.948 NA
"25" "Scleria.secans_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 262 79.088 72.65 0.517 0.441 NA
"26" "Scleria.secans_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 264 79.088 72.792 0.84 0.771 NA
"27" "Scleria.secans_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 332 71.314 79.915 0.501 0.411 NA
"28" "Scleria.secans_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 301 73.727 77.208 0.985 0.815 NA
"29" "Scleria.secans_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 427 99.464 99.715 0.992 0.432 NA
"30" "Scleria.secans_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 438 99.464 99.858 1 0.786 NA
"31" "Scleria.secans_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 427 99.464 99.715 0.992 0.444 NA
"32" "Scleria.secans_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 416 99.464 99.43 0.999 0.883 NA
"33" "Scleria.secans_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 447 88.74 74.359 0.632 0.446 NA
"34" "Scleria.secans_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 481.5 84.718 78.632 0.902 0.779 NA
"35" "Scleria.secans_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 581 74.263 88.319 0.631 0.437 NA
"36" "Scleria.secans_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "BOYCE" 553 76.139 85.043 0.99 0.911 NA
"37" "Scleria.secans_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "TSS" 441 85.523 59.402 0.449 0.297 NA
"38" "Scleria.secans_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "ROC" 467.5 85.255 59.687 0.787 0.702 NA
"39" "Scleria.secans_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "KAPPA" 661.5 57.105 84.188 0.426 0.285 NA
"40" "Scleria.secans_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "BOYCE" 635 57.373 83.903 0.899 0.6 NA
"41" "Scleria.secans_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "TSS" 459 82.306 65.527 0.478 0.433 NA
"42" "Scleria.secans_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "ROC" 462.5 82.038 66.382 0.812 0.777 NA
"43" "Scleria.secans_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "KAPPA" 558 69.973 77.208 0.458 0.443 NA
"44" "Scleria.secans_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "BOYCE" 485 79.357 68.091 0.99 0.934 NA
"45" "Scleria.secans_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "TSS" 497 75.603 68.234 0.441 0.446 NA
"46" "Scleria.secans_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "ROC" 500 75.603 68.946 0.79 0.768 NA
"47" "Scleria.secans_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "KAPPA" 576 65.952 77.778 0.43 0.411 NA
"48" "Scleria.secans_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "BOYCE" 528 70.509 72.222 0.99 0.933 NA
"49" "Scleria.secans_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "TSS" 322 70.241 82.764 0.53 0.396 NA
"50" "Scleria.secans_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "ROC" 320 70.509 82.764 0.845 0.766 NA
"51" "Scleria.secans_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "KAPPA" 322 70.241 82.764 0.527 0.391 NA
