"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 253.5 29.688 99.837 0.295 0.224 NA
"2" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 506.5 29.688 100 0.647 0.612 NA
"3" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 253.5 29.688 99.837 0.427 0.288 NA
"4" "Scleria.setulosociliata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 25 29.688 99.837 1 1 NA
"5" "Scleria.setulosociliata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 374.5 100 100 1 0.161 NA
"6" "Scleria.setulosociliata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 376 100 100 1 0.758 NA
"7" "Scleria.setulosociliata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 374.5 100 100 1 0.216 NA
"8" "Scleria.setulosociliata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 350 100 100 1 0.832 NA
"9" "Scleria.setulosociliata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 518 98.438 95.425 0.94 0.313 NA
"10" "Scleria.setulosociliata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 519.5 98.438 95.588 0.989 0.742 NA
"11" "Scleria.setulosociliata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 621 85.938 97.712 0.808 0.254 NA
"12" "Scleria.setulosociliata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 478 98.438 94.444 0.994 0.678 NA
"13" "Scleria.setulosociliata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 720.5 68.75 91.503 0.603 0.228 NA
"14" "Scleria.setulosociliata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 723.5 68.75 91.503 0.859 0.685 NA
"15" "Scleria.setulosociliata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 720.5 68.75 91.503 0.492 0.215 NA
"16" "Scleria.setulosociliata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 682 68.75 91.503 0.47 0.547 NA
"17" "Scleria.setulosociliata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 403 95.312 70.752 0.661 0.285 NA
"18" "Scleria.setulosociliata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 408 95.312 70.915 0.892 0.72 NA
"19" "Scleria.setulosociliata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 796 51.562 93.137 0.415 0.193 NA
"20" "Scleria.setulosociliata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 427 90.625 72.059 0.951 0.384 NA
"21" "Scleria.setulosociliata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 432 85.938 67.157 0.533 0.354 NA
"22" "Scleria.setulosociliata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 438.5 85.938 68.301 0.852 0.709 NA
"23" "Scleria.setulosociliata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 754 50 92.647 0.395 0.31 NA
"24" "Scleria.setulosociliata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 650 59.375 87.418 0.937 0.607 NA
"25" "Scleria.setulosociliata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 301 68.75 90.85 0.596 0.277 NA
"26" "Scleria.setulosociliata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 300 68.75 90.85 0.841 0.817 NA
"27" "Scleria.setulosociliata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 616 51.562 97.386 0.547 0.111 NA
"28" "Scleria.setulosociliata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 317 67.188 91.34 0.968 0.623 NA
"29" "Scleria.setulosociliata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 345 100 99.837 0.998 0.049 NA
"30" "Scleria.setulosociliata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 345 100 99.837 1 0.72 NA
"31" "Scleria.setulosociliata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 345 100 99.837 0.991 0.078 NA
"32" "Scleria.setulosociliata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 312 100 99.51 0.99 0.436 NA
"33" "Scleria.setulosociliata_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 427 100 92.157 0.922 0.415 NA
"34" "Scleria.setulosociliata_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 427 100 92.157 0.984 0.853 NA
"35" "Scleria.setulosociliata_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 556 95.312 96.078 0.797 0.253 NA
"36" "Scleria.setulosociliata_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "BOYCE" 520 95.312 94.771 0.93 0.666 NA
