"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.sororia_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 221 86.842 80.174 0.672 0.313 NA
"2" "Scleria.sororia_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 226.5 86.842 81.042 0.914 0.647 NA
"3" "Scleria.sororia_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 864 34.211 100 0.496 0.26 NA
"4" "Scleria.sororia_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 292 78.947 85.673 0.812 0.617 NA
"5" "Scleria.sororia_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 306 100 100 1 0.1 NA
"6" "Scleria.sororia_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 306 100 100 1 0.672 NA
"7" "Scleria.sororia_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 306 100 100 1 0.146 NA
"8" "Scleria.sororia_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 263 100 100 1 0.718 NA
"9" "Scleria.sororia_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 502 100 96.961 0.97 0.147 NA
"10" "Scleria.sororia_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 500.5 100 96.961 0.994 0.598 NA
"11" "Scleria.sororia_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 572 89.474 98.553 0.819 0.056 NA
"12" "Scleria.sororia_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 456 100 96.093 0.971 0.736 NA
"13" "Scleria.sororia_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 762 71.053 86.397 0.574 0.148 NA
"14" "Scleria.sororia_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 764.5 71.053 86.397 0.832 0.632 NA
"15" "Scleria.sororia_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 762 71.053 86.397 0.283 0.063 NA
"16" "Scleria.sororia_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 738 71.053 86.252 0.665 0.393 NA
"17" "Scleria.sororia_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 397 92.105 72.504 0.649 0.232 NA
