"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 272 89.238 76.054 0.653 0.493 NA
"2" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 279 88.789 76.506 0.914 0.842 NA
"3" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 453 75.785 89.006 0.656 0.546 NA
"4" "Scleria.sphacelata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 355 82.287 81.777 0.976 0.864 NA
"5" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 481 99.552 99.699 0.993 0.713 NA
"6" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 485 99.552 99.699 1 0.942 NA
"7" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 481 99.552 99.699 0.993 0.721 NA
"8" "Scleria.sphacelata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 460 99.552 99.398 0.998 0.985 NA
"9" "Scleria.sphacelata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 385 93.722 84.036 0.778 0.637 NA
"10" "Scleria.sphacelata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 384.5 93.722 84.036 0.958 0.913 NA
"11" "Scleria.sphacelata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 418 89.686 87.349 0.767 0.633 NA
"12" "Scleria.sphacelata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 391 92.377 84.488 0.998 0.962 NA
"13" "Scleria.sphacelata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 391 78.475 80.422 0.59 0.563 NA
"14" "Scleria.sphacelata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 392.5 78.475 80.572 0.871 0.861 NA
"15" "Scleria.sphacelata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 391 78.475 80.422 0.583 0.552 NA
"16" "Scleria.sphacelata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 373 78.475 80.271 0.953 0.88 NA
"17" "Scleria.sphacelata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 413 83.632 79.669 0.631 0.556 NA
"18" "Scleria.sphacelata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 411.5 83.857 79.669 0.881 0.831 NA
"19" "Scleria.sphacelata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 413 83.632 79.669 0.617 0.538 NA
"20" "Scleria.sphacelata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 400 84.305 78.464 0.983 0.857 NA
"21" "Scleria.sphacelata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 364 77.354 61.145 0.385 0.382 NA
"22" "Scleria.sphacelata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 370.5 76.009 62.5 0.764 0.758 NA
"23" "Scleria.sphacelata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 414 67.713 69.428 0.365 0.365 NA
"24" "Scleria.sphacelata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 375 75.336 62.952 0.987 0.958 NA
"25" "Scleria.sphacelata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 331 81.166 86.145 0.673 0.522 NA
"26" "Scleria.sphacelata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 350.5 80.493 86.898 0.915 0.866 NA
"27" "Scleria.sphacelata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 552 71.749 94.428 0.684 0.523 NA
"28" "Scleria.sphacelata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 506 73.991 92.319 0.987 0.517 NA
"29" "Scleria.sphacelata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 455 99.776 99.398 0.992 0.713 NA
"30" "Scleria.sphacelata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 455 99.776 99.398 1 0.928 NA
"31" "Scleria.sphacelata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 455 99.776 99.398 0.991 0.71 NA
"32" "Scleria.sphacelata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 446 99.776 99.247 0.998 0.977 NA
"33" "Scleria.sphacelata_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 436 89.238 88.404 0.778 0.65 NA
"34" "Scleria.sphacelata_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 434 89.686 88.253 0.96 0.913 NA
"35" "Scleria.sphacelata_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 436 89.238 88.404 0.77 0.649 NA
"36" "Scleria.sphacelata_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "BOYCE" 407 90.807 86.596 0.998 0.945 NA
"37" "Scleria.sphacelata_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "TSS" 401 70.628 84.488 0.551 0.567 NA
"38" "Scleria.sphacelata_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "ROC" 401.5 70.628 84.488 0.831 0.838 NA
"39" "Scleria.sphacelata_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "KAPPA" 401 70.628 84.488 0.557 0.571 NA
"40" "Scleria.sphacelata_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "BOYCE" 423 70.179 84.639 0.908 0.725 NA
"41" "Scleria.sphacelata_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "TSS" 363 87.22 73.795 0.61 0.58 NA
"42" "Scleria.sphacelata_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "ROC" 361 87.444 73.795 0.873 0.858 NA
"43" "Scleria.sphacelata_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "KAPPA" 433 81.614 78.163 0.586 0.543 NA
"44" "Scleria.sphacelata_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "BOYCE" 382 85.65 74.548 0.981 0.923 NA
"45" "Scleria.sphacelata_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "TSS" 414 69.058 70.181 0.395 0.356 NA
"46" "Scleria.sphacelata_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "ROC" 414.5 69.058 70.482 0.763 0.742 NA
"47" "Scleria.sphacelata_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "KAPPA" 414 69.058 70.181 0.387 0.343 NA
"48" "Scleria.sphacelata_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "BOYCE" 382 73.543 64.608 0.985 0.821 NA
"49" "Scleria.sphacelata_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "TSS" 291 83.184 81.928 0.653 0.527 NA
"50" "Scleria.sphacelata_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "ROC" 291.5 83.184 82.078 0.911 0.861 NA
"51" "Scleria.sphacelata_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "KAPPA" 593 66.368 95.783 0.651 0.514 NA
"52" "Scleria.sphacelata_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "BOYCE" 551 67.713 93.976 0.959 0.815 NA
"53" "Scleria.sphacelata_PA1_RUN3_RF" "PA1" "RUN3" "RF" "TSS" 488 99.552 99.699 0.993 0.674 NA
"54" "Scleria.sphacelata_PA1_RUN3_RF" "PA1" "RUN3" "RF" "ROC" 488 99.552 99.699 1 0.944 NA
"55" "Scleria.sphacelata_PA1_RUN3_RF" "PA1" "RUN3" "RF" "KAPPA" 488 99.552 99.699 0.993 0.682 NA
"56" "Scleria.sphacelata_PA1_RUN3_RF" "PA1" "RUN3" "RF" "BOYCE" 453 99.552 99.398 0.996 0.959 NA
"57" "Scleria.sphacelata_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "TSS" 441 88.341 89.91 0.784 0.605 NA
"58" "Scleria.sphacelata_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "ROC" 444 88.117 90.512 0.959 0.921 NA
"59" "Scleria.sphacelata_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "KAPPA" 475 85.202 92.62 0.783 0.639 NA
"60" "Scleria.sphacelata_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "BOYCE" 457 86.547 90.964 0.993 0.917 NA
"61" "Scleria.sphacelata_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "TSS" 458 84.978 79.367 0.643 0.62 NA
"62" "Scleria.sphacelata_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "ROC" 426 85.874 78.614 0.89 0.868 NA
"63" "Scleria.sphacelata_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "KAPPA" 458 84.978 79.367 0.627 0.61 NA
"64" "Scleria.sphacelata_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "BOYCE" 417 86.099 78.012 0.96 0.887 NA
"65" "Scleria.sphacelata_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "TSS" 353 87.444 72.139 0.594 0.595 NA
"66" "Scleria.sphacelata_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "ROC" 356 87.22 72.59 0.869 0.872 NA
"67" "Scleria.sphacelata_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "KAPPA" 383 84.978 74.096 0.569 0.599 NA
"68" "Scleria.sphacelata_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "BOYCE" 355 87.22 72.59 0.994 0.965 NA
