"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.stipularis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 264 90 64.887 0.552 0.422 NA
"2" "Scleria.stipularis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 265.5 90 65.154 0.87 0.832 NA
"3" "Scleria.stipularis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 636 50 96.128 0.445 0.323 NA
"4" "Scleria.stipularis_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 484 66 87.85 0.963 0.842 NA
"5" "Scleria.stipularis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 316 100 100 1 0.231 NA
"6" "Scleria.stipularis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 318 100 100 1 0.845 NA
"7" "Scleria.stipularis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 316 100 100 1 0.359 NA
"8" "Scleria.stipularis_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 307 100 100 1 0.82 NA
"9" "Scleria.stipularis_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 463 100 94.393 0.944 0.299 NA
"10" "Scleria.stipularis_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 464.5 100 94.393 0.981 0.833 NA
"11" "Scleria.stipularis_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 554 86 96.128 0.681 0.309 NA
"12" "Scleria.stipularis_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 451 100 94.126 0.961 0.759 NA
"13" "Scleria.stipularis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 525 94 63.685 0.577 0.27 NA
"14" "Scleria.stipularis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 525.5 94 63.685 0.838 0.651 NA
"15" "Scleria.stipularis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 760 32 96.929 0.322 0.148 NA
"16" "Scleria.stipularis_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 518 94 63.685 0.873 0.565 NA
"17" "Scleria.stipularis_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 474 88 72.497 0.605 0.311 NA
"18" "Scleria.stipularis_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 476 88 72.63 0.859 0.746 NA
"19" "Scleria.stipularis_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 827 38 95.194 0.317 0.294 NA
"20" "Scleria.stipularis_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 437 88 68.892 0.963 0.751 NA
"21" "Scleria.stipularis_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 455 86 54.873 0.41 0.343 NA
"22" "Scleria.stipularis_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 462 86 55.674 0.764 0.753 NA
"23" "Scleria.stipularis_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 697 32 94.259 0.246 0.098 NA
"24" "Scleria.stipularis_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 455 86 55.007 0.962 0.601 NA
"25" "Scleria.stipularis_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 70 88 58.211 0.462 0.216 NA
"26" "Scleria.stipularis_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 75.5 88 59.146 0.796 0.677 NA
"27" "Scleria.stipularis_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 653 32 97.864 0.359 0.025 NA
"28" "Scleria.stipularis_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 846 22 99.733 0.842 0.47 NA
"29" "Scleria.stipularis_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 296 100 100 1 0.138 NA
"30" "Scleria.stipularis_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 299 100 100 1 0.798 NA
"31" "Scleria.stipularis_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 296 100 100 1 0.193 NA
"32" "Scleria.stipularis_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 291 100 100 1 0.682 NA
"33" "Scleria.stipularis_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 468 100 93.725 0.937 0.392 NA
"34" "Scleria.stipularis_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 467 100 93.725 0.979 0.743 NA
"35" "Scleria.stipularis_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 528 92 95.461 0.689 0.26 NA
"36" "Scleria.stipularis_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "BOYCE" 464 100 93.725 0.826 0.803 NA
"37" "Scleria.stipularis_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "TSS" 592 82 81.041 0.63 0.452 NA
"38" "Scleria.stipularis_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "ROC" 599.5 82 81.709 0.865 0.797 NA
"39" "Scleria.stipularis_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "KAPPA" 733 42 95.594 0.372 0.342 NA
"40" "Scleria.stipularis_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "BOYCE" 568 88 75.167 0.885 0.715 NA
"41" "Scleria.stipularis_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "TSS" 383 92 67.156 0.593 0.302 NA
"42" "Scleria.stipularis_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "ROC" 384 92 67.29 0.861 0.757 NA
"43" "Scleria.stipularis_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "KAPPA" 806 46 93.324 0.324 0.128 NA
"44" "Scleria.stipularis_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "BOYCE" 606 66 83.845 0.915 0.755 NA
"45" "Scleria.stipularis_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "TSS" 535 72 75.167 0.473 0.173 NA
"46" "Scleria.stipularis_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "ROC" 542 72 76.502 0.791 0.656 NA
"47" "Scleria.stipularis_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "KAPPA" 636 52 86.782 0.228 0.075 NA
"48" "Scleria.stipularis_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "BOYCE" 509 74 71.295 0.933 0.522 NA
"49" "Scleria.stipularis_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "TSS" 372 78 82.777 0.609 0.237 NA
"50" "Scleria.stipularis_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "ROC" 355 80 81.175 0.879 0.73 NA
"51" "Scleria.stipularis_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "KAPPA" 683 54 97.063 0.515 0.146 NA
