"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.tenella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 472 80 90.793 0.708 0.472 NA
"2" "Scleria.tenella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 473.5 80 90.793 0.914 0.794 NA
"3" "Scleria.tenella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 809 65.556 99.717 0.759 0.349 NA
"4" "Scleria.tenella_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 686 71.111 97.592 0.936 0.652 NA
"5" "Scleria.tenella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 372 100 100 1 0.2 NA
"6" "Scleria.tenella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 370 100 100 1 0.777 NA
"7" "Scleria.tenella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 372 100 100 1 0.28 NA
"8" "Scleria.tenella_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 347 100 100 1 0.789 NA
"9" "Scleria.tenella_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 505 93.333 94.901 0.882 0.274 NA
"10" "Scleria.tenella_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 509.5 93.333 95.184 0.982 0.77 NA
"11" "Scleria.tenella_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 544 87.778 96.601 0.794 0.321 NA
"12" "Scleria.tenella_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 482 94.444 93.343 0.977 0.84 NA
"13" "Scleria.tenella_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 465 78.889 75.354 0.542 0.196 NA
"14" "Scleria.tenella_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 469.5 78.889 77.054 0.814 0.65 NA
"15" "Scleria.tenella_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 746 54.444 87.96 0.352 0.011 NA
"16" "Scleria.tenella_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 674 62.222 83.144 0.809 0.657 NA
"17" "Scleria.tenella_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 496 83.333 70.255 0.536 0.298 NA
"18" "Scleria.tenella_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 501.5 83.333 71.246 0.818 0.716 NA
"19" "Scleria.tenella_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 718 45.556 91.785 0.361 0.149 NA
"20" "Scleria.tenella_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 493 83.333 70.113 0.929 0.697 NA
"21" "Scleria.tenella_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 554 72.222 72.946 0.453 0.402 NA
"22" "Scleria.tenella_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 558.5 72.222 73.654 0.777 0.75 NA
"23" "Scleria.tenella_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 672 41.111 90.51 0.296 0.314 NA
"24" "Scleria.tenella_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 516 74.444 66.572 0.917 0.802 NA
"25" "Scleria.tenella_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 533 75.556 93.343 0.689 0.417 NA
"26" "Scleria.tenella_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 536 75.556 93.343 0.913 0.766 NA
"27" "Scleria.tenella_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 804 66.667 99.717 0.768 0.384 NA
"28" "Scleria.tenella_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 712 68.889 98.3 0.769 0.658 NA
"29" "Scleria.tenella_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 324.5 100 100 1 0.276 NA
"30" "Scleria.tenella_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 326 100 100 1 0.819 NA
"31" "Scleria.tenella_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 324.5 100 100 1 0.348 NA
"32" "Scleria.tenella_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 312 100 100 1 0.673 NA
"33" "Scleria.tenella_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 521 90 96.176 0.863 0.376 NA
"34" "Scleria.tenella_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 521.5 90 96.317 0.981 0.798 NA
"35" "Scleria.tenella_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 521 90 96.176 0.797 0.338 NA
"36" "Scleria.tenella_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "BOYCE" 476 92.222 92.21 0.993 0.865 NA
"37" "Scleria.tenella_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "TSS" 697.5 36.667 91.643 0.283 0.132 NA
"38" "Scleria.tenella_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "ROC" 701.5 36.667 91.643 0.717 0.665 NA
"39" "Scleria.tenella_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "KAPPA" 697.5 36.667 91.643 0.28 0.14 NA
"40" "Scleria.tenella_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "BOYCE" 700 36.667 91.643 0.627 0.079 NA
"41" "Scleria.tenella_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "TSS" 477 81.111 66.856 0.481 0.489 NA
"42" "Scleria.tenella_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "ROC" 478.5 81.111 67.139 0.796 0.8 NA
"43" "Scleria.tenella_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "KAPPA" 658 50 88.669 0.331 0.274 NA
"44" "Scleria.tenella_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "BOYCE" 493 77.778 69.263 0.958 0.804 NA
"45" "Scleria.tenella_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "TSS" 487 78.889 61.615 0.408 0.508 NA
"46" "Scleria.tenella_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "ROC" 487.5 78.889 61.898 0.76 0.809 NA
"47" "Scleria.tenella_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "KAPPA" 700 32.222 95.042 0.315 0.378 NA
"48" "Scleria.tenella_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "BOYCE" 491 76.667 62.323 0.953 0.779 NA
"49" "Scleria.tenella_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "TSS" 512 77.778 93.484 0.713 0.27 NA
"50" "Scleria.tenella_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "ROC" 513.5 77.778 93.484 0.9 0.656 NA
"51" "Scleria.tenella_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "KAPPA" 788 66.667 99.858 0.774 0.259 NA
"52" "Scleria.tenella_PA1_RUN3_MAXENT" "PA1" "RUN3" "MAXENT" "BOYCE" 586 74.444 95.467 0.863 0.4 NA
"53" "Scleria.tenella_PA1_RUN3_RF" "PA1" "RUN3" "RF" "TSS" 308 100 100 1 0.227 NA
"54" "Scleria.tenella_PA1_RUN3_RF" "PA1" "RUN3" "RF" "ROC" 305 100 100 1 0.759 NA
"55" "Scleria.tenella_PA1_RUN3_RF" "PA1" "RUN3" "RF" "KAPPA" 308 100 100 1 0.286 NA
"56" "Scleria.tenella_PA1_RUN3_RF" "PA1" "RUN3" "RF" "BOYCE" 271 100 99.858 1 0.7 NA
"57" "Scleria.tenella_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "TSS" 466 94.444 92.776 0.872 0.255 NA
"58" "Scleria.tenella_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "ROC" 468.5 94.444 92.918 0.98 0.758 NA
"59" "Scleria.tenella_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "KAPPA" 572 81.111 97.167 0.772 0.273 NA
"60" "Scleria.tenella_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "BOYCE" 450 95.556 91.36 0.987 0.689 NA
"61" "Scleria.tenella_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "TSS" 620 81.111 71.105 0.524 0.444 NA
"62" "Scleria.tenella_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "ROC" 625 81.111 71.955 0.812 0.784 NA
"63" "Scleria.tenella_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "KAPPA" 718 34.444 95.892 0.355 0.267 NA
"64" "Scleria.tenella_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "BOYCE" 586 83.333 68.13 0.941 0.66 NA
"65" "Scleria.tenella_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "TSS" 475 82.222 67.847 0.502 0.219 NA
"66" "Scleria.tenella_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "ROC" 493.5 80 70.255 0.809 0.699 NA
"67" "Scleria.tenella_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "KAPPA" 616 63.333 85.411 0.364 0.145 NA
"68" "Scleria.tenella_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "BOYCE" 563 65.556 79.603 0.927 0.724 NA
"69" "Scleria.tenella_PA1_RUN3_GAM" "PA1" "RUN3" "GAM" "TSS" 530 75.556 70.963 0.467 0.192 NA
"70" "Scleria.tenella_PA1_RUN3_GAM" "PA1" "RUN3" "GAM" "ROC" 508.5 78.889 68.272 0.781 0.711 NA
"71" "Scleria.tenella_PA1_RUN3_GAM" "PA1" "RUN3" "GAM" "KAPPA" 733 28.889 97.025 0.331 0.2 NA
"72" "Scleria.tenella_PA1_RUN3_GAM" "PA1" "RUN3" "GAM" "BOYCE" 521 75.556 69.547 0.903 0.822 NA
"73" "Scleria.tenella_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "TSS" 654 73.333 97.309 0.706 0.408 NA
"74" "Scleria.tenella_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "ROC" 653.5 73.333 97.309 0.914 0.727 NA
"75" "Scleria.tenella_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "KAPPA" 765 68.889 99.008 0.748 0.384 NA
"76" "Scleria.tenella_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "BOYCE" 615 73.333 96.601 0.787 0.537 NA
"77" "Scleria.tenella_PA1_RUN4_RF" "PA1" "RUN4" "RF" "TSS" 288 100 99.858 0.999 0.242 NA
"78" "Scleria.tenella_PA1_RUN4_RF" "PA1" "RUN4" "RF" "ROC" 289 100 99.858 1 0.733 NA
"79" "Scleria.tenella_PA1_RUN4_RF" "PA1" "RUN4" "RF" "KAPPA" 288 100 99.858 0.994 0.267 NA
"80" "Scleria.tenella_PA1_RUN4_RF" "PA1" "RUN4" "RF" "BOYCE" 257 100 99.717 1 0.776 NA
"81" "Scleria.tenella_PA1_RUN4_GBM" "PA1" "RUN4" "GBM" "TSS" 484 94.444 92.918 0.875 0.331 NA
"82" "Scleria.tenella_PA1_RUN4_GBM" "PA1" "RUN4" "GBM" "ROC" 488 94.444 93.343 0.981 0.74 NA
"83" "Scleria.tenella_PA1_RUN4_GBM" "PA1" "RUN4" "GBM" "KAPPA" 582 81.111 98.017 0.796 0.26 NA
"84" "Scleria.tenella_PA1_RUN4_GBM" "PA1" "RUN4" "GBM" "BOYCE" 479 94.444 92.776 0.96 0.781 NA
