"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 399 99.415 99.093 0.985 0.911 NA
"2" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 419 99.415 99.274 1 0.992 NA
"3" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 399 99.415 99.093 0.983 0.897 NA
"4" "Scleria.terrestris_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 410 99.415 99.093 0.924 0.954 NA
"5" "Scleria.terrestris_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 345 98.83 94.555 0.936 0.871 NA
"6" "Scleria.terrestris_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 510 97.076 96.552 0.993 0.989 NA
"7" "Scleria.terrestris_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 507 97.076 96.37 0.929 0.887 NA
"8" "Scleria.terrestris_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 470 97.076 95.826 0.972 0.895 NA
"9" "Scleria.terrestris_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 387 95.906 93.648 0.896 0.851 NA
"10" "Scleria.terrestris_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 412.5 95.906 93.829 0.974 0.985 NA
"11" "Scleria.terrestris_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 628.5 95.322 94.192 0.887 0.86 NA
"12" "Scleria.terrestris_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 813 90.351 96.733 0.766 0.921 NA
"13" "Scleria.terrestris_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 667 92.398 95.826 0.882 0.848 NA
"14" "Scleria.terrestris_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 725 91.52 96.733 0.984 0.987 NA
"15" "Scleria.terrestris_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 717 91.52 96.552 0.886 0.884 NA
"16" "Scleria.terrestris_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 680 92.105 95.826 0.955 0.817 NA
"17" "Scleria.terrestris_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 566 91.52 94.011 0.855 0.823 NA
