"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.tessellata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 0 100 0 0.473 0.382 NA
"2" "Scleria.tessellata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 0.5 93.636 53.659 0.82 0.671 NA
"3" "Scleria.tessellata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 743 41.818 99.543 0.538 0.197 NA
"4" "Scleria.tessellata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 707 41.818 99.238 0.605 -0.082 NA
"5" "Scleria.tessellata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 348 100 100 1 0.314 NA
"6" "Scleria.tessellata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 348 100 100 1 0.833 NA
"7" "Scleria.tessellata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 348 100 100 1 0.376 NA
"8" "Scleria.tessellata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 342 100 100 1 0.782 NA
"9" "Scleria.tessellata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 489 92.727 88.72 0.814 0.497 NA
"10" "Scleria.tessellata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 521 89.091 92.378 0.974 0.856 NA
"11" "Scleria.tessellata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 630 73.636 98.78 0.787 0.326 NA
"12" "Scleria.tessellata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 483 92.727 88.262 0.994 0.735 NA
"13" "Scleria.tessellata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 554 92.727 67.988 0.607 0.39 NA
"14" "Scleria.tessellata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 554.5 92.727 67.988 0.808 0.765 NA
"15" "Scleria.tessellata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 619 86.364 72.256 0.359 0.17 NA
"16" "Scleria.tessellata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 518 92.727 67.683 0.724 0.207 NA
"17" "Scleria.tessellata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 485 81.818 64.329 0.461 0.409 NA
"18" "Scleria.tessellata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 488.5 81.818 64.634 0.787 0.785 NA
"19" "Scleria.tessellata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 626 55.455 82.47 0.306 0.272 NA
"20" "Scleria.tessellata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 500 77.273 65.701 0.946 0.704 NA
"21" "Scleria.tessellata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 455 75.455 65.396 0.409 0.296 NA
"22" "Scleria.tessellata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 449 77.273 64.024 0.769 0.766 NA
"23" "Scleria.tessellata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 553 61.818 76.067 0.268 0.189 NA
"24" "Scleria.tessellata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 455 75.455 65.396 0.951 0.559 NA
"25" "Scleria.tessellata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 518 5.455 99.848 0.055 0.036 NA
"26" "Scleria.tessellata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 520.5 5.455 100 0.526 0.518 NA
"27" "Scleria.tessellata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 518 5.455 99.848 0.09 0.06 NA
"28" "Scleria.tessellata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 492 5.455 99.848 0.5 1 NA
"29" "Scleria.tessellata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 335.5 100 100 1 0.481 NA
"30" "Scleria.tessellata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 335 100 100 1 0.864 NA
"31" "Scleria.tessellata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 335.5 100 100 1 0.511 NA
"32" "Scleria.tessellata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 316 100 100 1 0.806 NA
"33" "Scleria.tessellata_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 481 94.545 87.957 0.825 0.483 NA
"34" "Scleria.tessellata_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 486.5 94.545 88.262 0.975 0.821 NA
"35" "Scleria.tessellata_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 621 75.455 98.323 0.79 0.324 NA
"36" "Scleria.tessellata_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "BOYCE" 498 92.727 89.329 0.992 0.829 NA
"37" "Scleria.tessellata_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "TSS" 533 61.818 88.11 0.499 0.084 NA
"38" "Scleria.tessellata_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "ROC" 452.5 87.273 63.11 0.83 0.658 NA
"39" "Scleria.tessellata_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "KAPPA" 662 60 89.482 0.452 0.072 NA
"40" "Scleria.tessellata_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "BOYCE" 641 60 89.177 0.924 0.545 NA
"41" "Scleria.tessellata_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "TSS" 505 80.909 68.75 0.497 0.217 NA
"42" "Scleria.tessellata_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "ROC" 507.5 80.909 69.055 0.796 0.721 NA
"43" "Scleria.tessellata_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "KAPPA" 626 58.182 82.774 0.327 0.18 NA
"44" "Scleria.tessellata_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "BOYCE" 482 81.818 65.396 0.956 0.239 NA
"45" "Scleria.tessellata_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "TSS" 428 85.455 60.061 0.458 0.382 NA
"46" "Scleria.tessellata_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "ROC" 433.5 85.455 61.738 0.775 0.738 NA
"47" "Scleria.tessellata_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "KAPPA" 585 57.273 79.268 0.275 0.148 NA
"48" "Scleria.tessellata_PA1_RUN2_GAM" "PA1" "RUN2" "GAM" "BOYCE" 413 86.364 57.165 0.939 0.684 NA
"49" "Scleria.tessellata_PA1_RUN3_RF" "PA1" "RUN3" "RF" "TSS" 347 100 100 1 0.409 NA
"50" "Scleria.tessellata_PA1_RUN3_RF" "PA1" "RUN3" "RF" "ROC" 351 100 100 1 0.858 NA
"51" "Scleria.tessellata_PA1_RUN3_RF" "PA1" "RUN3" "RF" "KAPPA" 347 100 100 1 0.449 NA
"52" "Scleria.tessellata_PA1_RUN3_RF" "PA1" "RUN3" "RF" "BOYCE" 345 100 100 1 0.952 NA
"53" "Scleria.tessellata_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "TSS" 500 92.727 90.701 0.836 0.46 NA
"54" "Scleria.tessellata_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "ROC" 505 92.727 91.311 0.973 0.836 NA
"55" "Scleria.tessellata_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "KAPPA" 607 79.091 96.799 0.752 0.322 NA
"56" "Scleria.tessellata_PA1_RUN3_GBM" "PA1" "RUN3" "GBM" "BOYCE" 471 93.636 88.415 0.992 0.796 NA
"57" "Scleria.tessellata_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "TSS" 485 97.273 39.177 0.364 0.319 NA
"58" "Scleria.tessellata_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "ROC" 486.5 97.273 39.177 0.67 0.677 NA
"59" "Scleria.tessellata_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "KAPPA" 571 86.364 48.628 0.158 0.15 NA
"60" "Scleria.tessellata_PA1_RUN3_ANN" "PA1" "RUN3" "ANN" "BOYCE" 549 86.364 48.323 0.639 0.277 NA
"61" "Scleria.tessellata_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "TSS" 531 75.455 68.902 0.447 0.279 NA
"62" "Scleria.tessellata_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "ROC" 529.5 76.364 68.902 0.784 0.749 NA
"63" "Scleria.tessellata_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "KAPPA" 621 57.273 79.573 0.279 0.316 NA
"64" "Scleria.tessellata_PA1_RUN3_GLM" "PA1" "RUN3" "GLM" "BOYCE" 496 80 63.72 0.944 0.576 NA
"65" "Scleria.tessellata_PA1_RUN3_GAM" "PA1" "RUN3" "GAM" "TSS" 450 82.727 60.823 0.429 0.366 NA
"66" "Scleria.tessellata_PA1_RUN3_GAM" "PA1" "RUN3" "GAM" "ROC" 449 82.727 60.823 0.757 0.791 NA
"67" "Scleria.tessellata_PA1_RUN3_GAM" "PA1" "RUN3" "GAM" "KAPPA" 787 22.727 96.037 0.242 0.302 NA
"68" "Scleria.tessellata_PA1_RUN3_GAM" "PA1" "RUN3" "GAM" "BOYCE" 449 82.727 60.823 0.886 0.873 NA
"69" "Scleria.tessellata_PA1_RUN4_MAXENT" "PA1" "RUN4" "MAXENT" "TSS" 241 80.909 79.726 0.606 0.393 NA
