"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.trialata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 302 85 83.871 0.692 0.554 NA
"2" "Scleria.trialata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 311 85 85.133 0.915 0.721 NA
"3" "Scleria.trialata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 543 65 95.231 0.487 0.344 NA
"4" "Scleria.trialata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 784 27.5 99.018 0.888 0.634 NA
"5" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 353 100 100 1 -0.006 NA
"6" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 354 100 100 1 0.774 NA
"7" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 353 100 100 1 -0.01 NA
"8" "Scleria.trialata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 344 100 100 1 0.734 NA
"9" "Scleria.trialata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 493 100 95.512 0.955 0.21 NA
"10" "Scleria.trialata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 493 100 95.512 0.991 0.787 NA
"11" "Scleria.trialata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 559 92.5 96.914 0.739 0.131 NA
"12" "Scleria.trialata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 455 100 94.53 0.893 0.646 NA
"13" "Scleria.trialata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 735 72.5 92.426 0.649 0.088 NA
"14" "Scleria.trialata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 732 72.5 92.426 0.889 0.617 NA
"15" "Scleria.trialata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 735 72.5 92.426 0.431 0.056 NA
"16" "Scleria.trialata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 665 72.5 92.426 0.819 0.512 NA
"17" "Scleria.trialata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 581 85 82.749 0.677 0.337 NA
"18" "Scleria.trialata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 582.5 85 82.889 0.887 0.717 NA
