"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 247 35.135 99.846 0.35 0.259 NA
"2" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 250 35.135 99.846 0.675 0.63 NA
"3" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 247 35.135 99.846 0.487 0.344 NA
"4" "Scleria.tricuspidata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 25 35.135 99.846 1 1 NA
"5" "Scleria.tricuspidata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 391 100 100 1 0.377 NA
"6" "Scleria.tricuspidata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 389 100 100 1 0.865 NA
"7" "Scleria.tricuspidata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 391 100 100 1 0.484 NA
"8" "Scleria.tricuspidata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 345 100 99.846 1 0.535 NA
"9" "Scleria.tricuspidata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 432 100 88.154 0.882 0.407 NA
"10" "Scleria.tricuspidata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 482.5 98.649 89.538 0.973 0.842 NA
"11" "Scleria.tricuspidata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 622 86.486 94.615 0.705 0.289 NA
"12" "Scleria.tricuspidata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 456 98.649 88.615 0.99 0.334 NA
"13" "Scleria.tricuspidata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 508 91.892 85.077 0.77 0.543 NA
"14" "Scleria.tricuspidata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 437 94.595 82.462 0.906 0.786 NA
"15" "Scleria.tricuspidata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 588 90.541 85.846 0.506 0.341 NA
"16" "Scleria.tricuspidata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 510 90.541 85.077 0.911 0.481 NA
"17" "Scleria.tricuspidata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 453 91.892 78.308 0.702 0.605 NA
"18" "Scleria.tricuspidata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 458.5 91.892 78.462 0.908 0.853 NA
"19" "Scleria.tricuspidata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 765 64.865 90.308 0.455 0.312 NA
"20" "Scleria.tricuspidata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 417 91.892 77.077 0.973 0.759 NA
"21" "Scleria.tricuspidata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 485 91.892 74.154 0.66 0.568 NA
"22" "Scleria.tricuspidata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 490.5 91.892 74.462 0.865 0.854 NA
"23" "Scleria.tricuspidata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 626 70.27 82.923 0.352 0.329 NA
"24" "Scleria.tricuspidata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 482 91.892 74 0.9 0.688 NA
"25" "Scleria.tricuspidata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 675 39.189 100 0.392 0.21 NA
"26" "Scleria.tricuspidata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 678.5 39.189 100 0.694 0.605 NA
"27" "Scleria.tricuspidata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 675 39.189 100 0.536 0.221 NA
"28" "Scleria.tricuspidata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 669 39.189 100 0.5 1 NA
"29" "Scleria.tricuspidata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 365 100 100 1 0.333 NA
"30" "Scleria.tricuspidata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 369 100 100 1 0.815 NA
"31" "Scleria.tricuspidata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 365 100 100 1 0.351 NA
"32" "Scleria.tricuspidata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 368 100 100 1 0.669 NA
"33" "Scleria.tricuspidata_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 484 98.649 90.154 0.888 0.364 NA
"34" "Scleria.tricuspidata_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 481 98.649 90.154 0.975 0.85 NA
"35" "Scleria.tricuspidata_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 673 79.73 96.154 0.716 0.368 NA
"36" "Scleria.tricuspidata_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "BOYCE" 456 98.649 89.385 0.992 0.539 NA
"37" "Scleria.tricuspidata_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "TSS" 432 94.595 71.077 0.657 0.506 NA
"38" "Scleria.tricuspidata_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "ROC" 431.5 94.595 71.077 0.894 0.781 NA
"39" "Scleria.tricuspidata_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "KAPPA" 769.5 70.27 94.462 0.597 0.282 NA
