"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.triglomerata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 474 57.434 77.885 0.353 0.439 NA
"2" "Scleria.triglomerata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 478.5 57.434 78.205 0.727 0.749 NA
"3" "Scleria.triglomerata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 474 57.434 77.885 0.349 0.435 NA
"4" "Scleria.triglomerata_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 472 58.746 76.763 0.907 0.847 NA
"5" "Scleria.triglomerata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 523 99.708 100 0.997 0.56 NA
"6" "Scleria.triglomerata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 521 99.708 100 1 0.836 NA
"7" "Scleria.triglomerata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 523 99.708 100 0.997 0.559 NA
"8" "Scleria.triglomerata_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 499 99.854 99.84 1 0.965 NA
"9" "Scleria.triglomerata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 534 73.615 80.769 0.546 0.511 NA
"10" "Scleria.triglomerata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 530.5 74.49 80.128 0.853 0.814 NA
"11" "Scleria.triglomerata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 534 73.615 80.769 0.543 0.51 NA
"12" "Scleria.triglomerata_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 529 74.636 79.968 0.994 0.948 NA
"13" "Scleria.triglomerata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 619 49.417 85.897 0.353 0.335 NA
"14" "Scleria.triglomerata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 617.5 49.417 85.897 0.715 0.722 NA
"15" "Scleria.triglomerata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 619 49.417 85.897 0.347 0.33 NA
"16" "Scleria.triglomerata_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 598 49.708 85.256 0.891 0.788 NA
"17" "Scleria.triglomerata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 551 61.516 72.436 0.341 0.378 NA
"18" "Scleria.triglomerata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 556 60.787 73.558 0.722 0.757 NA
"19" "Scleria.triglomerata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 551 61.516 72.436 0.339 0.377 NA
"20" "Scleria.triglomerata_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 541 63.265 70.513 0.986 0.964 NA
"21" "Scleria.triglomerata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "TSS" 529 66.327 62.821 0.29 0.325 NA
"22" "Scleria.triglomerata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "ROC" 541.5 63.411 66.026 0.696 0.74 NA
"23" "Scleria.triglomerata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "KAPPA" 520 67.784 60.897 0.29 0.32 NA
"24" "Scleria.triglomerata_PA1_RUN1_GAM" "PA1" "RUN1" "GAM" "BOYCE" 538 63.994 64.583 0.982 0.942 NA
"25" "Scleria.triglomerata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "TSS" 444 67.784 69.071 0.369 0.326 NA
"26" "Scleria.triglomerata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "ROC" 482 54.373 83.013 0.745 0.679 NA
"27" "Scleria.triglomerata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "KAPPA" 444 67.784 69.071 0.368 0.324 NA
"28" "Scleria.triglomerata_PA1_RUN2_MAXENT" "PA1" "RUN2" "MAXENT" "BOYCE" 472 59.767 74.199 0.974 0.815 NA
"29" "Scleria.triglomerata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "TSS" 497 99.563 99.84 0.994 0.42 NA
"30" "Scleria.triglomerata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "ROC" 497 99.563 99.84 1 0.789 NA
"31" "Scleria.triglomerata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "KAPPA" 497 99.563 99.84 0.994 0.422 NA
"32" "Scleria.triglomerata_PA1_RUN2_RF" "PA1" "RUN2" "RF" "BOYCE" 511 99.417 99.84 1 0.955 NA
"33" "Scleria.triglomerata_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "TSS" 535 75.802 80.609 0.566 0.402 NA
"34" "Scleria.triglomerata_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "ROC" 535.5 75.656 80.929 0.855 0.76 NA
"35" "Scleria.triglomerata_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "KAPPA" 535 75.802 80.609 0.564 0.401 NA
"36" "Scleria.triglomerata_PA1_RUN2_GBM" "PA1" "RUN2" "GBM" "BOYCE" 548 72.303 82.692 0.992 0.938 NA
"37" "Scleria.triglomerata_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "TSS" 577.5 65.452 78.205 0.437 0.289 NA
"38" "Scleria.triglomerata_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "ROC" 510.5 69.679 74.038 0.754 0.662 NA
"39" "Scleria.triglomerata_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "KAPPA" 514 69.534 74.038 0.434 0.303 NA
"40" "Scleria.triglomerata_PA1_RUN2_ANN" "PA1" "RUN2" "ANN" "BOYCE" 541 68.513 74.359 0.961 0.675 NA
"41" "Scleria.triglomerata_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "TSS" 558 62.099 73.558 0.357 0.337 NA
"42" "Scleria.triglomerata_PA1_RUN2_GLM" "PA1" "RUN2" "GLM" "ROC" 560.5 61.808 73.878 0.739 0.701 NA
