"full.name" "PA" "run" "algo" "metric.eval" "cutoff" "sensitivity" "specificity" "calibration" "validation" "evaluation"
"1" "Scleria.verrucosa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "TSS" 433 82.558 89.974 0.727 0.384 NA
"2" "Scleria.verrucosa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "ROC" 441.5 82.558 90.897 0.926 0.642 NA
"3" "Scleria.verrucosa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "KAPPA" 714 61.628 97.625 0.642 0.265 NA
"4" "Scleria.verrucosa_PA1_RUN1_MAXENT" "PA1" "RUN1" "MAXENT" "BOYCE" 399 82.558 88.391 0.941 0.662 NA
"5" "Scleria.verrucosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "TSS" 330 100 99.868 0.999 0.201 NA
"6" "Scleria.verrucosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "ROC" 331 100 99.868 1 0.776 NA
"7" "Scleria.verrucosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "KAPPA" 330 100 99.868 0.994 0.265 NA
"8" "Scleria.verrucosa_PA1_RUN1_RF" "PA1" "RUN1" "RF" "BOYCE" 291 100 99.604 1 0.275 NA
"9" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "TSS" 499 94.186 94.063 0.884 0.365 NA
"10" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "ROC" 505 94.186 94.327 0.979 0.747 NA
"11" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "KAPPA" 549 89.535 96.306 0.782 0.328 NA
"12" "Scleria.verrucosa_PA1_RUN1_GBM" "PA1" "RUN1" "GBM" "BOYCE" 500 94.186 94.195 0.989 0.77 NA
"13" "Scleria.verrucosa_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "TSS" 599 80.233 79.42 0.597 0.304 NA
"14" "Scleria.verrucosa_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "ROC" 597.5 80.233 79.42 0.848 0.699 NA
"15" "Scleria.verrucosa_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "KAPPA" 658 74.419 81.926 0.356 0.197 NA
"16" "Scleria.verrucosa_PA1_RUN1_ANN" "PA1" "RUN1" "ANN" "BOYCE" 577 80.233 78.892 0.902 0.563 NA
"17" "Scleria.verrucosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "TSS" 535 69.767 75.198 0.452 0.295 NA
"18" "Scleria.verrucosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "ROC" 521.5 72.093 73.351 0.796 0.723 NA
"19" "Scleria.verrucosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "KAPPA" 686 47.674 88.918 0.305 0.354 NA
"20" "Scleria.verrucosa_PA1_RUN1_GLM" "PA1" "RUN1" "GLM" "BOYCE" 499 73.256 69.393 0.964 0.644 NA
